item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
12750115947,KIDNEY BASIN PLASTIC,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,13.0,403.2,6.0,31.015384615384615,2.1666666666666665,1.2040366032691179,-0.6,2
13558758,MEASURING CUP 210ML,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0
17636901117,KELLY PAD,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,1.0,1100.0,1.0,1100.0,1.0,0.0,0.0,0
25036922883,KIDNEY BASIN PLASTIC,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,3.0,94.5,1.0,31.5,3.0,0.0,0.0,0
25761726337,BANDAGE SCISSOR 3 1/2,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,2.0,294.0,2.0,147.0,1.0,0.0,-7.850462293418875e-17,0
26911830,"KELLY FORCEP CRV 5 1/2"" STAINLESS","PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,1.0,153.0,1.0,153.0,1.0,0.0,0.0,0
33456416,BEDPAN PLASTIC,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,21.0,2293.2000000000003,15.0,109.20000000000002,1.4,0.4364357804719848,0.06428571428571428,0
35586197,WEEK PILL ORGANIZER,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,11.0,1490.56,8.0,135.50545454545454,1.375,0.35208939510976517,0.03571428571428564,0
39552878923,KIDNEY BASIN PLASTIC,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,1.0,31.5,1.0,31.5,1.0,0.0,0.0,0
41720005175,PLASTIC URINAL,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,80.0,7581.0,28.0,94.7625,2.857142857142857,0.6113509630318741,0.007115489874110599,0
41720005175,URINAL,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,1.0,95.0,1.0,95.0,1.0,0.0,0.0,0
4800067049051,BBFLO PREEMIE NURSER 2 OZ,"PLASTIC, GLASSWARE, AND STAINLESS",PERSONAL CARE,3.0,264.0,3.0,88.0,1.0,0.0,8.985767264226737e-17,0
4800067051627,BBFLO BOTTLE TRANSPA HEXA 8OZ,"PLASTIC, GLASSWARE, AND STAINLESS",PERSONAL CARE,1.0,76.75,1.0,76.75,1.0,0.0,0.0,0
4800067051689,BBFLO BOTTLE TRANSPA HEXA 4OZ,"PLASTIC, GLASSWARE, AND STAINLESS",PERSONAL CARE,8.0,600.0,5.0,75.0,1.6,0.30618621784789724,0.0999999999999999,0
4800067052167,BBFLO SILICON NIPPLE S,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,9.0,262.8,3.0,29.200000000000003,3.0,0.7200822998230957,-0.4999999999999992,2
4800067052211,BBFLO SILICON NIPPLE M,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,47.0,1269.0,17.0,27.0,2.764705882352941,0.7700834498235685,-0.17401960784313716,0
4800067052266,BBFLO SILICON NIPPLE L,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,16.0,432.0,4.0,27.0,4.0,0.5,-6.642954864120718e-16,0
4800067054284,BBFLO BB BUDS WHITE 200TIP,"PLASTIC, GLASSWARE, AND STAINLESS",PERSONAL CARE,10.0,320.0,5.0,32.0,2.0,0.31622776601683794,0.19999999999999996,0
