item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
4000009470145,B PLUS (VITAMINS W/ IRON + CHLORELLA + GINSENG,SPECIAL CATEGORY 1,PROMOTIONS,9.0,302.4,1.0,33.599999999999994,9.0,0.0,0.0,0
4800011586144,MAMA,SPECIAL CATEGORY 1,PROMOTIONS,31.0,434.0,12.0,14.0,2.5833333333333335,0.6603061125954426,0.26223776223776224,0
4800011586144,MAMA&#039;S LOVE ABS COTTON 20GM,SPECIAL CATEGORY 1,PROMOTIONS,20.0,280.0,10.0,14.0,2.0,0.4472135954999579,-0.10909090909090906,0
4800011586144,ML ABS COTTON 20GM,SPECIAL CATEGORY 1,PROMOTIONS,2.0,26.5,1.0,13.25,2.0,0.0,0.0,0
4800332151168,CELEBREX (CELOCOXIB) 200MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,77.0,5309.56,11.0,68.95532467532468,7.0,0.5937210104240239,-0.6090909090909086,0
4800332151168,CELEBREX 200MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,23.0,1642.8899999999999,3.0,71.42999999999999,7.666666666666667,0.5465132647815885,1.4999999999999982,0
4800562040737,LOFIBRA CAP 200MG,SPECIAL CATEGORY 1,PROMOTIONS,7.0,153.44,1.0,21.919999999999998,7.0,0.0,0.0,0
4806504084104,AMECIRON (FERROUS + FOLIC) TAB,SPECIAL CATEGORY 1,PROMOTIONS,190.0,395.2,5.0,2.08,38.0,0.5102820902543505,-7.000000000000006,2
4806512100025,ENER-A PLUS (MULTIVITAMINS) 60ML SYR,SPECIAL CATEGORY 1,PROMOTIONS,10.0,1507.5,4.0,150.75,2.5,0.447213595499958,-0.4,0
4806512100032,ENER-A PLUS (MULTIVITAMINS) 120ML SYR,SPECIAL CATEGORY 1,PROMOTIONS,6.0,1326.0,3.0,221.0,2.0,0.408248290463863,0.5000000000000003,0
4806518611754,BREXEN (CELOCOXIB) 200MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,29.0,855.5,2.0,29.5,14.5,0.10344827586206896,-3.0000000000000036,2
4806518611754,BREXEN CAP 200MG,SPECIAL CATEGORY 1,PROMOTIONS,43.0,1268.5,2.0,29.5,21.5,0.06976744186046512,2.999999999999997,0
4806524147896,FOLIZ (FOLIC ACID) 5MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,330.0,811.2,12.0,2.4581818181818185,27.5,0.7189677326215441,-2.2237762237762233,1
4806524147896,FOLIZ (FOLIC ACID) 5MG TAB,SPECIAL CATEGORY 1,PROMOTIONS,9.0,20.16,1.0,2.24,9.0,0.0,0.0,0
4806529430146,MARLUXYN (CARBOCISTEINE)500MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,27.0,135.0,1.0,5.0,27.0,0.0,0.0,0
4806529430146,MARLUXYN MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,128.0,640.0,5.0,5.0,25.6,0.9846849710376918,3.499999999999999,0
4806534570660,FOLINOVA (FOLIC ACID) 5MG TAB,SPECIAL CATEGORY 1,PROMOTIONS,503.0,1119.76,19.0,2.2261630218687873,26.473684210526315,0.7217493890776012,0.5508771929824567,1
98480117895,PROTECT PLUS 70% ISOP ALC. 1G,SPECIAL CATEGORY 1,PROMOTIONS,13.0,3710.0,11.0,285.38461538461536,1.1818181818181819,0.3263569759322527,6.68616151811108e-17,0
