item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
26209357,DIATABS (LOPERAMIDE) 5+1 CAP,PROMO PACKS,PROMOTIONS,45.0,1890.0,5.0,42.0,9.0,0.6956655929999346,0.19999999999999965,0
26586339577,FACE SHIELD,MEMBERS EXCLUSIVE,PROMOTIONS,38.0,399.0,3.0,10.5,12.666666666666666,0.7129587991654772,10.999999999999998,2
4000009470145,B PLUS (VITAMINS W/ IRON + CHLORELLA + GINSENG,SPECIAL CATEGORY 1,PROMOTIONS,9.0,302.4,1.0,33.599999999999994,9.0,0.0,0.0,0
4800011586144,MAMA,SPECIAL CATEGORY 1,PROMOTIONS,31.0,434.0,12.0,14.0,2.5833333333333335,0.6603061125954426,0.26223776223776224,0
4800011586144,MAMA&#039;S LOVE ABS COTTON 20GM,SPECIAL CATEGORY 1,PROMOTIONS,20.0,280.0,10.0,14.0,2.0,0.4472135954999579,-0.10909090909090906,0
4800011586144,ML ABS COTTON 20GM,SPECIAL CATEGORY 1,PROMOTIONS,2.0,26.5,1.0,13.25,2.0,0.0,0.0,0
4800135008140,LACTEZIN CAP PROMO PACK 6+1,PROMO PACKS,PROMOTIONS,3.0,508.05,1.0,169.35,3.0,0.0,0.0,0
4800204030324,POTEN CEE 1G (ASCORBIC ACID,PROMO PACKS,PROMOTIONS,139.0,1633.25,5.0,11.75,27.8,1.1909462990892246,-8.000000000000007,4
4800204715511,POTEN CEE 1G (ASCORBIC ACID) 8+1,PROMO PACKS,PROMOTIONS,12.0,1128.0,5.0,94.0,2.4,0.5651941652604391,0.39999999999999997,0
4800204715511,POTEN CEE 1G 8+1,PROMO PACKS,PROMOTIONS,1.0,94.0,1.0,94.0,1.0,0.0,0.0,0
4800204734314,POTEN-CEE SUGAR FREE 18+2 TAB,PROMO PACKS,PROMOTIONS,8.0,912.0,4.0,114.0,2.0,0.0,-1.6429779903597286e-16,0
4800332151168,CELEBREX (CELOCOXIB) 200MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,77.0,5309.56,11.0,68.95532467532468,7.0,0.5937210104240239,-0.6090909090909086,0
4800332151168,CELEBREX 200MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,23.0,1642.8899999999999,3.0,71.42999999999999,7.666666666666667,0.5465132647815885,1.4999999999999982,0
4800562040737,LOFIBRA CAP 200MG,SPECIAL CATEGORY 1,PROMOTIONS,7.0,153.44,1.0,21.919999999999998,7.0,0.0,0.0,0
4806031900281,PHAREX VITAMIN BCOMPLEX 17+3,PROMO PACKS,PROMOTIONS,8.0,544.0,3.0,68.0,2.6666666666666665,0.6373774391990982,1.4999999999999993,0
4806031903398,PHAREX VITAMIN (VITAMIN B1+B6+B12) 17+3 TAB NS,PROMO PACKS,PROMOTIONS,427.0,31161.01,25.0,72.97660421545667,17.08,1.4462112070164699,-0.5815384615384616,3
4806031903770,PHAREX VITAMIN BCOMPLEX (VITAMIN B1+B6+B12) 17+3,PROMO PACKS,PROMOTIONS,5.0,463.75,3.0,92.75,1.6666666666666667,0.282842712474619,-0.4999999999999999,0
4806031903770,PHAREX VITAMIN BCOMPLEX 17+3,PROMO PACKS,PROMOTIONS,31.0,2856.7,5.0,92.1516129032258,6.2,0.6069318620073154,0.5999999999999998,0
4806032200281,POTEN CEE + C COLLAGEN (VITAMIN C + COLLAGEN) 10S PACK,PROMO PACKS,PROMOTIONS,1.0,197.5,1.0,197.5,1.0,0.0,0.0,0
4806032200281,POTEN CEE + C COLLAGEN 10S PACK,PROMO PACKS,PROMOTIONS,18.0,3555.0,9.0,197.5,2.0,0.5773502691896257,-0.2666666666666667,0
4806032202698,POTEN CEE + ZN (ASCORBIC ACID + ZINC + CHOLECALCIFEROL) 7+1,PROMO PACKS,PROMOTIONS,1.0,56.0,1.0,56.0,1.0,0.0,0.0,0
4806032202698,POTEN CEE +ZN 7+1,PROMO PACKS,PROMOTIONS,3.0,168.0,1.0,56.0,3.0,0.0,0.0,0
4806032203077,POTEN-CEE + ZN ADVANCE 9+1 CAP,PROMO PACKS,PROMOTIONS,3.0,346.5,2.0,115.5,1.5,0.3333333333333333,0.9999999999999998,0
4806032204234,POTEN CEE + C COLLAGEN 10+2 CAP,PROMO PACKS,PROMOTIONS,2.0,421.75,2.0,210.875,1.0,0.0,-7.850462293418875e-17,0
4806504084104,AMECIRON (FERROUS + FOLIC) TAB,SPECIAL CATEGORY 1,PROMOTIONS,190.0,395.2,5.0,2.08,38.0,0.5102820902543505,-7.000000000000006,4
4806512100025,ENER-A PLUS (MULTIVITAMINS) 60ML SYR,SPECIAL CATEGORY 1,PROMOTIONS,10.0,1507.5,4.0,150.75,2.5,0.447213595499958,-0.4,0
4806512100032,ENER-A PLUS (MULTIVITAMINS) 120ML SYR,SPECIAL CATEGORY 1,PROMOTIONS,6.0,1326.0,3.0,221.0,2.0,0.408248290463863,0.5000000000000003,0
4806518611754,BREXEN (CELOCOXIB) 200MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,29.0,855.5,2.0,29.5,14.5,0.10344827586206896,-3.0000000000000036,0
4806518611754,BREXEN CAP 200MG,SPECIAL CATEGORY 1,PROMOTIONS,43.0,1268.5,2.0,29.5,21.5,0.06976744186046512,2.999999999999997,0
4806524147896,FOLIZ (FOLIC ACID) 5MG CAP,SPECIAL CATEGORY 1,PROMOTIONS,330.0,811.2,12.0,2.4581818181818185,27.5,0.7189677326215441,-2.2237762237762233,1
4806524147896,FOLIZ (FOLIC ACID) 5MG TAB,SPECIAL CATEGORY 1,PROMOTIONS,9.0,20.16,1.0,2.24,9.0,0.0,0.0,0
