Month,Actual,Holdout_Pred,Forecast
2022-05-01,115.0,,
2022-06-01,80.0,,
2022-07-01,130.0,,
2022-08-01,50.0,,
2022-09-01,135.0,,
2022-10-01,63.0,,
2022-11-01,150.0,,
2022-12-01,130.0,,
2023-01-01,91.0,,
2023-02-01,50.0,,
2023-03-01,135.0,,
2023-04-01,139.0,,
2023-05-01,178.0,,
2023-06-01,357.0,,
2023-07-01,197.0,,
2023-08-01,424.22999999999985,,
2023-09-01,188.0,,
2023-10-01,275.0,,
2023-11-01,153.0,,
2023-12-01,154.0,,
2024-01-01,279.0,,
2024-02-01,32.0,,
2024-03-01,223.0,,
2024-04-01,83.0,,
2024-05-01,33.0,,
2024-06-01,34.0,,
2024-07-01,70.0,,
2024-08-01,15.0,,
2024-09-01,96.0,92.33466005314169,
2024-10-01,166.0,106.40087567811601,
2024-11-01,32.0,99.80448725939515,
2024-12-01,50.0,85.82305885337666,
2025-01-01,65.0,121.64944978004343,
2025-02-01,46.0,71.4196065467645,
2025-03-01,77.0,59.88388912306382,
2025-04-01,,,55.15984904675481
2025-05-01,,,31.5292354959141
2025-06-01,,,31.270258486739525
2025-07-01,,,38.5189815818282
2025-08-01,,,27.513456599723934
2025-09-01,,,44.68729479284085
