Month,Actual,Holdout_Pred,Forecast
2023-03-01,245.0,,
2023-04-01,438.0,,
2023-05-01,424.0,,
2023-06-01,363.0,,
2023-07-01,80.0,,
2023-08-01,329.0,,
2023-09-01,164.0,,
2023-10-01,233.0,,
2023-11-01,285.0,,
2023-12-01,419.0,,
2024-01-01,336.0,,
2024-02-01,342.0,,
2024-03-01,185.0,,
2024-04-01,350.0,,
2024-05-01,265.0,,
2024-06-01,249.0,,
2024-07-01,300.0,,
2024-08-01,326.0,,
2024-09-01,242.0,,
2024-10-01,308.0,,
2024-11-01,231.0,280.4816439151764,
2024-12-01,315.0,270.50900661945343,
2025-01-01,491.8,278.8034805059433,
2025-02-01,270.0,268.270409822464,
2025-03-01,483.0,266.6871385574341,
2025-04-01,,,431.802842923996
2025-05-01,,,381.49590984514754
2025-06-01,,,385.7160061117278
2025-07-01,,,383.17440861546766
2025-08-01,,,389.0782819254647
2025-09-01,,,355.4893820147329
