Date,Receipt,SO,Item Code,Description,Expiration Date,Qty,Unit,Discount,Sales,Cost,Profit,Payment,Cashier ID,_row_id,error_reason,error_stage
Grand Total,,,,,7577,,"518,065.03",,"518,065.03","204,119.67","122,934.94","505,717.25",,7577,summary/total row matched 'grand total',pre-map
,,,,,,,<na>,,30.0,20.35,4.46,,,3,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,18.5,15.16,3.34,,,7,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,26.8,4.98,6.86,,,11,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,2874.99,1989.27,534.07,,,16,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,10.6,4.47,1.65,,,20,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,94.5,51.93,20.9,,,27,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,119.7,36.26,10.93,,,32,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,105.6,19.58,11.94,,,37,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,15.0,9.2,5.8,,,41,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,20.0,2.25,8.75,,,45,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,30.0,0.48,20.4,,,49,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,30.0,0.48,20.4,,,53,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,14.25,11.74,2.51,,,57,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,76.5,11.19,9.86,,,62,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,13.8,6.16,1.47,,,66,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,115.0,106.28,8.72,,,70,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,796.8,17.9,158.8,,,75,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,13.0,11.7,1.3,,,79,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,23.0,19.83,3.17,,,83,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,266.25,11.09,99.84,,,87,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,56.0,1.55,34.3,,,91,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,1528.35,327.52,53.31,,,101,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,35.0,0.58,30.66,,,106,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,27.75,23.04,4.71,,,110,financial data present but missing supporting fields,remove_incomplete_rows
