Date,Receipt,SO,Item Code,Description,Expiration Date,Qty,Unit,Discount,Sales,Cost,Profit,Payment,Cashier ID,Category,Tab,_row_id,error_reason,error_stage
Grand Total,,,,,8569,,"486,845.48",,"486,845.48","180,273.13","100,332.84","474,925.62",,,,8569,summary/total row matched 'grand total',pre-map
,,,,,,,<na>,,52.9,46.01,6.89,,,,,2,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,91.25,77.48,13.77,,,,,7,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,87.5,13.5,11.61,,,,,12,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,270.0,245.09,24.91,,,,,16,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,460.5,50.51,280.67,,,,,24,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,48.0,43.48,4.52,,,,,28,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,95.0,31.61,-2.57,,,,,33,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,141.0,62.07,16.85,,,,,37,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,150.0,130.56,19.44,,,,,41,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,26.0,17.56,8.44,,,,,45,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,13.0,11.7,1.3,,,,,49,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,20.0,0.35,16.5,,,,,53,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,120.0,56.0,64.0,,,,,57,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,348.0,5.8,174.0,,,,,61,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,178.75,10.17,122.75,,,,,66,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,81.75,74.72,7.03,,,,,70,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,100.11,55.5,41.11,,,,,76,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,860.0,78.07,79.3,,,,,80,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,133.5,71.5,14.85,,,,,85,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,17.0,3.65,2.4,,,,,89,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,10.0,0.78,6.88,,,,,93,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,73.5,61.8,11.7,,,,,97,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,2861.31,2227.27,470.42,,,,,102,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,770.0,250.0,270.0,,,,,106,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,292.0,243.08,48.92,,,,,110,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,414.0,135.25,143.51,,,,,115,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,136.25,118.49,17.76,,,,,121,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,95.5,61.45,22.32,,,,,127,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,680.0,51.21,95.2,,,,,134,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,17.0,15.44,1.56,,,,,138,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,322.5,116.89,200.14,,,,,145,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,171.61,137.78,33.83,,,,,151,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,108.5,91.46,17.04,,,,,156,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,1050.0,650.0,400.0,,,,,160,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,710.81,89.31,98.61,,,,,169,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,70.3,12.78,6.39,,,,,173,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,108.0,89.09,18.91,,,,,178,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,185.5,168.35,17.15,,,,,183,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,99.44,60.2,33.45,,,,,194,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,100.11,7.42,54.36,,,,,200,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,52.75,47.75,5.0,,,,,204,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,54.75,45.55,9.2,,,,,208,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,4.0,1.82,2.18,,,,,212,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,74.3,57.45,9.69,,,,,217,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,11.0,6.33,4.67,,,,,221,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,520.0,373.06,146.94,,,,,226,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,50.0,41.47,8.53,,,,,230,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,13.0,11.7,1.3,,,,,234,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,27.0,23.75,3.25,,,,,238,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,662.5,23.89,65.37,,,,,242,financial data present but missing supporting fields,remove_incomplete_rows
