cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
-1,116,722488.49,56534.0,16.63583534866129,7.0,42.57342657342657,0.6517244630557253,0.008333333333333807,"High-Sales, High-Volume, Premium, Rising"
0,97,31448.91,4779.0,9.82,2.0,15.5,0.3333333333333333,0.0,"High-Sales, High-Volume"
1,7,11167.6,2964.0,3.7424407582938386,5.0,52.714285714285715,0.7897771863408378,-3.0714285714285703,"High-Sales, High-Volume, Declining"
2,7,19292.44,2886.0,10.525478927203066,7.0,31.0,0.667542707342449,0.24999999999999858,"High-Sales, High-Volume, Rising"
3,8,6742.5599999999995,765.0,17.07639206712433,3.0,26.0,0.5099618187437209,0.0,Premium
4,7,12645.51,2541.0,10.2,4.0,52.25,0.49175338013379344,-14.7,"High-Sales, High-Volume, Declining"
5,7,6994.64,1129.0,14.46378787878788,4.0,21.0,0.48579453157216357,0.0,Premium
6,5,6374.34,1439.0,4.429830508474576,4.0,73.75,0.6790709940543672,-0.028571428571431898,Declining
7,5,3722.2799999999997,409.0,15.659574468085106,4.0,15.4,0.4528726175107193,1.9999999999999991,"Premium, Rising"
8,5,5544.05,235.0,23.255102040816325,4.0,12.25,0.36991435294128117,-1.8000000000000007,"Premium, Declining"
9,6,12007.970000000001,1933.0,14.338285714285714,5.5,45.02564102564102,0.43874651946386667,-3.41767399267399,"High-Sales, High-Volume, Premium, Declining"
