cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
-1,93,28268.39,1503.0,25.0,3.0,3.1666666666666665,0.3333333333333333,-7.850462293418875e-17,"High-Sales, High-Volume, Premium, Declining"
0,6,1080.0,51.0,20.0,2.0,3.5,0.1916383190435099,-3.925231146709437e-17,"High-Sales, High-Volume, Premium, Declining"
1,9,899.0,45.0,20.0,2.0,2.0,0.282842712474619,2.1961400718323828e-16,"High-Sales, High-Volume, Premium, Rising"
2,11,654.92,46.0,12.0,2.0,2.5,0.2,0.0,"High-Sales, High-Volume"
3,8,319.0,23.0,14.75,1.0,2.0,0.0,0.0,Mixed
4,15,339.0,25.0,12.0,1.0,1.0,0.0,0.0,Mixed
5,6,654.0,55.0,11.0,2.0,4.083333333333333,0.10973698010786796,-0.2500000000000004,"High-Sales, High-Volume, Declining"
6,5,74.5,5.0,15.0,1.0,1.0,0.0,0.0,Premium
7,12,423.52,28.0,12.0,1.0,1.5,0.0,0.0,Mixed
8,5,376.5,31.0,25.0,3.0,1.6666666666666667,0.2200974933396436,-0.5000000000000011,"High-Volume, Premium, Declining"
9,5,990.0,30.0,33.0,3.0,2.0,0.408248290463863,-0.5999999999999999,"High-Sales, Premium, Declining"
10,7,210.0,11.0,30.0,1.0,1.0,0.0,0.0,Premium
11,16,772.08,54.0,12.0,1.0,2.0,0.0,0.0,"High-Sales, High-Volume"
12,7,74.0,7.0,10.0,1.0,1.0,0.0,0.0,Mixed
