cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
-1,152,2406776.93,73381.0,39.23155339805825,18.0,15.058823529411764,0.6869198629659345,0.08571428571428566,"High-Sales, High-Volume, Premium, Rising"
0,98,33879.11,5187.0,28.291666666666664,2.5,3.0,0.3368873153908375,0.0,"High-Sales, High-Volume"
1,5,7169.78,591.0,14.22,4.0,20.166666666666668,0.6035281350575592,7.500000000000007,Rising
2,16,15955.83,1471.0,35.809583333333336,5.5,9.0,0.4447716255604459,3.316569460115101e-17,"High-Volume, Rising"
3,17,32097.0,2142.0,22.47529411764706,8.0,15.5,0.6571467350794633,0.10000000000000009,"High-Sales, High-Volume, Rising"
4,23,70354.84,3025.0,41.38260869565217,9.0,10.916666666666666,0.5816994852286804,6.079225803007946e-16,"High-Sales, High-Volume, Premium, Rising"
5,7,31613.63,1110.0,38.185811965811965,9.0,6.851851851851852,0.6888251964241243,0.08669108669108679,"High-Sales, Premium, Rising"
6,6,7451.89,735.0,70.99298850574714,9.5,5.516666666666667,0.6994300257495576,0.023809523809523846,"Premium, Rising"
7,5,7871.78,428.0,19.71951219512195,5.0,18.625,0.6704334186614891,-3.3452380952380953,Declining
8,5,26275.5,1047.0,55.505376344086024,18.0,11.851851851851851,0.6284902544988268,0.006105006105006106,"Premium, Rising"
