cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
Noise / Outliers,120,258806.98,4052.0,79.6916923076923,14.5,1.7182539682539684,0.5025364251852178,0.0047952047952047345,"High-Sales, High-Volume, Premium, Rising"
"High-Sales, High-Volume, Premium, Rising 2",6,9096.75,122.0,137.63636363636363,7.0,1.3611111111111112,0.34015067152490375,0.03754578754578756,"High-Sales, High-Volume, Premium, Rising"
"High-Sales, High-Volume, Declining 1",90,17367.04,541.0,40.25,3.0,1.2678571428571428,0.30114049748729443,-2.2117995988149233e-17,"High-Sales, High-Volume, Declining"
"High-Sales, High-Volume, Premium, Declining",10,10117.55,159.0,78.14285714285714,8.5,1.5444444444444445,0.45429524327337356,-3.5577958717540446e-17,"High-Sales, High-Volume, Premium, Declining"
"High-Sales, High-Volume, Premium, Rising 3",11,6972.71,99.0,78.5,6.0,1.1428571428571428,0.3061862178478973,0.012121212121212154,"High-Sales, High-Volume, Premium, Rising"
"High-Sales, High-Volume, Declining 2",23,9174.93,215.0,70.25,4.0,1.3333333333333333,0.35136418446315326,-6.416503832330935e-17,"High-Sales, High-Volume, Declining"
Declining 1,5,1688.0,87.0,28.0,6.0,1.5,0.47140452079103173,-7.850462293418875e-17,Declining
Declining 2,14,657.45,44.0,17.25,2.0,1.125,0.0,-3.925231146709437e-17,Declining
Rising,6,3515.5,70.0,58.75,6.5,1.6607142857142856,0.45516241727608736,0.09890109890109894,Rising
"Premium, Rising 1",5,3874.0,38.0,87.25,6.0,1.125,0.2939723678960656,8.985767264226737e-17,"Premium, Rising"
"High-Volume, Rising",9,4284.95,106.0,53.25,5.0,1.25,0.34641016151377546,5.22643071871976e-17,"High-Volume, Rising"
"High-Sales, Premium, Declining",5,4454.75,43.0,99.25,7.0,1.4285714285714286,0.5099019513592784,-4.8374234447508063e-17,"High-Sales, Premium, Declining"
"Premium, Rising 2",5,3581.95,73.0,119.0,6.0,1.25,0.34641016151377546,0.3,"Premium, Rising"
