cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
-1,373,413336.3,13637.0,42.46153846153846,1.0,15.0,0.0,0.0,"High-Sales, High-Volume"
0,8,1720.0,114.0,16.25,1.0,13.5,0.0,0.0,Mixed
1,15,3035.26,239.0,25.0,1.0,8.0,0.0,0.0,"High-Sales, High-Volume"
2,100,3450.91,506.0,17.125,1.0,2.0,0.0,0.0,"High-Sales, High-Volume"
3,7,2108.51,176.0,42.75,1.0,7.0,0.0,0.0,"High-Volume, Premium"
4,101,9490.3,560.0,40.0,1.0,2.0,0.0,0.0,"High-Sales, High-Volume"
5,5,61.4,11.0,6.25,1.0,2.0,0.0,0.0,Mixed
6,7,2760.15,170.0,56.5,1.0,7.0,0.0,0.0,"High-Sales, High-Volume, Premium"
7,37,4817.98,237.0,62.5,1.0,2.0,0.0,0.0,"High-Sales, High-Volume, Premium"
8,13,2897.21,519.0,10.0,1.0,22.0,0.0,0.0,"High-Sales, High-Volume"
9,29,1689.02,109.0,28.5,1.0,2.0,0.0,0.0,Mixed
10,23,3379.94,160.0,48.0,1.0,3.0,0.0,0.0,"High-Sales, High-Volume, Premium"
11,8,2249.15,119.0,93.875,1.0,3.0,0.0,0.0,Premium
12,10,1198.44,101.0,34.625,1.0,3.5,0.0,0.0,Mixed
13,5,1262.0,28.0,63.0,1.0,4.0,0.0,0.0,Premium
14,21,3943.61,276.0,46.7875,1.0,4.0,0.0,0.0,"High-Sales, High-Volume, Premium"
15,6,2033.4099999999999,91.0,84.575,1.0,4.0,0.0,0.0,Premium
16,17,2813.06,98.0,83.0,1.0,2.0,0.0,0.0,"High-Sales, Premium"
17,7,2528.11,123.0,72.5,1.0,5.0,0.0,0.0,"High-Sales, High-Volume, Premium"
18,5,2250.0,112.0,15.0,1.0,30.0,0.0,0.0,Mixed
19,7,3059.18,221.0,48.5,1.0,9.0,0.0,0.0,"High-Sales, High-Volume, Premium"
20,17,2665.93,100.0,52.75,1.0,3.0,0.0,0.0,"High-Sales, Premium"
21,9,3655.7,262.0,27.25,1.0,15.0,0.0,0.0,"High-Sales, High-Volume"
22,6,1038.15,45.0,53.0,1.0,5.5,0.0,0.0,Premium
23,7,2221.51,58.0,53.0,1.0,6.0,0.0,0.0,Premium
24,7,38.15,11.0,4.0,1.0,1.0,0.0,0.0,Mixed
25,4,840.9,147.0,10.53,1.0,22.5,0.0,0.0,High-Volume
26,6,410.75,41.0,23.0,1.0,3.0,0.0,0.0,Mixed
27,6,1560.5,25.0,97.0,1.0,3.0,0.0,0.0,Premium
28,8,2323.41,121.0,30.75,1.0,9.5,0.0,0.0,"High-Sales, High-Volume"
