cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
Noise / Outliers,127,1993397.47,95919.0,25.855003903200625,16.0,25.115384615384617,0.6786686630358297,-0.024999999999999956,"High-Sales, High-Volume, Declining"
"High-Sales, High-Volume",82,28040.16,3098.0,30.875,2.0,3.0,0.24142135623730948,0.0,"High-Sales, High-Volume"
"High-Sales, High-Volume, Rising 1",13,23388.92,1934.0,26.0,7.0,9.6,0.6321138356614003,1.6179500518269156e-16,"High-Sales, High-Volume, Rising"
"High-Sales, High-Volume, Rising 2",22,26729.36,3735.0,18.538471708090956,5.5,19.6,0.5651877415841462,0.017857142857142936,"High-Sales, High-Volume, Rising"
"High-Sales, High-Volume, Premium, Rising",14,28268.0,1910.0,118.94107843137255,10.0,2.0584415584415585,0.34816863381282903,0.01783216783216786,"High-Sales, High-Volume, Premium, Rising"
"Premium, Declining 1",18,17063.69,648.0,71.22942307692308,5.0,2.333333333333333,0.3398717474235544,-0.09469696969696964,"Premium, Declining"
"Premium, Declining 2",6,15377.26,478.0,82.33333333333334,7.5,3.0476190476190474,0.5463741536040057,-0.24999999999999997,"Premium, Declining"
"Premium, Declining 3",8,17691.78,908.0,54.28119565217391,6.0,6.138461538461538,0.6284961117973302,-0.31483516483516477,"Premium, Declining"
Declining,5,15950.59,1659.0,24.5625,8.0,24.25,0.5044009473148031,-0.1999999999999997,Declining
"Premium, Rising",5,7949.85,199.0,48.0,6.0,3.6666666666666665,0.3186887195995491,0.09010989010989003,"Premium, Rising"
"High-Sales, Premium, Declining",8,27378.02,1000.0,92.71195652173913,7.5,5.75,0.4375489473110038,-0.07387955182072826,"High-Sales, Premium, Declining"
"High-Sales, High-Volume, Rising 3",5,20901.940000000002,3565.0,27.02922077922078,7.0,38.5,0.5064935064935064,0.024242424242424246,"High-Sales, High-Volume, Rising"
"High-Volume, Premium, Rising",8,18918.44,3484.0,53.407826086956526,12.0,19.98333333333333,0.6631720992611934,0.026943644590703413,"High-Volume, Premium, Rising"
