cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
Noise / Outliers,156,733140.43,24173.0,33.026315789473685,7.0,3.6794871794871797,0.5,-0.01818181818181818,"High-Sales, High-Volume, Premium, Declining"
"High-Sales, High-Volume, Declining 1",28,4836.04,248.0,20.0,2.5,3.4,0.3398717474235544,-7.850462293418875e-17,"High-Sales, High-Volume, Declining"
Rising 1,5,1610.5,87.0,20.0,4.0,3.5714285714285716,0.31716197120135853,0.14285714285714265,Rising
"High-Sales, High-Volume, Premium 1",21,3134.12,156.0,24.0,2.0,3.0,0.3809008405285684,0.0,"High-Sales, High-Volume, Premium"
"High-Sales, High-Volume 1",77,3967.1,301.0,12.0,2.0,2.0,0.0,0.0,"High-Sales, High-Volume"
"High-Sales, High-Volume 2",35,3460.74,259.0,12.0,2.0,3.0,0.3535533905932738,0.0,"High-Sales, High-Volume"
"Premium, Declining 1",6,1447.4,58.0,28.555555555555557,4.0,2.3666666666666667,0.408827719085593,-0.4000000000000002,"Premium, Declining"
"High-Sales, High-Volume, Premium 2",22,4375.54,193.0,31.0,3.0,2.0,0.4481393009590856,0.0,"High-Sales, High-Volume, Premium"
Declining,5,1896.75,85.0,20.0,4.0,4.75,0.6492207662311682,-0.7000000000000001,Declining
Premium,7,845.0,40.0,25.0,1.0,2.5,0.0,0.0,Premium
"Premium, Declining 2",9,736.0,30.0,28.0,2.0,1.5,0.0,-1.570092458683775e-16,"Premium, Declining"
"High-Sales, High-Volume, Declining 2",17,4422.34,277.0,15.0,4.0,3.4,0.5378254348272379,-0.035714285714285705,"High-Sales, High-Volume, Declining"
"High-Volume, Declining",11,2460.1,153.0,20.0,3.0,5.0,0.4320493798938574,-0.20000000000000023,"High-Volume, Declining"
"Premium, Declining 3",5,2796.4,102.0,33.0,7.0,2.4285714285714284,0.49565586901037406,-5.87620928599458e-17,"Premium, Declining"
Rising 2,6,2411.0,105.0,22.5,5.0,3.5,0.4411934580013898,0.18333333333333304,Rising
"High-Sales, Premium, Declining",7,3166.0,83.0,38.0,6.0,2.0,0.5,-0.08571428571428587,"High-Sales, Premium, Declining"
