cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
Noise / Outliers,231,1431242.29,154763.0,11.097560975609756,9.0,35.333333333333336,0.6435541864722277,-0.05454545454545451,"High-Sales, High-Volume, Premium, Declining"
Premium,19,5439.61,1222.0,11.2,3.0,11.9,0.4695594862326935,0.0,Premium
"High-Sales, High-Volume, Premium 1",122,14362.96,2500.0,10.578,2.0,5.0,0.0,0.0,"High-Sales, High-Volume, Premium"
"High-Sales, High-Volume, Premium, Declining 2",14,13459.45,2270.0,11.925006862894616,5.5,16.490909090909092,0.5231417250337549,-3.925231146709437e-17,"High-Sales, High-Volume, Premium, Declining"
"High-Sales, High-Volume, Declining 1",18,10270.86,2098.0,9.8125,4.0,13.166666666666668,0.581197402361648,-0.24415584415584354,"High-Sales, High-Volume, Declining"
"High-Sales, High-Volume, Declining 2",5,11901.98,1704.0,8.6992700729927,6.0,49.5,0.8498365855987974,-8.513986013986012,"High-Sales, High-Volume, Declining"
"High-Sales, Premium, Declining 1",10,9026.64,466.0,34.09958333333333,3.5,9.125,0.38501543121683046,-3.925231146709437e-17,"High-Sales, Premium, Declining"
"High-Sales, High-Volume",21,14856.18,2022.0,9.522105263157894,4.0,20.0,0.5582504235800626,0.0,"High-Sales, High-Volume"
"High-Sales, High-Volume, Premium 2",25,9020.25,1904.0,17.656,4.0,10.0,0.34641016151377546,0.0,"High-Sales, High-Volume, Premium"
"High-Sales, Premium, Declining 2",8,9275.89,1191.0,10.818196721311477,8.0,13.565454545454546,0.5363890764900971,-0.05606060606060573,"High-Sales, Premium, Declining"
"High-Volume, Declining",14,6894.37,1859.0,3.889072375127421,6.0,19.535714285714285,0.7572454216920474,-1.2763591800356495,"High-Volume, Declining"
"Premium, Declining",7,5696.37,506.0,28.785714285714285,2.0,14.0,0.6666666666666666,-3.9999999999999996,"Premium, Declining"
Rising 1,5,5008.41,813.0,5.891812865497076,6.0,20.0,0.5773502691896258,0.04102564102564109,Rising
Declining,7,5452.26,768.0,7.918367346938775,6.0,13.5,0.46110739251810123,-1.1703296703296697,Declining
"High-Volume, Rising",6,6530.1,1330.0,6.546124031007752,6.5,33.125,0.6075888670469265,1.5590909090909095,"High-Volume, Rising"
"Premium, Rising",10,4208.08,645.0,16.973055555555558,4.0,10.75,0.4811517098395776,0.19999999999999993,"Premium, Rising"
Rising 2,5,3101.75,880.0,4.2827586206896555,9.0,18.0,0.8339730733507491,0.6333333333333325,Rising
