cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
-1,160,1414565.19,7824.0,268.5,5.0,2.0,0.4894539274814384,0.0,"High-Sales, High-Volume, Premium"
0,10,2559.17,55.0,140.55,1.0,1.3,0.0,0.0,Premium
1,97,9676.29,610.0,24.11,1.0,2.0,0.0,0.0,"High-Sales, High-Volume"
2,39,12694.96,610.0,56.0,2.0,2.0,0.0,0.0,"High-Sales, High-Volume"
3,8,4845.47,68.0,151.0,3.5,1.1666666666666665,0.1767766952966369,-4.1074449758993214e-17,"High-Sales, Premium, Declining"
4,5,4960.7,51.0,200.0,2.0,1.2857142857142858,0.2,0.14285714285714288,"High-Sales, Premium, Rising"
5,5,2849.49,70.0,115.0,3.0,2.0,0.5644108049875584,0.0,Premium
6,12,5603.3,336.0,34.4025,4.5,3.833333333333333,0.5160905549692234,0.19999999999999987,"High-Sales, High-Volume, Rising"
7,6,3042.5,102.0,44.0,3.0,3.5,0.42210338602796593,0.7999999999999997,"High-Volume, Rising"
8,5,2066.0,61.0,84.0,3.0,1.6666666666666667,0.3535533905932738,0.0,Mixed
9,5,4247.12,317.0,140.0,4.0,1.5,0.5773502691896257,0.0,"High-Volume, Premium"
