cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
-1,251,3639177.57,163619.0,42.119377192982455,21.0,12.058823529411764,0.6483633163136677,0.024060150375939816,"High-Sales, High-Volume, Rising"
0,14,20158.48,1590.0,41.5,5.5,8.571428571428571,0.49337807559704316,0.017857142857142894,"High-Volume, Rising"
1,20,5504.62,315.0,78.35,2.0,1.5,0.3080880229039762,0.0,Premium
2,50,5824.54,283.0,34.5,1.0,1.25,0.0,0.0,Mixed
3,66,39511.06,1858.0,88.69999999999999,3.5,1.6666666666666667,0.34641016151377546,-2.4187117223754032e-17,"High-Sales, High-Volume, Premium, Declining"
4,19,34095.06,1869.0,34.361111111111114,8.0,4.857142857142857,0.6085806194501846,1.6179500518269156e-16,"High-Sales, High-Volume, Rising"
5,23,22166.74,1119.0,73.58500000000001,6.0,2.1666666666666665,0.5,-0.07272727272727274,"Premium, Declining"
6,15,30232.5,1154.0,120.79882352941176,10.0,1.5454545454545454,0.34641016151377546,0.017482517482517508,"High-Sales, High-Volume, Premium, Rising"
7,6,31810.1,986.0,120.49266581632654,14.5,3.486111111111111,0.5701591877328211,0.24438970990695127,"High-Sales, Premium, Rising"
8,30,36751.0,1894.0,71.97941176470587,6.5,1.770935960591133,0.5154717881879685,-6.319244574714244e-17,"High-Sales, High-Volume, Declining"
9,5,12247.65,429.0,72.11764705882354,9.0,5.2,0.6938886664887108,0.13986013986013984,"Premium, Rising"
10,8,20459.37,675.0,82.33333333333334,8.5,3.0476190476190474,0.5313829476191243,-0.24999999999999997,"Premium, Declining"
11,12,19083.13,763.0,39.92765957446808,8.0,4.444444444444445,0.4002644425943654,0.03646688560481662,Rising
12,10,34288.98,1209.0,84.92134615384614,8.5,5.75,0.4738289113915031,-0.022058823529411735,"High-Sales, High-Volume, Premium, Declining"
13,6,28164.809999999998,1299.0,39.57756671899529,14.5,11.53921568627451,0.6441550998879847,-0.052145680406549946,"High-Sales, High-Volume, Declining"
14,6,21864.5,1358.0,15.062962962962963,12.5,20.94097222222222,0.58053393830349,0.18744588744588833,"High-Volume, Rising"
15,6,24966.84,996.0,111.921175,9.0,5.333333333333333,0.42492751108999793,0.06249999999999961,"High-Sales, Premium, Rising"
16,9,19899.33,1126.0,24.562391304347823,6.0,7.076923076923077,0.6324555320336759,-0.3296703296703292,Declining
17,8,25414.99,1678.0,76.22028985507247,11.5,3.2794117647058822,0.5811452225746763,0.020129870129870196,"High-Sales, High-Volume, Premium, Rising"
18,6,39270.8,2244.0,31.08470643939394,17.0,16.849547511312217,0.6108155269308146,0.06988795518207287,"High-Sales, High-Volume, Rising"
19,8,18845.760000000002,527.0,110.4608695652174,11.0,1.5520833333333335,0.5957362632043117,0.00011655011655004564,"Premium, Rising"
