cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
Noise / Outliers,266,1289354.08,17744.0,66.20098765432098,17.0,2.3333333333333335,0.546765942806394,0.028461538461538413,"High-Sales, High-Volume, Premium, Rising"
"High-Sales, High-Volume, Premium, Rising 2",17,8181.45,180.0,91.74,4.0,1.3333333333333333,0.34641016151377546,5.22643071871976e-17,"High-Sales, High-Volume, Premium, Rising"
"High-Sales, High-Volume 1",187,33193.18,1233.0,35.0,3.0,1.3333333333333333,0.31943828249996986,0.0,"High-Sales, High-Volume"
"High-Sales, High-Volume, Declining 1",7,10644.25,193.0,56.138888888888886,13.0,1.5,0.4006168083848877,-0.016483516483516467,"High-Sales, High-Volume, Declining"
Rising 1,7,4796.13,86.0,62.0,8.0,1.3846153846153846,0.408248290463863,8.985767264226737e-17,Rising
"High-Sales, High-Volume, Premium, Rising 3",14,8865.79,222.0,78.31,6.5,1.2666666666666666,0.33333333333333337,2.140046603056291e-17,"High-Sales, High-Volume, Premium, Rising"
Mixed,13,6887.66,134.0,54.0,4.0,2.0,0.447213595499958,0.0,Mixed
"High-Sales, High-Volume, Declining 2",18,18366.03,473.0,56.169117647058826,8.5,1.6111111111111112,0.45429524327337356,-3.5577958717540446e-17,"High-Sales, High-Volume, Declining"
Premium,7,4166.93,77.0,65.75,5.0,1.6,0.3333333333333333,0.0,Premium
"High-Sales, High-Volume 2",45,17760.73,424.0,63.0,3.0,1.5714285714285714,0.34641016151377546,0.0,"High-Sales, High-Volume"
"High-Sales, High-Volume, Premium, Rising 4",9,14052.32,295.0,97.1875,11.0,1.6666666666666667,0.3685138655950444,0.03571428571428578,"High-Sales, High-Volume, Premium, Rising"
"Premium, Declining 1",6,4690.0,77.0,73.93181818181819,5.5,2.975,0.3314412425369836,-0.005952380952381532,"Premium, Declining"
"High-Sales, High-Volume, Premium, Declining 1",7,8716.5,193.0,96.0,7.0,1.8,0.45508306023843204,-0.10714285714285728,"High-Sales, High-Volume, Premium, Declining"
"High-Sales, High-Volume, Rising",8,10289.380000000001,282.0,53.324074074074076,8.0,2.7987012987012987,0.5498647580846237,0.049999999999999926,"High-Sales, High-Volume, Rising"
"Premium, Declining 2",5,5378.3,104.0,67.5,7.0,2.25,0.48432210483785265,-4.4235991976298466e-17,"Premium, Declining"
Rising 2,5,6776.75,125.0,56.75,12.0,2.0,0.5599823630379623,0.10714285714285716,Rising
"Premium, Rising",4,5062.46,41.0,124.46249999999999,7.5,1.5416666666666665,0.45341836288288095,0.07142857142857145,"Premium, Rising"
"Premium, Declining 3",5,4479.75,45.0,99.25,5.0,1.5,0.5137011669140814,-7.107905678787443e-17,"Premium, Declining"
Rising 3,5,2801.25,52.0,62.0,7.0,1.5714285714285714,0.5359078575967234,0.09999999999999994,Rising
"High-Sales, High-Volume, Premium, Declining 2",6,13174.4,215.0,75.63720930232559,12.5,2.534188034188034,0.5892830713028552,-0.07801087801087792,"High-Sales, High-Volume, Premium, Declining"
Rising 4,5,4733.26,85.0,55.868235294117646,6.0,2.0714285714285716,0.3535533905932738,0.03736263736263727,Rising
