cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
-1,1561,19409948.15,626969.0,45.91636363636364,13.0,10.023809523809524,0.6130956997860455,0.005301211872840991,"High-Sales, High-Volume, Premium, Rising"
0,13,7099.65,957.0,63.5,2.0,2.5,0.050507627227610534,-7.850462293418875e-17,"High-Volume, Premium, Declining"
1,21,10975.21,476.0,43.9,4.0,3.0,0.4109404892393573,0.0,High-Sales
2,875,136785.87,10395.0,24.75,2.0,2.0,0.1488645855129574,0.0,"High-Sales, High-Volume"
3,7,9942.55,396.0,26.816981132075473,6.0,8.833333333333334,0.6204704852600653,2.5999999999999988,Rising
4,21,19916.75,2000.0,55.868235294117646,6.0,2.8,0.47380354147934295,7.951207131982424e-18,"High-Sales, High-Volume, Premium, Rising"
5,43,17638.86,733.0,42.0,3.0,2.0,0.3535533905932738,0.0,"High-Sales, High-Volume"
6,87,49074.78,3137.0,54.0,4.0,2.4285714285714284,0.408248290463863,0.0,"High-Sales, High-Volume, Premium"
7,74,34869.06,2935.0,35.0,4.0,2.396103896103896,0.41272270035059433,0.0,"High-Sales, High-Volume"
8,5,3302.5,77.0,55.0,2.0,6.0,0.3535533905932738,0.4999999999999998,"Premium, Rising"
9,13,13414.35,1192.0,34.52433333333333,7.0,3.8,0.5656854249492379,0.0,"High-Sales, High-Volume"
10,50,30812.81,1652.0,50.480000000000004,4.5,2.041666666666667,0.39152305637600415,0.0,"High-Sales, High-Volume, Premium"
11,84,30921.39,2571.0,36.375,3.0,2.3333333333333335,0.34816863381282903,0.0,"High-Sales, High-Volume"
12,8,8812.72,859.0,39.31759682224429,5.5,11.583333333333334,0.42447466264871064,-0.014285714285714313,"High-Volume, Declining"
13,7,17060.4,793.0,24.630909090909093,7.0,12.714285714285714,0.6259949787498481,-0.6071428571428574,"High-Sales, High-Volume, Declining"
14,5,16979.74,2020.0,37.75,17.0,8.085714285714285,0.5443310539518174,0.1649859943977592,"High-Sales, High-Volume, Rising"
15,6,8393.08,1562.0,30.0,8.0,20.0,0.591062779461784,-0.006060606060606061,"High-Volume, Declining"
16,11,13931.83,1130.0,84.35066666666667,7.0,1.875,0.5532833351724882,-0.035714285714285636,"High-Sales, High-Volume, Premium, Declining"
17,6,7131.15,64.0,170.1357142857143,4.5,1.5,0.346802010588682,-9.361405345627201e-17,"Premium, Declining"
18,37,25126.7,1658.0,34.65,4.0,2.4,0.3513641844631533,0.0,"High-Sales, High-Volume"
19,7,12825.39,843.0,22.069518072289156,5.0,16.6,0.6035114735041587,0.0,"High-Sales, High-Volume"
20,10,8423.61,932.0,24.13313725490196,5.5,6.828571428571428,0.5268055912743861,-0.01373626373626379,"High-Volume, Declining"
21,17,15661.52,927.0,24.382105263157893,6.0,8.714285714285714,0.5,-8.214889951798643e-17,"High-Sales, High-Volume, Declining"
22,5,11258.38,1243.0,25.294382022471908,5.0,9.88888888888889,0.5017117475608913,0.028461538461538413,"High-Sales, High-Volume, Rising"
23,14,15128.23,804.0,26.83340909090909,5.0,6.416666666666666,0.5779460905347642,-0.07142857142857163,"High-Sales, High-Volume, Declining"
24,45,33144.7,1676.0,35.5,4.0,2.6666666666666665,0.4898979485566356,0.0,"High-Sales, High-Volume"
25,6,8992.380000000001,388.0,49.974000000000004,3.5,11.05,0.39368213351243087,-8.119847570969573e-16,"Premium, Declining"
26,32,13847.59,1094.0,32.84615384615385,3.5,3.166666666666667,0.3831990044768811,0.0,"High-Sales, High-Volume"
27,16,12562.94,762.0,41.447,6.0,4.041666666666666,0.3506278970096651,-0.005952380952381075,"High-Sales, High-Volume, Declining"
28,15,11567.48,629.0,70.36363636363636,5.0,3.3333333333333335,0.554050452816699,1.0813965140346581e-17,"High-Sales, High-Volume, Premium, Rising"
29,5,7200.6,131.0,48.0,3.0,10.0,0.3559026084010437,-0.5,"Premium, Declining"
30,8,16328.68,420.0,56.156666666666666,7.5,1.875,0.4368841038492356,0.04645723841376008,"High-Sales, Premium, Rising"
31,8,6928.33,414.0,31.862647058823534,7.0,3.4955357142857144,0.5163706634495099,0.04653361344537814,Rising
32,6,7045.39,960.0,10.818196721311477,8.0,9.245454545454546,0.5432097519191208,0.04064039408866998,"High-Volume, Rising"
33,17,15308.15,575.0,68.87384615384616,5.0,3.0,0.5137011669140814,-0.07272727272727274,"High-Sales, Premium, Declining"
34,5,7589.5,90.0,152.0,5.0,2.0,0.5,0.09999999999999981,"Premium, Rising"
35,18,11573.28,651.0,59.475,3.5,1.4166666666666665,0.23277682362890356,-8.032676122608759e-17,"High-Sales, High-Volume, Premium, Declining"
36,28,28250.88,1424.0,61.267857142857146,6.5,1.75,0.45774439806017475,-0.005159958720330248,"High-Sales, High-Volume, Premium, Declining"
37,6,13165.0,877.0,23.31283783783784,7.5,12.75,0.5842346564817238,-0.10598290598290587,"High-Sales, High-Volume, Declining"
38,11,12675.3,783.0,57.57000000000001,6.0,2.6153846153846154,0.5,-0.012121212121212185,"High-Sales, High-Volume, Premium, Declining"
39,13,25679.98,1020.0,94.23809523809524,10.0,1.8,0.4938781530603559,0.020588235294117727,"High-Sales, High-Volume, Premium, Rising"
40,6,5969.6900000000005,42.0,995.0,1.0,1.0,0.0,0.0,Premium
41,5,8999.47,780.0,150.0,8.0,1.5,0.47140452079103173,-0.5714285714285708,"High-Volume, Premium, Declining"
42,6,20798.62,583.0,64.88355263157895,7.0,9.125,0.5891279457384663,0.28383458646616566,"High-Sales, Premium, Rising"
43,8,7908.95,299.0,39.0,5.5,3.238095238095238,0.5661622759603235,-0.5166666666666667,Declining
