item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
2000640000932,GATORADE BLUE BOLT 1.5L,BEVERAGES,F&B,3.0,345.0,30.75,2.0,115.0,1.5,0.3333333333333333,0.9999999999999998,-1
27719626,YAKULT 80ML,BEVERAGES,F&B,25.0,375.0,125.0,4.0,15.0,6.25,0.7277362159464101,-2.7000000000000015,2
38685599350,AIDEX GLUTARALDEHYDE 2.4% 4L,BEVERAGES,F&B,6.0,9499.279999999999,2299.2799999999997,3.0,1583.2133333333331,2.0,0.408248290463863,0.4999999999999994,-1
40382295926,POCARI SWEAT ION DRINK 500ML,BEVERAGES,F&B,60.0,3240.0,541.01,9.0,54.0,6.666666666666667,0.7211102550927978,-1.2666666666666664,-1
41737620,C2 SOLO APPLE 230ML,BEVERAGES,F&B,16.0,320.0,116.0,4.0,20.0,4.0,0.30618621784789724,-0.6,-1
4800014350537,NESTEA LEMON 350ML,BEVERAGES,F&B,2.0,56.0,56.0,1.0,28.0,2.0,0.0,0.0,0
4800014534234,NESTEA LEMON ICE 500ML,BEVERAGES,F&B,5.0,175.0,46.75,1.0,35.0,5.0,0.0,0.0,1
4800016025716,C2 MILK TEA CARAMEL 270ML,BEVERAGES,F&B,8.0,240.0,34.4,2.0,30.0,4.0,0.0,-3.14018491736755e-16,1
4800016052040,C2 GREEN TEA APPLE 355ML,BEVERAGES,F&B,20.0,600.0,110.0,4.0,30.0,5.0,0.7874007874011811,-2.2000000000000015,-1
4800016052057,C2 GREEN TEA LEMON 355ML,BEVERAGES,F&B,6.0,180.0,53.82000000000001,3.0,30.0,2.0,0.7071067811865476,-1.5000000000000002,1
4800016052774,C2 APPLE 1000ML,BEVERAGES,F&B,3.0,153.0,19.740000000000002,3.0,51.0,1.0,0.0,8.985767264226737e-17,1
4800016068010,C2 SOLO APPLE 230ML,BEVERAGES,F&B,19.0,380.0,137.75,3.0,20.0,6.333333333333333,0.6092545738310646,-4.499999999999999,2
4800016068195,C2 SOLO LEMON 230ML,BEVERAGES,F&B,30.0,600.0,217.5,8.0,20.0,3.75,0.39440531887330776,0.5,-1
4800016073588,BLUE VITA BOOST 500ML,BEVERAGES,F&B,5.0,175.0,23.55,1.0,35.0,5.0,0.0,0.0,1
4800016073953,VITASOY ORIGINAL 300ML,BEVERAGES,F&B,4.0,100.0,16.04,4.0,25.0,1.0,0.0,-8.214889951798643e-17,1
4800016073960,VITASOY CHOCOLATE 300ML,BEVERAGES,F&B,11.0,275.0,44.11,4.0,25.0,2.75,0.5378254348272379,-0.9000000000000001,1
4800016074097,C2 SOLO MELON 230ML,BEVERAGES,F&B,2.0,40.0,14.5,1.0,20.0,2.0,0.0,0.0,0
4800016074769,C2 MILK TEA CHOCOLATE 270ML,BEVERAGES,F&B,7.0,210.0,30.1,2.0,30.0,3.5,0.42857142857142855,2.999999999999999,1
4800016074776,C2 MILK TEA WINTERMELON 270ML,BEVERAGES,F&B,4.0,120.0,17.2,1.0,30.0,4.0,0.0,0.0,1
4800016091179,SWISS MISS CHOCOLATE HAZEL NUT 26G,BEVERAGES,F&B,13.0,195.0,47.45,3.0,15.0,4.333333333333333,0.4741856925360752,-1.5000000000000007,1
4800016091209,SWISS MISS MILK CHOCOLATE 26G,BEVERAGES,F&B,12.0,174.0,37.8,2.0,14.5,6.0,0.6666666666666666,-7.999999999999999,1
4800024581105,DEL MONTE PINEAPPLE A-C-E 220ML,BEVERAGES,F&B,11.0,440.0,129.36,3.0,40.0,3.6666666666666665,0.34015067152490375,-0.5000000000000004,-1
4800049720107,NATURE&#039;S SPRING 350ML,BEVERAGES,F&B,20.0,260.0,127.2,3.0,13.0,6.666666666666667,0.4301162633521313,1.499999999999999,1
4800136620013,MAALOX SUSP. 180ML,BEVERAGES,F&B,4.0,1300.0,115.96,5.0,325.0,0.8,0.5,-0.2000000000000001,-1
4800350108878,POCARI SWEAT ION DRINK 900ML,BEVERAGES,F&B,92.0,9438.0,1985.6399999999999,13.0,102.58695652173913,7.076923076923077,0.5929644216080807,0.049450549450549545,-1
4800361331500,BEAR BRAND STERILIZED MILK 200ML,BEVERAGES,F&B,43.0,1505.0,327.1,9.0,35.0,4.777777777777778,0.6064374330421068,-0.6499999999999994,-1
4800361361811,BEAR BRAND STERMILK W/ GINSENG 200ML,BEVERAGES,F&B,13.0,455.0,110.5,6.0,35.0,2.1666666666666665,0.6201736729460424,-0.08571428571428587,-1
4800361361835,BEAR BRAND STERMILK W/ GINKGO,BEVERAGES,F&B,15.0,525.0,127.5,6.0,35.0,2.5,0.5537749241945383,-0.31428571428571417,-1
4800361362139,MILO 180ML,BEVERAGES,F&B,6.0,192.0,53.459999999999994,3.0,32.0,2.0,0.7071067811865476,5.769208098040985e-16,1
4800361388313,NESTLE CHUCKIE 180ML,BEVERAGES,F&B,22.0,880.0,371.79999999999995,6.0,40.0,3.6666666666666665,0.7977240352174658,-1.2571428571428573,-1
4800361395687,CHUCKIE 110ML,BEVERAGES,F&B,8.0,200.0,86.4,4.0,25.0,2.0,0.5,-0.7999999999999999,1
4800361403764,NESCAFE ORIGINAL 26G,BEVERAGES,F&B,10.0,100.0,23.0,2.0,10.0,5.0,0.8,-7.999999999999999,1
4800361412063,BEAR BRAND FORTI 180ML,BEVERAGES,F&B,7.0,245.0,89.6,3.0,35.0,2.3333333333333335,0.20203050891044214,-0.5,1
4800361413480,MILO 24G/12 PC,BEVERAGES,F&B,89.0,890.0,128.25,9.0,10.0,9.88888888888889,0.4406443045197208,-0.28333333333333316,-1
4800361413992,NESCAFE CREAMY LATTE TWIN PACK 51G,BEVERAGES,F&B,9.0,180.0,68.67,3.0,20.0,3.0,0.9428090415820635,1.200888720305946e-15,1
4800361415293,MILO 48G TWIN PACK (8s,BEVERAGES,F&B,30.0,630.0,139.8,8.0,21.0,3.75,0.5617433182117573,-0.142857142857143,-1
4800361415347,NESCAFE ORIGINAL TWINPACK,BEVERAGES,F&B,20.0,400.0,152.6,3.0,20.0,6.666666666666667,0.3741657386773941,2.9999999999999996,2
4800361416726,NESCAFE CREAMY WHITE TWIN PACK,BEVERAGES,F&B,35.0,700.0,267.05,9.0,20.0,3.888888888888889,0.7010196655077312,0.5666666666666664,-1
4800361425360,NESTLE CHUCKIE 250ML,BEVERAGES,F&B,22.0,990.0,385.0,7.0,45.0,3.142857142857143,0.549229362436117,0.14285714285714293,-1
4800602020934,WILKINS DISTILLED 500ML,BEVERAGES,F&B,1096.0,19722.239999999998,2997.48,24.0,17.994744525547443,45.666666666666664,0.8672856813573817,4.161739130434783,-1
4800602087937,WILKINS DISTILLED 1L,BEVERAGES,F&B,626.0,18770.23,3996.93,24.0,29.984392971246006,26.083333333333332,0.631319928520483,1.7573913043478264,-1
4800611223579,COBRA SMART ENERGY DRINK 350ML,BEVERAGES,F&B,2.0,60.0,15.0,2.0,30.0,1.0,0.0,-7.850462293418875e-17,0
4800611546760,COBRA ENERGY DRINK 350ML,BEVERAGES,F&B,4.0,112.0,26.0,3.0,28.0,1.3333333333333333,0.3535533905932738,0.4999999999999998,1
4801981107971,WILKINS PURE 500ML,BEVERAGES,F&B,862.0,15512.4,7242.97,33.0,17.995823665893273,26.12121212121212,0.6883056560250573,-0.8546122994652402,-1
4801981118502,COCA-COLA ORIG TASTE 290ML,BEVERAGES,F&B,20.0,400.0,75.0,4.0,20.0,5.0,0.42426406871192845,0.1999999999999994,2
4801981119981,WILKINS PURE 1L,BEVERAGES,F&B,379.0,11370.0,4121.08,26.0,30.0,14.576923076923077,0.8938829566985294,-0.6191452991452994,-1
4801981126866,WILKINS PURE 330ML,BEVERAGES,F&B,469.0,5155.0,1778.1999999999998,17.0,10.991471215351812,27.58823529411765,0.602065146033983,-0.6053921568627436,-1
4801981127177,COCA-COLA ORIG TASTE 190ML,BEVERAGES,F&B,27.0,324.0,45.089999999999996,3.0,12.0,9.0,0.15713484026367724,1.4999999999999991,-1
4801981127184,COKE ZERO 195ML,BEVERAGES,F&B,14.0,280.0,135.38,4.0,20.0,3.5,0.47380354147934284,0.20000000000000018,1
4801981127207,ROYAL TRU ORANGE 190ML,BEVERAGES,F&B,12.0,180.0,56.04,2.0,15.0,6.0,0.3333333333333333,3.999999999999999,1
