item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
1000200100,SCHEEPRIN-80 (ASPIRIN) 80MG TAB,CARDIOVASCULAR,GENERICS,74.0,141.2,82.0,3.0,1.908108108108108,24.666666666666668,0.5195238591011104,-3.5000000000000058,0
1000200122,HAEMOREX (TRANEXAMIC ACID) 500MG CAP,CARDIOVASCULAR,GENERICS,48.0,636.0,378.90000000000003,2.0,13.25,24.0,0.5833333333333334,27.999999999999996,0
1210001136144,LIPITOR TAB 20MG,CARDIOVASCULAR,PRESCRIPTION,206.0,7355.6900000000005,213.99,15.0,35.70723300970874,13.733333333333333,0.4884373292468065,0.23571428571428596,-1
1210001136748,NORVASC 5MG TAB,CARDIOVASCULAR,PRESCRIPTION,402.0,9145.5,880.38,1.0,22.75,402.0,0.0,0.0,-1
12512737,DYNA ATORVASTATIN 40MG,CARDIOVASCULAR,GENERICS,18.0,130.59,130.59,1.0,7.255,18.0,0.0,0.0,0
15273604,DYNA LOSARTAN 100MG,CARDIOVASCULAR,GENERICS,5.0,33.5,33.5,1.0,6.7,5.0,0.0,0.0,0
16430730,DYNA CLOPIDOGREL 75MG,CARDIOVASCULAR,PRESCRIPTION,10.0,41.04,41.04,1.0,4.104,10.0,0.0,0.0,0
1900010012,HYPERSTOP (CAPTOPRIL) 25MG TAB,CARDIOVASCULAR,GENERICS,5.0,5.36,3.46,1.0,1.072,5.0,0.0,0.0,0
1900010021,SAPHLOPID (CLOPIDOGREL) 75MG TAB,CARDIOVASCULAR,PRESCRIPTION,1148.0,5602.8,4315.98,10.0,4.880487804878049,114.8,0.7039039016027304,-2.799999999999996,-1
1900010074,ATORSAPH-10 (ATORVASTATIN) 10MG FC TAB,CARDIOVASCULAR,PRESCRIPTION,738.0,1585.68,931.6700000000001,14.0,2.148617886178862,52.714285714285715,0.916966813619044,-0.04835164835165002,1
1900010093,HAEMOREX (TRANEXAMIC) 500MG CAP,CARDIOVASCULAR,GENERICS,261.0,2747.15,240.49,6.0,10.525478927203066,43.5,1.0,-21.285714285714278,2
1900010134,PROMETIN (METOPROLOL) 50MG TAB,CARDIOVASCULAR,GENERICS,450.0,654.0,376.99,6.0,1.4533333333333334,75.0,0.9760085002665666,-17.999999999999993,0
21096518,ANGEL-50 (LOSARTAN POTASSIUM) 50MG TAB,CARDIOVASCULAR,GENERICS,648.0,1565.05,385.69,1.0,2.4152006172839506,648.0,0.0,0.0,1
29986620,ROSETT (ROSUVASTATIN) 10MG TAB,CARDIOVASCULAR,GENERICS,360.0,10620.0,1476.0,1.0,29.5,360.0,0.0,0.0,-1
38119798,ATORSAPH-20 (ATORVASTATIN) 20MG FC TAB,CARDIOVASCULAR,PRESCRIPTION,115.0,353.15,243.9,5.0,3.070869565217391,23.0,0.813868449168528,-11.80000000000001,0
4260274650509,CATAPRES (CLONIDINE HCL) 75MCG TAB,CARDIOVASCULAR,PRESCRIPTION,24.0,792.0,79.2,1.0,33.0,24.0,0.0,0.0,3
4260274650516,CATAPRES (CLONIDINE HCL) 150MCG TAB,CARDIOVASCULAR,PRESCRIPTION,79.0,3708.0,24.790000000000006,5.0,46.936708860759495,15.8,1.1182310291320394,-9.200000000000006,-1
43062171,FELOJEN (FELODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,75.0,525.0,228.75,3.0,7.0,25.0,0.282842712474619,-5.680024647319332e-15,0
45817663,ROSUSAPH-20 (ROSUVASTATIN) 20MG FC TAB,CARDIOVASCULAR,PRESCRIPTION,510.0,6646.8,5331.0,8.0,13.032941176470588,63.75,0.6499756006422235,-8.499999999999998,-1
4800136010197,APROVEL (IRBESARTAN) 150MG TAB,CARDIOVASCULAR,PRESCRIPTION,20.0,531.5,57.300000000000004,2.0,26.575,10.0,0.9,-17.999999999999996,0
4800136010210,CO-APROVEL TAB 150MG/12.5MG,CARDIOVASCULAR,PRESCRIPTION,28.0,864.5,30.660000000000004,1.0,30.875,28.0,0.0,0.0,3
4800136310020,APROVASC (IRBESARTAN + AMLODIPINE) 150MG/5MG TAB,CARDIOVASCULAR,PRESCRIPTION,225.0,6666.3,285.3,9.0,29.628,25.0,0.7530677998102902,0.600000000000002,-1
4800136310037,APROVASC (IRBESARTAN+ AMLODIPINE) 300MG/10MG TAB,CARDIOVASCULAR,PRESCRIPTION,40.0,1811.25,130.05,2.0,45.28125,20.0,0.25,-10.000000000000002,4
4800136650027,LASIX (FUROSEMIDE) 40MG TAB,CARDIOVASCULAR,PRESCRIPTION,38.0,837.4,-67.0,5.0,22.03684210526316,7.6,0.7877173445839877,1.9999999999999991,3
4800234407301,INDERAL 10MG TAB,CARDIOVASCULAR,PRESCRIPTION,109.0,2037.75,358.63,7.0,18.69495412844037,15.571428571428571,0.5249438348961456,1.5357142857142867,9
4800234407332,INDERAL TAB 40MG,CARDIOVASCULAR,PRESCRIPTION,37.0,980.5,86.37,3.0,26.5,12.333333333333334,0.7292290574720023,-9.000000000000005,5
4800253243034,CONCORE (BISOPROLOL) 2.5MG TAB,CARDIOVASCULAR,PRESCRIPTION,32.0,692.52,17.32,2.0,21.64125,16.0,0.875,27.999999999999993,0
4800253244017,CONCORE(BISOPROLOL FUMARATE) 5MG TAB,CARDIOVASCULAR,PRESCRIPTION,148.0,3751.0,-431.48,3.0,25.344594594594593,49.333333333333336,1.2292470095031893,-3.4999999999999822,-1
4800289820674,NEOBLOC (METOPROLOL TARTRATE) 100MG TAB,CARDIOVASCULAR,PRESCRIPTION,53.0,345.0,16.93,5.0,6.509433962264151,10.6,1.2001542561350378,2.900000000000001,0
4800289820711,NEOBLOC (METOPROLOL) 50MG TAB,CARDIOVASCULAR,PRESCRIPTION,555.0,2540.8199999999997,273.58,13.0,4.5780540540540535,42.69230769230769,0.7912597790763346,0.9065934065934097,-1
4800289820827,NEOSARTAN (LOSARTAN POTASSIUM) 50MG TAB,CARDIOVASCULAR,PRESCRIPTION,1.0,20.5,10.96,1.0,20.5,1.0,0.0,0.0,0
4800289822333,NEOSARTAN 50MG TAB,CARDIOVASCULAR,PRESCRIPTION,104.0,927.0799999999999,-149.88,4.0,8.914230769230768,26.0,0.16317848796612633,-0.8000000000000003,-1
4800292103047,CATAPRES TAB (ETHYL ALC) 75MCG,CARDIOVASCULAR,GENERICS,322.0,11258.36,1621.6,14.0,34.96385093167702,23.0,0.5800723506141885,-1.5340659340659353,-1
4800292138032,MICARDIS (TELMISARTAN) 40MG TAB,CARDIOVASCULAR,PRESCRIPTION,414.0,10647.78,943.5899999999999,11.0,25.719275362318843,37.63636363636363,0.7877285264717172,5.263636363636362,-1
4800292138070,MICARDIS 80MG TAB,CARDIOVASCULAR,PRESCRIPTION,44.0,2096.6,280.69,3.0,47.65,14.666666666666666,0.7800455591695689,7.499999999999995,-1
4800292138087,MICARDIS PLUS (TELMISARTAN + HYDROCHLOROTHIAZIDE) 40MG TAB,CARDIOVASCULAR,PRESCRIPTION,362.0,8621.1,133.85,11.0,23.815193370165748,32.90909090909091,0.6982887768659545,2.154545454545456,-1
4800292138094,MICARDIS PLUS 80MG/12.5MG,CARDIOVASCULAR,PRESCRIPTION,7.0,307.3,26.81,1.0,43.9,7.0,0.0,0.0,0
4800292139046,TWYNSTA (TELMISARTAN+AMLODIPINE) 40MG/5MG TAB,CARDIOVASCULAR,PRESCRIPTION,170.0,4902.75,1691.35,6.0,28.83970588235294,28.333333333333332,0.3315059483201264,3.885714285714285,-1
4800301902821,NATRAZOL (LOSARTAN) 100MG TAB,CARDIOVASCULAR,GENERICS,536.0,2484.0,1412.0,8.0,4.634328358208955,67.0,0.6372627474689312,5.8095238095238075,-1
4800301903132,DIASTATIN (SIMVASTATIN) 40MG TAB,CARDIOVASCULAR,GENERICS,10.0,19.0,1.5,1.0,1.9,10.0,0.0,0.0,0
4800304050031,NORVASC (AMLODIPINE BESYLATE) 5MG TAB,CARDIOVASCULAR,PRESCRIPTION,271.0,5475.12,1.7799999999999727,10.0,20.203394833948337,27.1,0.9209507130240474,3.9696969696969693,-1
4800304050079,NORVASC (AMLODIPINE BESYLATE) 10MG TAB,CARDIOVASCULAR,PRESCRIPTION,64.0,2190.0,37.03999999999999,7.0,34.21875,9.142857142857142,0.7961087001785624,-1.6428571428571432,-1
4800304051489,ISORDIL ORAL (ISOSORBIDE DINITRATE) 10MG TAB,CARDIOVASCULAR,GENERICS,22.0,396.0,-31.46,3.0,18.0,7.333333333333333,1.2264306875665494,1.0000000000000042,0
4800304051496,ISORDIL (ISOSORBIDE DINITRATE) 5MG,CARDIOVASCULAR,PRESCRIPTION,199.0,4353.89,274.8,8.0,21.878844221105528,24.875,1.216775830061023,2.6071428571428563,-1
4800304990368,ALDACTONE (SPIRONOLACTONE) 25MG TAB,CARDIOVASCULAR,PRESCRIPTION,83.0,1274.48,-125.73,7.0,15.355180722891566,11.857142857142858,1.0691031591074225,1.1428571428571426,6
4800306590917,CORALAN (IVABRADINE) 5MG,CARDIOVASCULAR,PRESCRIPTION,167.0,4777.8,885.03,9.0,28.609580838323353,18.555555555555557,0.6517325217138107,-0.28333333333333277,-1
