item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
19431318282,DEFENDER ALCOHOL 500ML,DISINFECTANT,PERSONAL CARE,2.0,138.0,31.34,1.0,69.0,2.0,0.0,0.0,0
45828956566,DEFENDER ISOPROPHYL ALCOHOL 1 GALLON,DISINFECTANT,PERSONAL CARE,1.0,320.0,100.0,1.0,320.0,1.0,0.0,0.0,0
4800011120614,CASINO ALC ACTIVE150ML,DISINFECTANT,PERSONAL CARE,15.0,528.75,88.35999999999999,6.0,35.25,2.5,0.7571877794400365,0.08571428571428577,-1
4800011120621,CASINO ALC ACTIVE 250ML,DISINFECTANT,PERSONAL CARE,18.0,891.0,155.70000000000002,6.0,49.5,3.0,0.47140452079103173,-7.1104819549512e-17,1
4800011121512,CASINO 150ML,DISINFECTANT,PERSONAL CARE,27.0,975.13,197.71,11.0,36.11592592592593,2.4545454545454546,0.3628873693012116,0.11818181818181817,1
4800011121529,CASINO 250ML,DISINFECTANT,PERSONAL CARE,20.0,950.0,163.4,7.0,47.5,2.857142857142857,0.5099019513592785,0.3571428571428571,1
4800011121536,CASINO 500ML,DISINFECTANT,PERSONAL CARE,18.0,1633.15,251.83,10.0,90.73055555555555,1.8,0.5443310539518174,0.20606060606060603,-1
4800011121543,CASINO FEMME 150ML,DISINFECTANT,PERSONAL CARE,43.0,1580.25,262.59,14.0,36.75,3.0714285714285716,1.214879803405486,-0.3318681318681321,-1
4800011121550,CASINO FEMME 250ML,DISINFECTANT,PERSONAL CARE,10.0,520.0,99.1,5.0,52.0,2.0,0.5477225575051661,-0.30000000000000054,-1
4800011121567,CASINO FEMME 500ML,DISINFECTANT,PERSONAL CARE,32.0,3019.0,432.58000000000004,12.0,94.34375,2.6666666666666665,0.5590169943749475,0.30769230769230765,-1
4800011122205,CASINO ALC FEMME W/DUAL MOIST 60ML,DISINFECTANT,PERSONAL CARE,36.0,883.9300000000001,147.3,7.0,24.553611111111113,5.142857142857143,0.780748295697511,-0.1785714285714288,1
4800011122212,CASINO ALC FEMME W/DUAL MOIST 150ML,DISINFECTANT,PERSONAL CARE,19.0,693.5,121.39999999999999,7.0,36.5,2.7142857142857144,0.6137844099837159,0.035714285714285934,2
4800011122229,CASINO FEMME DUAL MOIST 250ML,DISINFECTANT,PERSONAL CARE,35.0,2030.0,164.43,14.0,58.0,2.5,0.6718843437888484,0.1956043956043956,-1
4800011122236,CASINO ALC FEMME W/DUAL MOIST 500ML,DISINFECTANT,PERSONAL CARE,10.0,920.0,177.10000000000002,5.0,92.0,2.0,0.4472135954999579,0.19999999999999996,1
4800011131733,CASINO ALC ACTIVE 500ML,DISINFECTANT,PERSONAL CARE,3.0,261.0,44.400000000000006,1.0,87.0,3.0,0.0,0.0,0
4800011147734,HYDROGEN PEROXIDE VOL 10 3% 50ML,DISINFECTANT,PERSONAL CARE,9.0,92.25,19.62,5.0,10.25,1.8,0.41573970964154905,0.4,0
4800011718545,CASINO FEMME 60ML,DISINFECTANT,PERSONAL CARE,31.0,744.0,136.04999999999998,7.0,24.0,4.428571428571429,0.762000762001143,-0.2857142857142858,2
4800047820014,GREENCROSS 70% 500ML,DISINFECTANT,PERSONAL CARE,15.0,1462.5,345.65000000000003,6.0,97.5,2.5,0.5537749241945383,-0.5999999999999998,-1
4800047820021,GREENCROSS 70% 250ML,DISINFECTANT,PERSONAL CARE,12.0,681.0,177.72,5.0,56.75,2.4,0.5651941652604391,0.20000000000000015,2
4800047820182,GREENCROSS 70% W/ MOIST 500ML,DISINFECTANT,PERSONAL CARE,95.0,9381.25,1433.58,15.0,98.75,6.333333333333333,0.4564101766037642,0.2892857142857142,-1
4800047820199,GREENCROSS 70% W/ MOIST 250ML,DISINFECTANT,PERSONAL CARE,62.0,3222.0,542.68,11.0,51.96774193548387,5.636363636363637,0.4680199396305454,0.390909090909091,-1
4800047820236,GREENCROSS 70% 150ML,DISINFECTANT,PERSONAL CARE,15.0,562.5,102.08,6.0,37.5,2.5,0.7571877794400365,-0.8857142857142858,-1
