item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
0382908868037,INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML,DISPOSABLES,MED-SURG,12.0,264.0,264.0,1.0,22.0,12.0,0.0,0.0,0
1194541822,FACE MASK AIDELAI 50&#039;S,DISPOSABLES,MED-SURG,3.0,225.0,114.0,2.0,75.0,1.5,0.3333333333333333,-1.0,0
202204078900,PROHEALTHCARE DISPISPOSABLE MASK 50s,DISPOSABLES,MED-SURG,31.0,3720.0,1984.0,3.0,120.0,10.333333333333334,0.6579380017539077,-5.999999999999997,-1
20220407900,PROHEALTHCARE KIDS FACEMASK 50s,DISPOSABLES,MED-SURG,4.0,608.0,341.44,3.0,152.0,1.3333333333333333,0.3535533905932738,0.4999999999999998,-1
202204079300,PROHEALTHCARE KIDS FACEMASK 50s,DISPOSABLES,MED-SURG,2.0,304.0,170.72,2.0,152.0,1.0,0.0,-7.850462293418875e-17,0
382906725011,BD ULTRA FINE II INSULIN SYRINGE,DISPOSABLES,MED-SURG,12.0,267.0,127.68,2.0,22.25,6.0,0.6666666666666666,7.999999999999997,0
382908868013,INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML,DISPOSABLES,MED-SURG,124.0,2385.8,1021.8,4.0,19.240322580645163,31.0,0.8491901020056892,-2.3999999999999995,-1
40848630996,GAUZE ROLL,DISPOSABLES,MED-SURG,3.0,2520.0,420.0,1.0,840.0,3.0,0.0,0.0,-1
44042546863,PARTNERS GAUZE ROLL,DISPOSABLES,MED-SURG,18.0,472.5,247.5,3.0,26.25,6.0,1.1785113019775793,2.682644118098028e-15,1
4800011586151,MAMA&#039;S LOVE ABSORBENT COTTON 40G,DISPOSABLES,PERSONAL CARE,15.0,450.0,450.0,3.0,30.0,5.0,0.16329931618554522,0.4999999999999999,1
4800064610674,TRUST CONDOM REGULAR,DISPOSABLES,PERSONAL CARE,46.0,1235.57,329.37,10.0,26.860217391304346,4.6,0.5253498249388944,-0.3515151515151515,-1
