item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
12345678,SUCTION MACHINE (SURGITECT,ELECTRONIC MEDICAL DEVICES,MED-SURG,4.0,18688.0,4088.0,3.0,4672.0,1.3333333333333333,0.3535533905932738,-0.5,-1
17792308784,BREAST PUMP ELECTRIC,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,2950.0,1450.0,1.0,2950.0,1.0,0.0,0.0,1
2181603130016,SPIT GUARD,ELECTRONIC MEDICAL DEVICES,MED-SURG,3.0,45.0,45.0,1.0,15.0,3.0,0.0,0.0,0
23418608,AIR MATTRESS (VMED) COMFORT AND LIGHTNESS,ELECTRONIC MEDICAL DEVICES,MED-SURG,2.0,5120.0,2798.58,2.0,2560.0,1.0,0.0,-7.850462293418875e-17,-1
24830461,PROHEALTH NEBULIZER VMNB03,ELECTRONIC MEDICAL DEVICES,MED-SURG,20.0,27891.51,13991.51,10.0,1394.5755,2.0,0.5477225575051661,0.15757575757575765,-1
37727361492,SUCTION CATH F 16,ELECTRONIC MEDICAL DEVICES,MED-SURG,6.0,77.7,29.7,1.0,12.950000000000001,6.0,0.0,0.0,0
4300010002,PROHEALTH PULSE OXIMETER,ELECTRONIC MEDICAL DEVICES,MED-SURG,24.0,26383.91,8533.91,9.0,1099.3295833333334,2.6666666666666665,0.6614378277661478,-0.13333333333333328,-1
430010004,LINTEMED PULSE OXIMETER,ELECTRONIC MEDICAL DEVICES,MED-SURG,4.0,3567.84,1367.84,2.0,891.96,2.0,0.5,-2.0,1
45910009910,BREAST PUMP GLASS (HELIO,ELECTRONIC MEDICAL DEVICES,MED-SURG,3.0,336.0,126.0,3.0,112.0,1.0,0.0,8.985767264226737e-17,0
4800067058015,BBFLO BREAST PUMP PLASTIC,ELECTRONIC MEDICAL DEVICES,MED-SURG,6.0,840.0,190.75,4.0,140.0,1.5,0.5773502691896257,0.19999999999999996,0
4806526300428,PARTNERS NEBULIZER,ELECTRONIC MEDICAL DEVICES,MED-SURG,4.0,4160.0,1498.0,3.0,1040.0,1.3333333333333333,0.3535533905932738,0.4999999999999998,1
4806526304730,PARTNERS BLOOD GLUCOMETER CBPC-73,ELECTRONIC MEDICAL DEVICES,MED-SURG,18.0,14804.279999999999,7766.28,9.0,822.4599999999999,2.0,0.5270462766947299,-0.11666666666666663,-1
4806530870108,DIGITAL THERMOMETER (INDOPLAS,ELECTRONIC MEDICAL DEVICES,MED-SURG,34.0,3525.6,1315.6,11.0,103.69411764705882,3.090909090909091,0.7095492989302834,0.2727272727272728,1
