item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
096619926626,KIRKLAND FISH OIL,FOOD SUPPLEMENTS,OTC,371.0,1435.92,601.1700000000001,8.0,3.8704043126684637,46.375,0.8653550554480228,10.226190476190474,0
1076597085,JELLY PLUMPING WATER TINT [#01 DEEP RED],FOOD SUPPLEMENTS,OTC,1.0,76.47,-113.81,1.0,76.47,1.0,0.0,0.0,1
2507732948,PURITAN&#039;S PRIDE OMEGA 3 FISH OIL 90&#039;S,FOOD SUPPLEMENTS,OTC,6.0,1500.0,1500.0,2.0,250.0,3.0,0.6666666666666666,-3.9999999999999996,0
33680255,I QURE 32 IN 1 COFFEE,FOOD SUPPLEMENTS,F&B,347.0,6413.5,1208.5,11.0,18.48270893371758,31.545454545454547,0.875208119989194,-2.818181818181817,-1
4000009375336,AMAZING PURE ORGANIC BARLEY 3G,FOOD SUPPLEMENTS,OTC,215.0,21496.0,10096.0,15.0,99.98139534883721,14.333333333333334,0.5591076874498282,-0.6321428571428569,-1
4800301800370,BIOFITEA (SENNA LEAVES 1SENNA POS) SAC,FOOD SUPPLEMENTS,OTC,336.0,2012.8,402.58000000000004,23.0,5.9904761904761905,14.608695652173912,0.8460446353138295,-0.2509881422924902,-1
4800428888817,BIGUERLAI SLIMMING TEA,FOOD SUPPLEMENTS,OTC,69.0,534.75,189.75,9.0,7.75,7.666666666666667,0.5702120455914783,0.266666666666667,1
4806503650065,TRIANON MELATONIN 3MG CAP,FOOD SUPPLEMENTS,OTC,5.0,77.28,-2.72,2.0,15.456,2.5,0.2,-1.0000000000000007,1
4806503650263,SLEEPWELL (MELATONIN) 3MG CAP,FOOD SUPPLEMENTS,OTC,889.0,15746.810000000001,1536.52,32.0,17.71294713160855,27.78125,1.0461452395863169,0.6284824046920823,-1
4806503650843,TRIMAG MAGNESIUM 200MG CAP,FOOD SUPPLEMENTS,OTC,90.0,1620.0,270.0,2.0,18.0,45.0,0.3333333333333333,29.99999999999999,0
4806512430023,PAU D&#039; ARCO CAP,FOOD SUPPLEMENTS,OTC,220.0,3630.0,330.0,9.0,16.5,24.444444444444443,0.40640532631376564,0.33333333333333504,-1
4806518900056,ATC FISH OIL 100MG,FOOD SUPPLEMENTS,OTC,125.0,916.5,185.25,9.0,7.332,13.88888888888889,0.6443849780992725,1.8999999999999995,-1
4806518900247,ATC FISH OIL 1000MG (30&#039;S) PER PC,FOOD SUPPLEMENTS,OTC,250.0,1600.63,138.13,8.0,6.402520000000001,31.25,0.5469917732470938,1.190476190476189,0
4806529431198,DIASOL-75 ORS SACHET,FOOD SUPPLEMENTS,OTC,45.0,267.0,267.0,4.0,5.933333333333334,11.25,0.4802262841105402,3.2999999999999985,1
4806529980160,DOK HERBAL COFFEE 9 IN 1,FOOD SUPPLEMENTS,F&B,11.0,165.0,165.0,1.0,15.0,11.0,0.0,0.0,1
4806529980177,DOK HERBAL COFFE 15 IN 1,FOOD SUPPLEMENTS,F&B,20.0,300.0,300.0,1.0,15.0,20.0,0.0,0.0,1
4806529980184,DOK HERBAL COFFE 21 IN 1,FOOD SUPPLEMENTS,F&B,17.0,255.0,255.0,3.0,15.0,5.666666666666667,0.6497271186580742,-2.0000000000000027,1
4807788783691,Glucopro Wintermelon Tea Green (Resistant Maltodextrin) sachet pack (5+1,FOOD SUPPLEMENTS,OTC,1.0,160.0,160.0,1.0,160.0,1.0,0.0,0.0,1
4809012254687,OPTEIN EYE HEALTH SUPPLEMENT CAP,FOOD SUPPLEMENTS,OTC,50.0,1489.0,166.0,7.0,29.78,7.142857142857143,0.35440090293338694,0.10714285714285728,0
4809013160369,MEMO PLUS GOLD CAP,FOOD SUPPLEMENTS,OTC,100.0,1587.5,311.5,8.0,15.875,12.5,0.867179335547152,3.4999999999999996,0
4809013625004,MX3 CAP,FOOD SUPPLEMENTS,OTC,823.0,14219.01,2854.83,28.0,17.27704738760632,29.392857142857142,0.8572922931883453,0.10043787629994562,-1
4809013625028,MX3 PLUS CAP,FOOD SUPPLEMENTS,OTC,23.0,644.0,64.4,2.0,28.0,11.5,0.7391304347826086,-17.000000000000004,1
4809013625080,MX3 COFFEE,FOOD SUPPLEMENTS,F&B,3623.0,65192.4,6914.610000000001,34.0,17.99403808998068,106.55882352941177,0.4624024717090178,0.6305576776165017,-1
4809015918036,BEST JUICE 10 IN 1 30G,FOOD SUPPLEMENTS,F&B,12.0,336.0,336.0,3.0,28.0,4.0,1.0606601717798212,-4.5,1
4809015918098,BESTCAFFE 8 IN 1 COFFE,FOOD SUPPLEMENTS,F&B,42.0,546.0,546.0,4.0,13.0,10.5,0.24743582965269675,-1.7999999999999992,1
4809015918180,BESTCAFFE GOLD 20 IN 1 COFFEE,FOOD SUPPLEMENTS,F&B,46.0,828.0,828.0,4.0,18.0,11.5,0.8397046919925203,-2.399999999999996,1
4809015918210,BESTCAFFE BLACK COFFE 24G,FOOD SUPPLEMENTS,F&B,83.0,830.0,830.0,6.0,10.0,13.833333333333334,0.5084565746026312,0.1428571428571425,1
725765883124,PROPOLIS 600MG CAP,FOOD SUPPLEMENTS,OTC,669.0,44291.1,44291.1,5.0,66.20493273542601,133.8,0.44544095665171896,20.2,-1
84489814,IQURE HERBAL COFFEE 18 IN 1,FOOD SUPPLEMENTS,F&B,1225.0,18345.0,2378.98,20.0,14.975510204081633,61.25,0.40708019567928594,1.2864661654135328,-1
8994388106619,INBUMIN 250MG (STRIATIN) FC TAB,FOOD SUPPLEMENTS,OTC,1140.0,48016.09,6685.07,24.0,42.119377192982455,47.5,0.5734024738743675,-0.4304347826086973,-1
90311017,DOK HERBAL COFFE 19 IN 1 INSULIN PLUS,FOOD SUPPLEMENTS,F&B,10.0,150.0,150.0,3.0,15.0,3.3333333333333335,0.787400787401181,2.4999999999999987,1
94974706,I QURE HERBAL COFFEE 8IN1,FOOD SUPPLEMENTS,F&B,196.0,2940.0,375.64,12.0,15.0,16.333333333333332,1.325509811314768,-1.3776223776223755,-1
96619926626,KIRKLAND FISH OIL 1000IU,FOOD SUPPLEMENTS,OTC,295.0,1172.0,508.25,5.0,3.9728813559322034,59.0,1.4524939176697322,23.000000000000004,-1
G14890901,I QURE 750 MG CAP,FOOD SUPPLEMENTS,OTC,215.0,2580.0,430.0,8.0,12.0,26.875,0.5463681157439263,-2.035714285714288,-1
