item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
23554917,SANITARY BALM (CAMPHOR+MENTHOL) 10G,GALENICALS AND SOLUTIONS,MED-SURG,11.0,283.25,30.799999999999997,4.0,25.75,2.75,0.6982859770789643,-0.6999999999999994,0
24019699,SANITARY BALM (CAMPHOR+MENTHOL) 32G,GALENICALS AND SOLUTIONS,MED-SURG,25.0,1320.0,247.88,11.0,52.8,2.272727272727273,0.42332020977033447,0.12727272727272723,-1
37321667384,EFFICASCENT OIL REG 25ML,GALENICALS AND SOLUTIONS,MED-SURG,16.0,458.0,76.89999999999999,6.0,28.625,2.6666666666666665,0.8291561975888501,-6.548738434834962e-17,1
4046222115012,CONTRACTUBEX 10G GEL,GALENICALS AND SOLUTIONS,MED-SURG,1.0,1049.5,95.5,1.0,1049.5,1.0,0.0,0.0,-1
43429479423,EFFICASCENT OIL REG 50ML,GALENICALS AND SOLUTIONS,MED-SURG,14.0,721.0,115.91999999999999,4.0,51.5,3.5,0.24743582965269675,0.6000000000000001,1
4800011101033,ACEITE DE ALCAMFORADO (IPI) 50ML,GALENICALS AND SOLUTIONS,MED-SURG,8.0,248.8,70.08,5.0,31.1,1.6,0.30618621784789724,-2.019495217934519e-16,0
4800011132921,EFFICASCENT OIL EXTREME25ML,GALENICALS AND SOLUTIONS,MED-SURG,73.0,2993.0,413.49,15.0,41.0,4.866666666666666,0.5996183185818984,0.09642857142857156,-1
4800011132938,EFFICASCENT OIL EXTREME 50ML,GALENICALS AND SOLUTIONS,MED-SURG,61.0,4788.5,419.48,15.0,78.5,4.066666666666666,0.5711885701699786,0.1321428571428572,-1
4800011132945,EFFICASCENT OIL EXTREME 100ML,GALENICALS AND SOLUTIONS,MED-SURG,26.0,3324.0,449.0,14.0,127.84615384615384,1.8571428571428572,0.4485347611419462,-0.03956043956043964,-1
4800011133126,EFFICASCENT OINTMENT (TIN CAN) 10G,GALENICALS AND SOLUTIONS,MED-SURG,45.0,1126.0,157.78,9.0,25.022222222222222,5.0,0.6928203230275509,0.5333333333333335,-1
4800011133331,EFFICASCENT OIL REG 50ML,GALENICALS AND SOLUTIONS,MED-SURG,2.0,103.0,16.56,1.0,51.5,2.0,0.0,0.0,0
4800011133348,EFFICASCENT OIL REG 100ML,GALENICALS AND SOLUTIONS,MED-SURG,5.0,487.25,71.68,5.0,97.45,1.0,0.0,-1.0507920739455759e-16,1
4800011133430,EFFICASCENT OIL EXTRA STRENGTH 50ML,GALENICALS AND SOLUTIONS,MED-SURG,41.0,2639.0,320.58000000000004,13.0,64.36585365853658,3.1538461538461537,0.5812865994055115,-0.20879120879120874,-1
4800011133447,EFFICASCENT OIL EXTRA STRENGTH 100ML,GALENICALS AND SOLUTIONS,MED-SURG,19.0,2256.0,242.2,12.0,118.73684210526316,1.5833333333333333,0.4042708288351899,-0.05244755244755233,-1
4800011139401,EFFICASCENT RELAXSCENT OIL 3ML,GALENICALS AND SOLUTIONS,MED-SURG,100.0,5160.4,635.54,15.0,51.604,6.666666666666667,0.506951674225463,-0.08571428571428549,-1
4800011139418,EFFICASCENT RELAXSCENT OIL 6ML,GALENICALS AND SOLUTIONS,MED-SURG,69.0,5589.0,288.29,15.0,81.0,4.6,0.4944557133110719,0.10714285714285719,-1
4800011145303,OMEGA ADVANCE SPRAY 50ML,GALENICALS AND SOLUTIONS,MED-SURG,11.0,968.0,122.4,8.0,88.0,1.375,0.5061603966209111,0.20238095238095233,-1
4800011159034,IPI (ACEITE DE MANZANILLA) 50ML,GALENICALS AND SOLUTIONS,MED-SURG,31.0,697.5,91.36,12.0,22.5,2.5833333333333335,0.7147909614890431,0.1573426573426572,1
4800011159041,IPI (ACEITE DE MANZANILLA) 100ML,GALENICALS AND SOLUTIONS,MED-SURG,13.0,616.0,131.35,9.0,47.38461538461539,1.4444444444444444,0.4741856925360752,-0.049999999999999815,1
4800011171531,IPI SALICYLIC ACID 50ML,GALENICALS AND SOLUTIONS,MED-SURG,21.0,599.6700000000001,116.63000000000001,9.0,28.555714285714288,2.3333333333333335,0.6998542122237651,-0.2166666666666663,1
4800011187037,IPI WINTERGREEN 50ML,GALENICALS AND SOLUTIONS,MED-SURG,20.0,898.2,261.2,7.0,44.910000000000004,2.857142857142857,0.5099019513592785,0.14285714285714296,-1
4800064630115,EZ LUBRICATING JELLY 10G,GALENICALS AND SOLUTIONS,MED-SURG,8.0,236.0,43.52,4.0,29.5,2.0,0.3535533905932738,-0.39999999999999997,0
4800067552179,MENTOPAS PLASTER 1X10,GALENICALS AND SOLUTIONS,MED-SURG,45.0,2290.8,280.96,10.0,50.90666666666667,4.5,0.5643744488533464,-0.1515151515151516,-1
48031547,EFFICASCENT OIL REG 25ML,GALENICALS AND SOLUTIONS,MED-SURG,3.0,85.5,14.549999999999999,2.0,28.5,1.5,0.3333333333333333,0.9999999999999998,0
48033053,IPI (ACEITE DE MANZANILLA) 25ML,GALENICALS AND SOLUTIONS,MED-SURG,38.0,560.5,68.67,14.0,14.75,2.7142857142857144,0.5644108049875584,0.07912087912087902,1
48033121,IPI SALICYLIC ACID 25ML,GALENICALS AND SOLUTIONS,MED-SURG,20.0,335.0,33.199999999999996,9.0,16.75,2.2222222222222223,0.46368092477478523,0.03333333333333339,0
