item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
1000010199,MAALOX TAB1,GIT,PRESCRIPTION,80.0,820.0,88.0,8.0,10.25,10.0,0.5722761571129799,-0.42857142857142905,0
1000200029,CALMSAPH (ALUM. MAG. HYDROXIDE) 200MG/100MG CHEWABLE TAB,GIT,PRESCRIPTION,28.0,93.8,77.0,3.0,3.35,9.333333333333334,0.10101525445522107,-9.875325746880172e-16,1
1000200098,HARVIMIDE (LOPERAMIDE) 2MG CAP,GIT,GENERICS,120.0,360.0,294.0,4.0,3.0,30.0,1.349073756323204,-27.600000000000012,2
1900010113,INHIBITA (OMEPRAZOLE) 40MG EC TAB,GIT,GENERICS,735.0,5946.29,3399.35,14.0,8.090190476190475,52.5,0.7139954058573192,1.4791208791208783,-1
1900010126,HYOSAPH (HYOSCINE-N BUTYLBROMIDE) 10MG TAB,GIT,GENERICS,5.0,36.5,22.0,1.0,7.3,5.0,0.0,0.0,1
1900010203,SAPHRIDONE (DOMPERIDONE) 10MG TAB,GIT,GENERICS,54.0,120.0,74.10000000000001,5.0,2.2222222222222223,10.8,0.9060836905722273,2.7000000000000006,1
1900010255,GASTROSAPH AF300 (RANITIDINE HCL) 300MG TAB,GIT,GENERICS,48.0,340.8,140.26,3.0,7.1000000000000005,16.0,0.3679900360969936,-1.999999999999999,2
21958939,SENOKOT (CALCIUM SENNOSIDES) 8.77MG TAB,GIT,OTC,28.0,396.14,25.79,6.0,14.147857142857143,4.666666666666667,0.5758755534498964,0.45714285714285696,2
4800046000738,VIVALYTE E-DRINK APPLE 250ML,GIT,OTC,221.0,11238.0,2045.3999999999999,14.0,50.85067873303167,15.785714285714286,0.46377331338301603,-0.46373626373626414,-1
4800046000752,VIVALYTE E-DRINK ORANGE 250ML,GIT,OTC,142.0,7785.25,1221.9099999999999,14.0,54.82570422535211,10.142857142857142,0.81459119667162,0.7956043956043956,-1
4800046000844,VIVALYTE PLUS APPLE 4.8G SACHET,GIT,OTC,488.0,7592.25,798.4000000000001,12.0,15.557889344262295,40.666666666666664,0.7316233840818974,5.944055944055943,3
4800046000868,VIVALYTE ORANGE 4.8G SACHET,GIT,OTC,65.0,1023.75,122.2,3.0,15.75,21.666666666666668,0.4367713712793351,4.5000000000000036,-1
4800046000882,VIVALYTE PLUS APPLE SACHET,GIT,OTC,30.0,585.0,585.0,1.0,19.5,30.0,0.0,0.0,4
4800046000899,VIVALYTE PLUS ORANGE 4.8G SACHET,GIT,OTC,189.0,2868.75,535.9300000000001,12.0,15.178571428571429,15.75,1.0404193842729517,-1.89160839160839,-1
4800136390039,DULCOLAX SUPP ADULT 10MG,GIT,OTC,87.0,5044.92,94.02,13.0,57.98758620689655,6.6923076923076925,0.7915193241695088,-0.12637362637362587,-1
4800136390046,DULCOLAX (BISACODYL) 5MG SUPP INFANT,GIT,OTC,37.0,2280.5,212.36,11.0,61.63513513513514,3.3636363636363638,0.6620242548062643,-0.17272727272727267,-1
4800136390084,DULCOLAX 5MG TAB,GIT,GENERICS,190.0,4241.88,223.50000000000003,12.0,22.325684210526315,15.833333333333334,0.5671525807589134,0.1468531468531476,-1
4800136400011,BUSCOPAN VENUS (HYOSCINE BUTYLBROMIDE) 10MG500MG TAB,GIT,OTC,226.0,7562.27,351.2,15.0,33.46137168141593,15.066666666666666,0.4981365541967255,-0.8499999999999995,3
4800136400035,BUSCOPAN PLUS( HYOSCINE N-BUTYLBROMIDE/PARACETAMOL) 10MG/500MG TAB,GIT,OTC,38.0,1543.8,401.9,5.0,40.626315789473686,7.6,0.5102820902543505,-0.7000000000000001,5
4800136400042,BUSCOPAN (HYOSCINE BUTYLBROMIDE) TAB,GIT,OTC,502.0,14707.5,1934.9899999999998,14.0,29.29780876494024,35.857142857142854,0.7450412251678213,2.896703296703297,-1
4800136400424,BUSCOPAN TAB,GIT,OTC,142.0,4636.75,785.7099999999999,3.0,32.653169014084504,47.333333333333336,1.0594788986100103,57.999999999999986,-1
4800136620112,MAALOX PLUS (ALUMINUM HYDROXIDE MAGNESIUM HYDROXIDE SIMETHECONE) TAB,GIT,PRESCRIPTION,133.0,1934.5,160.13,10.0,14.545112781954888,13.3,0.5706861025307045,-0.8666666666666656,-1
4800136620174,MAALOX PLUS SUSP 250ML,GIT,PRESCRIPTION,11.0,6476.25,831.62,7.0,588.75,1.5714285714285714,0.3149183286488868,0.03571428571428572,-1
4800136730019,ERCEFLORA (BASILLUS CLAUSII) ORAL SOLUTION 5ML,GIT,OTC,243.0,10012.5,672.74,7.0,41.2037037037037,34.714285714285715,0.5663185436801913,-1.5000000000000004,-1
4800136730156,ERCEFLORA GUT DEFENSE 2 BILLION/5ML,GIT,OTC,86.0,3827.95,294.21000000000004,3.0,44.5110465116279,28.666666666666668,0.8256632779570573,28.0,-1
