item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
42855118,SAPHTERIDE-5 (FINASTERIDE) 5MG FC TAB,GUT AND HORMONES,GENERICS,214.0,2193.9,6.0,10.251869158878504,35.666666666666664,0.5720053737607236,2.8000000000000007,0
47068001,SAPHTRATE (POTASSIUM CITRATE) 1.080 (10MEQ) TAB,GUT AND HORMONES,PRESCRIPTION,20.0,155.0,2.0,7.75,10.0,0.4,-8.0,0
4800064610414,TRUST PILLS (ETHINYL ESTRADIOL + LEVONORGESTREL,GUT AND HORMONES,OTC,262.0,13755.5,34.0,52.50190839694657,7.705882352941177,0.38615694259364086,0.0009167303284951,0
4800064630023,LADY PILLS (ETHINYL ESTRADIOL + LEVONORGESTEROL,GUT AND HORMONES,OTC,230.0,11195.06,34.0,48.674173913043475,6.764705882352941,0.4942772692564283,-0.018029029793735645,0
4800064630061,ALTHEA PILLS (CYPROTERONE ACETATE + ETHINYLESTRADIOL,GUT AND HORMONES,PRESCRIPTION,71.0,33209.75,28.0,467.74295774647885,2.5357142857142856,0.6189175364146433,-0.02380952380952379,0
4800064630108,DAPHNE PILLS,GUT AND HORMONES,PRESCRIPTION,33.0,4907.400000000001,23.0,148.70909090909092,1.434782608695652,0.49608198617408783,0.003952569169960468,0
4800204013617,RELEAF(SAMBONG)FORTE 500MG,GUT AND HORMONES,PRESCRIPTION,1590.0,14101.27,32.0,8.868723270440253,49.6875,0.633051907019584,1.7001466275659822,0
4800253240644,EUTHYROX 25MCG TAB,GUT AND HORMONES,PRESCRIPTION,352.0,2452.79,26.0,6.968153409090909,13.538461538461538,0.8304400531153238,-0.23316239316239326,0
4800253240668,EUTHYROX TAB 50MCG,GUT AND HORMONES,PRESCRIPTION,1409.0,12547.03,29.0,8.904918381831086,48.58620689655172,0.8567967165347883,-1.2847290640394067,0
4800253240675,EUTHYROX TAB 100MCG,GUT AND HORMONES,PRESCRIPTION,603.0,8983.98,27.0,14.898805970149253,22.333333333333332,0.979632183965489,0.25641025641025667,0
4800253247001,EUTHYROX (LEVOTHYROXINE) 150MCG TAB,GUT AND HORMONES,PRESCRIPTION,35.0,817.5,3.0,23.357142857142858,11.666666666666666,0.8081220356417687,4.137838342751522e-15,0
4800284162113,ROWACHOL CAP,GUT AND HORMONES,PRESCRIPTION,32.0,1616.0,1.0,50.5,32.0,0.0,0.0,0
4800284162120,ROWATINEX CAP,GUT AND HORMONES,PRESCRIPTION,503.0,16870.08,18.0,33.53892644135189,27.944444444444443,0.6463923587051146,1.4643962848297214,0
4800286242110,DUVADILAN 10MG TAB,GUT AND HORMONES,PRESCRIPTION,30.0,742.5,4.0,24.75,7.5,0.5120763831912405,0.20000000000000015,0
4800286242646,DUPHASTON(DYDROGESTERONE) 10MG TAB,GUT AND HORMONES,PRESCRIPTION,1278.0,109534.7,31.0,85.70790297339593,41.225806451612904,0.5753616420983684,0.9935483870967742,0
4800304990252,PROVERA 10MG TAB,GUT AND HORMONES,PRESCRIPTION,365.0,32082.59,24.0,87.89750684931506,15.208333333333334,0.9015613736678013,0.45347826086956505,0
4800306590078,DAFLON 500MG TAB,GUT AND HORMONES,OTC,246.0,10010.52,13.0,40.69317073170732,18.923076923076923,0.9758468546582744,-2.5000000000000018,0
4800308616158,CEFUREX 500MG TAB,GUT AND HORMONES,GENERICS,26.0,1581.8899999999999,2.0,60.841923076923074,13.0,0.07692307692307693,1.999999999999999,0
4800333162446,DUODART 500/400MCGCAP,GUT AND HORMONES,PRESCRIPTION,194.0,13617.29,16.0,70.19221649484537,12.125,0.47813272681671054,-0.020588235294117428,0
4800343860998,ISOPRINE 10MG TAB,GUT AND HORMONES,PRESCRIPTION,620.0,14868.86,19.0,23.982032258064518,32.63157894736842,0.5684883290173408,0.7859649122807021,0
4801962113106,DIANE 35 TAB 21&#039;..,GUT AND HORMONES,PRESCRIPTION,46.0,31456.0,27.0,683.8260869565217,1.7037037037037037,0.5004723666617973,0.02991452991452992,0
4801962769204,VISANNE (DIENOGEST) 2MG TAB 28s,GUT AND HORMONES,PRESCRIPTION,5.0,11639.949999999999,5.0,2327.99,1.0,0.0,-1.0507920739455759e-16,2
4806011585392,FERTYL 50MG TAB,GUT AND HORMONES,PRESCRIPTION,30.0,4732.200000000001,3.0,157.74000000000004,10.0,0.0,5.765780763233607e-16,0
4806033301338,RM TERAZOSIN HCL 2MG,GUT AND HORMONES,PRESCRIPTION,20.0,552.8199999999999,2.0,27.641,10.0,0.5,-10.0,0
4806037104768,AEPOTIN ( EPOETIN ALFA ) 400IU/ML SOLUTION,GUT AND HORMONES,PRESCRIPTION,59.0,25960.0,7.0,440.0,8.428571428571429,0.4987775921885478,-0.17857142857142888,0
4806502360330,K-LYTE (POTASSIUM CHLORIDE) 600MG TAB 100&#039;S,GUT AND HORMONES,PRESCRIPTION,13.0,170.87,1.0,13.143846153846154,13.0,0.0,0.0,0
4806503124566,MIA FORTE (SAMBONG LEAF) TAB,GUT AND HORMONES,PRESCRIPTION,69.0,517.5,7.0,7.5,9.857142857142858,0.4109404892393573,-0.5714285714285718,0
4806504269952,RENALEAF (SAMBONG) 500MG TAB,GUT AND HORMONES,GENERICS,328.0,2428.5,14.0,7.403963414634147,23.428571428571427,0.9350963137572404,1.3582417582417583,0
4806504653065,RENALOG FC TAB,GUT AND HORMONES,PRESCRIPTION,592.0,19065.2,12.0,32.20472972972973,49.333333333333336,0.9541870744109736,0.601398601398604,0
4806504653348,CORVELAM 800MG (SEVELAMER CARBONATE) TAB,GUT AND HORMONES,PRESCRIPTION,3251.0,112259.5,28.0,34.53075976622578,116.10714285714286,0.3872129246275168,-2.1403940886699484,0
4806508321885,K-LYTE (POTASSIUM CHLORIDE) 600MG TAB,GUT AND HORMONES,PRESCRIPTION,184.0,3181.28,17.0,17.289565217391306,10.823529411764707,0.7179263485664623,-0.30637254901960764,0
4806508841536,ALKALINSE (POTASSIUM CITRATE) 1.08G (10MEQ) TAB,GUT AND HORMONES,PRESCRIPTION,37.0,307.84,3.0,8.319999999999999,12.333333333333334,0.44079747108919165,-6.499999999999999,0
4806511990641,RENABAL (KETOANALOGUES + ESSENTIAL AMINO ACIDS) FC TAB,GUT AND HORMONES,PRESCRIPTION,600.0,9736.2,3.0,16.227,200.0,1.0611393248139787,-42.99999999999992,1
4806514620026,TAPDIN 5MG TAB,GUT AND HORMONES,PRESCRIPTION,190.0,1216.98,8.0,6.405157894736842,23.75,0.6679857679244255,1.5476190476190472,0
4806514620057,TAPDIN TAB 20MG,GUT AND HORMONES,PRESCRIPTION,263.0,7348.7,13.0,27.941825095057034,20.23076923076923,0.9272110843678625,-0.9175824175824172,0
4806515030213,DEPOFEMME 1MG VIAL 1,GUT AND HORMONES,PRESCRIPTION,2.0,360.0,1.0,180.0,2.0,0.0,0.0,0
4806518970615,AMINOLOG FC TAB,GUT AND HORMONES,PRESCRIPTION,1353.0,26860.41,11.0,19.852483370288247,123.0,0.9808616952672535,1.9818181818181866,0
4806519150931,FAYE (CYPROTERONE ACETATE/ ETHYNILESTRADIOL) 2MG/35MCG TAB,GUT AND HORMONES,PRESCRIPTION,7.0,3934.0,4.0,562.0,1.75,0.47380354147934284,0.29999999999999977,0
4806520080623,ALFATAM (TAMSULOSIN HYDROCHLORIDE) 400MCG CAP,GUT AND HORMONES,PRESCRIPTION,15.0,282.0,2.0,18.8,7.5,0.6,8.999999999999998,0
4806521160577,TAMPLUS CAP 200MCG/5MG,GUT AND HORMONES,PRESCRIPTION,40.0,1440.0,2.0,36.0,20.0,0.5,-20.0,0
4806521160584,TAMPLUS (TAMSULOSIN + FINASTERIDE) 400MCG/5MG CAP,GUT AND HORMONES,PRESCRIPTION,510.0,21097.41,16.0,41.36747058823529,31.875,0.9458625172699873,-1.4264705882352937,0
4806521246004,DYPOTIN 4000IU/ML IV/SC,GUT AND HORMONES,PRESCRIPTION,30.0,13420.0,4.0,447.3333333333333,7.5,0.4268749491621899,-1.199999999999999,0
4806522631175,KALIUM DURULES TAB 750MG,GUT AND HORMONES,PRESCRIPTION,328.0,10842.4,21.0,33.05609756097561,15.619047619047619,0.6695943794242701,0.39220779220779234,0
4806522832336,LIZONYA (DROSPIRENONE/ETHINYLESTRADIOL) 3MG/20MCG TAB,GUT AND HORMONES,PRESCRIPTION,1.0,890.0,1.0,890.0,1.0,0.0,0.0,0
4806524780321,TAMSULIN-XL (TAMSULOSIN HYDROCHLORIDE) 400MCG CAP,GUT AND HORMONES,PRESCRIPTION,100.0,1713.44,3.0,17.1344,33.333333333333336,0.9899494936611662,-35.0,1
4806524780482,KETOGO (KETOANALOGUES +ESSEN. AMINO ACIDS,GUT AND HORMONES,PRESCRIPTION,1242.0,26292.96,4.0,21.16985507246377,310.5,0.49352396816364297,-113.99999999999999,1
4806524786057,ESSELOGUE (KETOANALOGUES+ESSENTIAL AMINO ACID,GUT AND HORMONES,PRESCRIPTION,544.0,9473.25,8.0,17.4140625,68.0,0.6323529411764706,-4.833333333333342,0
4806525175522,DYDROGEST (DYDROGESTERONE) 10MG TAB,GUT AND HORMONES,PRESCRIPTION,288.0,22451.0,12.0,77.95486111111111,24.0,0.9217033346131699,-1.489510489510489,0
4806525570105,"POCIT (POTASSIUM CITRATE) 1,080 (10MeQ) ER TAB",GUT AND HORMONES,PRESCRIPTION,30.0,360.0,1.0,12.0,30.0,0.0,0.0,0
4806527193722,AWANAY FORTE (SAMBONG) 500MG TAB,GUT AND HORMONES,GENERICS,92.0,869.4000000000001,3.0,9.450000000000001,30.666666666666668,0.8357557733365688,29.999999999999996,0
4806530221320,URSOKON (URSODEOXYCHOLIC ACID) 250MG CAP,GUT AND HORMONES,PRESCRIPTION,60.0,2376.9,2.0,39.615,30.0,0.16666666666666666,9.999999999999998,0
4806531820737,PRONIVEL (ERYTHROPOETIN) 4000IU PFS,GUT AND HORMONES,PRESCRIPTION,37.0,14900.0,4.0,402.7027027027027,9.25,0.5739665022052785,-4.5,0
4806532560243,MICROPIL 21s TAB,GUT AND HORMONES,OTC,12.0,901.8399999999999,9.0,75.15333333333332,1.3333333333333333,0.5,-0.08333333333333315,0
4806535150083,TAPDIN (METHIMAZOLE) 20MG TAB,GUT AND HORMONES,PRESCRIPTION,47.0,1421.75,3.0,30.25,15.666666666666666,0.897156112438639,16.499999999999996,0
4806537640193,ACELIFE (PARACETAMOL) 150MG/ML AMPS,GUT AND HORMONES,GENERICS,59.0,758.8,7.0,12.86101694915254,8.428571428571429,0.6766937212771907,-1.5714285714285718,0
4807788172440,ATEPROS 5MG TAB,GUT AND HORMONES,PRESCRIPTION,200.0,12351.710000000001,13.0,61.75855000000001,15.384615384615385,1.0902064024761549,-0.2802197802197794,0
4807788535719,ZEGEN 500MG TAB,GUT AND HORMONES,GENERICS,858.0,67024.44,23.0,78.11706293706294,37.30434782608695,0.6414810842324592,0.6719367588932805,0
4807788554550,TASCIT 10MEQ (POTASSIUM CITRATE,GUT AND HORMONES,PRESCRIPTION,144.0,3486.2,9.0,24.209722222222222,16.0,0.8483030446459305,3.3499999999999996,0
4807788558688,ISOXILAN (ISOXUPRINE) 10MG TAB,GUT AND HORMONES,PRESCRIPTION,211.0,5431.5,8.0,25.74170616113744,26.375,1.1216819075189715,-1.0119047619047643,0
4807788562043,TASCIT 15MEQ (POTASSIUM CITRATE,GUT AND HORMONES,PRESCRIPTION,243.0,5897.74,8.0,24.270534979423868,30.375,0.9724393904685982,-9.702380952380953,0
4807788618153,PROGLINMET 50/500MG TAB,GUT AND HORMONES,GENERICS,233.0,6783.4,15.0,29.11330472103004,15.533333333333333,1.2456411503792175,0.38928571428571457,0
4809015705865,KETOMIRIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) 630MG FC TAB,GUT AND HORMONES,PRESCRIPTION,2000.0,30315.0,8.0,15.1575,250.0,0.8016058882019269,-60.40476190476193,1
54021235,GLOBISAPH (KETOANALOGUE) 630MG TAB,GUT AND HORMONES,PRESCRIPTION,2342.0,35963.2,5.0,15.355764304013663,468.4,0.5270834427202808,28.999999999999954,0
61400382,TAMSUSAPH-400 (TAMSULOSIN HCL) 400MCG E.C TAB,GUT AND HORMONES,PRESCRIPTION,313.0,4730.16,12.0,15.112332268370606,26.083333333333332,0.7586564543960815,-0.8496503496503499,0
70537970,EPORIFE ( EPOETIN ALFA ) 400IU/ML SOLUTION,GUT AND HORMONES,PRESCRIPTION,174.0,78287.0,9.0,449.92528735632186,19.333333333333332,0.41522739926869984,0.7666666666666692,0
80737636,TAMSULOSIN (ALFATAM) 400MCG CAP,GUT AND HORMONES,PRESCRIPTION,95.0,1116.5,4.0,11.75263157894737,23.75,0.27348170645824377,5.500000000000001,0
