item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
1089210997,REPAIR SERUM 30ML (BEAUTY OF JOSEON,HAIR CARE,PERSONAL CARE,1.0,285.5,-95.06,1.0,285.5,1.0,0.0,0.0,-1
4800119131659,STYLEX EXTREME HOLD (YELLOW) 50G,HAIR CARE,PERSONAL CARE,6.0,114.0,23.04,3.0,19.0,2.0,0.7071067811865476,5.769208098040985e-16,0
4800119131666,STYLEX EXTREME HOLD 125G,HAIR CARE,PERSONAL CARE,3.0,96.75,17.58,3.0,32.25,1.0,0.0,8.985767264226737e-17,0
4800119131673,STYLEX STRONG HOLD (CLEAR) 50G,HAIR CARE,PERSONAL CARE,12.0,228.0,38.870000000000005,5.0,19.0,2.4,0.7728015412913086,-0.2999999999999999,1
4800119131680,STYLEX STRONG HOLD 125G,HAIR CARE,PERSONAL CARE,5.0,160.0,32.3,3.0,32.0,1.6666666666666667,0.282842712474619,-0.4999999999999999,2
4800119131697,STYLEX NORMAL HOLD (GREEN) 50G,HAIR CARE,PERSONAL CARE,2.0,34.0,6.46,2.0,17.0,1.0,0.0,-7.850462293418875e-17,3
4800119213461,VITRESS HAIR CUTICLE COAT CLASSIC 30ML,HAIR CARE,PERSONAL CARE,17.0,1488.0,419.71999999999997,6.0,87.52941176470588,2.8333333333333335,0.4282417581929716,-0.5428571428571427,-1
4800119219159,VITRESS HAIR CUTICLE COAT CLASSIC 15ML,HAIR CARE,PERSONAL CARE,1.0,55.0,55.0,1.0,55.0,1.0,0.0,0.0,3
4800326628188,BIGEN BLACK,HAIR CARE,PERSONAL CARE,1.0,56.0,9.08,1.0,56.0,1.0,0.0,0.0,3
4800326628584,BIGEN BROWN BLACK,HAIR CARE,PERSONAL CARE,6.0,420.0,86.4,4.0,70.0,1.5,0.5773502691896257,0.5999999999999999,-1
4800326628782,BIGEN DARK BROWN,HAIR CARE,PERSONAL CARE,8.0,506.0,121.57000000000001,4.0,63.25,2.0,0.6123724356957945,0.20000000000000034,-1
4800326628980,BIGEN CHESTNUT BROWN,HAIR CARE,PERSONAL CARE,6.0,378.0,91.48,3.0,63.0,2.0,0.7071067811865476,5.769208098040985e-16,-1
4800888139467,CREAM SILK HAIR FALL DEFENSE CONDITIONER 180ML,HAIR CARE,PERSONAL CARE,3.0,525.0,525.0,2.0,175.0,1.5,0.3333333333333333,-1.0,-1
4800888140838,SUNSILK DAMAGE RECONSTRUCTION 180ML,HAIR CARE,PERSONAL CARE,1.0,117.0,27.35,1.0,117.0,1.0,0.0,0.0,0
4800888140869,SUNSILK SMOOTH & MANAGEABLE SHAMPOO 180ML,HAIR CARE,PERSONAL CARE,2.0,234.0,46.6,1.0,117.0,2.0,0.0,0.0,1
4800888140876,SUNSILK SMOOTH AND MANAGEABLE 350ML,HAIR CARE,PERSONAL CARE,1.0,230.0,230.0,1.0,230.0,1.0,0.0,0.0,1
4800888141194,CLEAR SHAMPOO COMPLETE SOFT CARE 12ML,HAIR CARE,PERSONAL CARE,11.0,93.5,93.5,2.0,8.5,5.5,0.09090909090909091,-1.0000000000000002,0
4800888146830,"SUNSILK SHAMPOO W/ BIOTIN, ALOE VERA & CASTOR OIL 170ML",HAIR CARE,PERSONAL CARE,1.0,144.0,144.0,1.0,144.0,1.0,0.0,0.0,2
4800888151704,CLEAR SHAMPOO COOL SPORT MENTHOL 12ML,HAIR CARE,PERSONAL CARE,2.0,17.0,17.0,1.0,8.5,2.0,0.0,0.0,3
4800888154354,DOVE STRAIGHT & SILKY 170ML,HAIR CARE,PERSONAL CARE,3.0,465.75,105.15,3.0,155.25,1.0,0.0,8.985767264226737e-17,-1
4800888169709,SUNSILK STRONG AND LONG 15ML,HAIR CARE,PERSONAL CARE,6.0,51.0,51.0,2.0,8.5,3.0,0.3333333333333333,1.9999999999999996,3
4800888169716,SUNSILK SMOOTH AND MANAGEABLE 15ML,HAIR CARE,PERSONAL CARE,2.0,17.0,17.0,2.0,8.5,1.0,0.0,-7.850462293418875e-17,3
4800888179593,DOVE BIOTIN HAIR FALL RESCUE 12ML,HAIR CARE,PERSONAL CARE,12.0,102.0,102.0,2.0,8.5,6.0,0.3333333333333333,3.999999999999999,0
