item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
29314057013407,VALDA PASTILLES MENTHOL ZIP POUCH 20G,HOME REMEDY,PERSONAL CARE,30.0,1695.0,187.38,7.0,56.5,4.285714285714286,0.4618802153517006,-0.07142857142857152,0
32753762597,KATINKO BALM 10G,HOME REMEDY,OTC,4.0,127.0,27.04,3.0,31.75,1.3333333333333333,0.3535533905932738,1.0813965140346581e-17,0
4800011736013,OMEGA PAIN KILLER 15ML,HOME REMEDY,OTC,16.0,336.0,45.28,11.0,21.0,1.4545454545454546,0.5376453291901642,0.04545454545454543,0
4800011736020,OMEGA PAIN KILLER 30ML,HOME REMEDY,OTC,15.0,516.75,66.63,11.0,34.45,1.3636363636363635,0.4714045207910317,-0.10909090909090904,0
4800011736037,OMEGA PAIN KILLER 60ML,HOME REMEDY,OTC,24.0,1555.0,233.72,14.0,64.79166666666667,1.7142857142857142,0.5137011669140813,0.01758241758241756,0
4800011736044,OMEGA PAIN KILLER 120ML,HOME REMEDY,OTC,8.0,917.0,95.77,6.0,114.625,1.3333333333333333,0.5590169943749475,0.28571428571428553,0
4800346000209,ANTIOX (MEBENDAZOLE) 20MG/ML SUSP 30ML,HOME REMEDY,OTC,8.0,3660.0,611.2,4.0,457.5,2.0,0.8660254037844386,0.40000000000000013,-1
4800346002845,ANTIOX(MEBENDAZOLE) 500MG,HOME REMEDY,OTC,15.0,1584.0,108.9,7.0,105.6,2.142857142857143,0.524933858267454,-0.25,0
4806501283111,WHITE FLOWER1 20ML,HOME REMEDY,OTC,1.0,339.5,-226.28,1.0,339.5,1.0,0.0,0.0,0
4806501283128,WHITE FLOWER2 10ML,HOME REMEDY,OTC,4.0,688.0,89.92,4.0,172.0,1.0,0.0,-8.214889951798643e-17,0
4806501283135,WHITE FLOWER C#3 5ML,HOME REMEDY,OTC,62.0,5903.9,684.74,14.0,95.22419354838709,4.428571428571429,0.551226048085002,0.12307692307692303,-1
4806501283142,WHITE FLOWER C#4 2.5ML,HOME REMEDY,OTC,79.0,4259.2,614.93,14.0,53.91392405063291,5.642857142857143,0.7476931354745499,-0.20879120879120908,-1
4987072005538,KOOL FEVER KIDS 2,HOME REMEDY,PERSONAL CARE,93.0,5040.25,1034.8100000000002,14.0,54.196236559139784,6.642857142857143,0.718823437133689,0.49890109890109896,-1
4987072006160,KOOL FEVER ADULT 2&#039;S,HOME REMEDY,PERSONAL CARE,44.0,2271.14,208.4,12.0,51.61681818181818,3.6666666666666665,0.526174404672283,0.08391608391608388,0
4987072081808,KOOL FEVER BABY 2&#039;S,HOME REMEDY,PERSONAL CARE,69.0,3657.0,426.34,13.0,53.0,5.3076923076923075,0.7141266663626041,0.5274725274725275,-1
4987072096963,KOOL FEVER ADULT 2&#039;S,HOME REMEDY,PERSONAL CARE,24.0,1216.8,254.41000000000003,7.0,50.699999999999996,3.4285714285714284,0.6009252125773316,0.10714285714285707,0
4987176009678,VICKS VAPORUB 25G,HOME REMEDY,OTC,66.0,7885.5,874.0600000000001,14.0,119.47727272727273,4.714285714285714,0.5969004728361275,-0.05274725274725299,-1
4987176016928,VICKS BABY RUB 20G,HOME REMEDY,PERSONAL CARE,7.0,700.0,102.21000000000001,6.0,100.0,1.1666666666666667,0.31943828249996986,-0.08571428571428566,0
4987176035585,VICKS INHALER TWIN PACK 0.5MLX2,HOME REMEDY,OTC,22.0,3083.0,-73.21999999999997,5.0,140.13636363636363,4.4,0.5856408512147784,0.6999999999999995,-1
4987176600769,VICKS VAPORUB 5G,HOME REMEDY,OTC,143.0,4922.0,767.1800000000001,15.0,34.41958041958042,9.533333333333333,0.38467895215314873,0.10357142857142883,-1
8935196509315-1,SALONPAS PLASTER 20s,HOME REMEDY,OTC,68.0,7344.0,1759.02,13.0,108.0,5.230769230769231,0.571830061624223,-0.46153846153846134,-1
8935196509315/1,SALONPAS PLASTER 10&#039;S,HOME REMEDY,OTC,43.0,2580.0,350.45,4.0,60.0,10.75,0.596999890836904,-4.499999999999999,-1
9314057013403,VALDA PASTILLES MENTHOL ZIP POUCH 20G,HOME REMEDY,PERSONAL CARE,7.0,413.0,50.89,3.0,59.0,2.3333333333333335,0.5345224838248487,-1.4999999999999998,0
9314057013687,VALDA PASTILLES LEMON ZIP POUCH 20G,HOME REMEDY,PERSONAL CARE,16.0,944.0,116.32,5.0,59.0,3.2,0.6059599821770412,-1.1000000000000008,0
