item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
4800888199119,SURF BAR PURPLE BOOM 120G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,1.0,15.0,15.0,1.0,15.0,1.0,0.0,0.0,0
4800888284334,BREEZE POWDER ACTIVE BLEACH 90G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,3.0,63.0,63.0,1.0,21.0,3.0,0.0,0.0,0
4806522730083,DEOROX 450ML,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,2.0,51.0,51.0,1.0,25.5,2.0,0.0,0.0,0
4806522730090,DEOROX 225ML,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,3.0,52.5,52.5,2.0,17.5,1.5,0.3333333333333333,-1.0,0
4806522730144,DEOROX COLOR SAFE 450ML STRAWBERRY SCENT,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,1.0,35.5,35.5,1.0,35.5,1.0,0.0,0.0,0
4806522730151,DEOROX COLOR SAFE 225ML STRAWBERRY SCENT,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,3.0,63.64,63.64,2.0,21.213333333333335,1.5,0.3333333333333333,0.9999999999999998,0
4809012730914,CRYSTAL DEODORIZER LEMON 50G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,6.0,177.0,177.0,2.0,29.5,3.0,0.3333333333333333,1.9999999999999996,-1
4809012730921,CRYSTAL DEODORIZER STRAWBERRY 50G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,7.0,205.32,205.32,2.0,29.33142857142857,3.5,0.14285714285714285,-0.9999999999999998,-1
4809012730938,CRYSTAL TOILET DEODORIZER CHERRY 50G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,3.0,88.5,88.5,1.0,29.5,3.0,0.0,0.0,0
8850006494424,GARD ACTIVE CLEAN 180ML,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,1.0,137.65,41.9,1.0,137.65,1.0,0.0,0.0,-1
9556111408071,LYSOL DS.CRISP LINEN 340G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,11.0,4510.0,409.97,4.0,410.0,2.75,0.30151134457776363,-0.6999999999999997,-1
9556111408088,LYSOL CRISP LINEN 510G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,17.0,9690.0,1653.59,5.0,570.0,3.4,1.028991510855053,-1.5000000000000009,-1
