item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
11593277501,NGT FR8,NEEDLES AND TUBINGS,MED-SURG,2.0,48.22,18.22,1.0,24.11,2.0,0.0,0.0,0
14981866658,OXYGEN CANNULA ADULT,NEEDLES AND TUBINGS,MED-SURG,2.0,75.0,35.0,1.0,37.5,2.0,0.0,0.0,0
15291549203,FOLEY CATH 16,NEEDLES AND TUBINGS,MED-SURG,19.0,944.87,279.87,10.0,49.73,1.9,0.43719072962726707,0.13939393939393943,-1
16382500762,CAN CARE IV CATH G18,NEEDLES AND TUBINGS,MED-SURG,10.0,294.0,154.0,1.0,29.4,10.0,0.0,0.0,1
18666830,INSULIN SYRINGE COSMED,NEEDLES AND TUBINGS,MED-SURG,156.0,2071.0,1337.8,5.0,13.275641025641026,31.2,0.7096011973658797,1.299999999999997,-1
18669180074,SYRINGE 10CC,NEEDLES AND TUBINGS,MED-SURG,5.0,40.0,24.0,2.0,8.0,2.5,0.2,-1.0000000000000007,0
26071153358,SUCTION CATH F 18,NEEDLES AND TUBINGS,MED-SURG,1.0,12.95,4.95,1.0,12.95,1.0,0.0,0.0,0
26514501070,CANCARE IV CATH G22,NEEDLES AND TUBINGS,MED-SURG,24.0,570.99,306.99,4.0,23.79125,6.0,0.6123724356957946,-3.0,-1
29481888702,NGT F16,NEEDLES AND TUBINGS,MED-SURG,16.0,385.76,1.759999999999998,4.0,24.11,4.0,0.8838834764831844,2.5999999999999996,2
32299253505,NGT F18,NEEDLES AND TUBINGS,MED-SURG,1.0,24.11,9.11,1.0,24.11,1.0,0.0,0.0,0
33019724961,SUCTION CATH F 14,NEEDLES AND TUBINGS,MED-SURG,35.0,453.25,173.25,4.0,12.95,8.75,0.24743582965269678,-1.4999999999999991,-1
34135711937,STOMACH TUBE NGT FR16,NEEDLES AND TUBINGS,MED-SURG,9.0,216.99,81.99,1.0,24.11,9.0,0.0,0.0,-1
34335010350,FOLEY CATH 14,NEEDLES AND TUBINGS,MED-SURG,4.0,176.8,36.8,2.0,44.2,2.0,0.0,-1.570092458683775e-16,3
36187188,CHROMIC CATGUT 3-0,NEEDLES AND TUBINGS,MED-SURG,5.0,187.5,79.17,1.0,37.5,5.0,0.0,0.0,-1
37297627971,I.V CANNULA G22,NEEDLES AND TUBINGS,MED-SURG,7.0,162.47,85.47,1.0,23.21,7.0,0.0,0.0,3
37583750,DOLPHIN SUTURE NEEDLES 16(1/2 CIRCLE CUTTING EDGE,NEEDLES AND TUBINGS,MED-SURG,1.0,250.0,148.0,1.0,250.0,1.0,0.0,0.0,-1
39851079,NEBULIZER KIT,NEEDLES AND TUBINGS,MED-SURG,5.0,280.0,130.0,5.0,56.0,1.0,0.0,-1.0507920739455759e-16,1
40811509252,INSULIN SYRINGE TERUMO 29 1/2G,NEEDLES AND TUBINGS,MED-SURG,9.0,118.95,60.45,3.0,13.216666666666667,3.0,0.0,1.4970566549032267e-16,-1
41056073,COSMED 1CC SYRINGE,NEEDLES AND TUBINGS,MED-SURG,53.0,371.0,238.5,6.0,7.0,8.833333333333334,0.8754798308015231,0.7142857142857137,2
44039433277,NGT FR14,NEEDLES AND TUBINGS,MED-SURG,1.0,27.0,12.0,2.0,27.0,0.5,1.0,0.9999999999999998,0
4634740503,NGT F12,NEEDLES AND TUBINGS,MED-SURG,1.0,21.5,5.7,1.0,21.5,1.0,0.0,0.0,0
4806031201098,DISP SIMPLEX INSULIN SYRINGE WITH NEEDLE 1CC,NEEDLES AND TUBINGS,MED-SURG,2.0,36.0,6.0,1.0,18.0,2.0,0.0,0.0,0
4806505182137,NOVOFINE 30G 8MM NEEDLE (STERILE) 100&#039;S,NEEDLES AND TUBINGS,MED-SURG,2.0,33.0,3.86,1.0,16.5,2.0,0.0,0.0,0
4806524145137,SURE-GUARD BURETTE-TYPE INFUSION SET/SOLUSET 150ML,NEEDLES AND TUBINGS,MED-SURG,2.0,302.4,152.4,1.0,151.2,2.0,0.0,0.0,1
4806524145212,NASAL OXYGEN CANNULA ADULT (SURE-GUARD,NEEDLES AND TUBINGS,MED-SURG,8.0,248.44,104.44,4.0,31.055,2.0,0.6123724356957945,-0.5999999999999999,-1
4806524145649,SURE-GUARD DISPOSABLE SYRINGE 1CC,NEEDLES AND TUBINGS,MED-SURG,9.0,60.48,60.48,3.0,6.72,3.0,0.7200822998230957,-0.4999999999999992,0
