item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
11699910,RETENTO-800 (PIRACETAM) 800MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,20.0,255.0,255.0,1.0,12.75,20.0,0.0,0.0,0
37358747,VALPROS (SODIUM VALPROATE/VALPROIC ACID) 500MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,37.0,1173.9,182.67000000000002,5.0,31.72702702702703,7.4,0.5027317631821154,1.299999999999999,0
4800286231718,SERC 16MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,334.0,22116.47,2275.84,28.0,66.2169760479042,11.928571428571429,0.6265144439871341,0.036672140120415975,-1
4800307920027,OVERT (BETAHISTINE) 16MG TAB,NEUROLOGICAL DRUGS,GENERICS,7.0,222.25,20.37,2.0,31.75,3.5,0.42857142857142855,-3.000000000000001,0
4806504268269,VERTAMIN (BETAHISTINE) 16MG TAB,NEUROLOGICAL DRUGS,GENERICS,21.0,210.0,210.0,2.0,10.0,10.5,0.7142857142857143,-14.999999999999998,0
4806505142001,CENVERT (BETAHISTINE) 16MG,NEUROLOGICAL DRUGS,GENERICS,83.0,956.76,749.26,4.0,11.52722891566265,20.75,0.7335558766211455,10.1,0
4806505142285,CENVERT (BETAHISTINE) 8MG,NEUROLOGICAL DRUGS,GENERICS,134.0,1108.88,793.98,7.0,8.275223880597016,19.142857142857142,0.29607215559518474,0.1785714285714291,0
4806510662617,PREGMAX M-75 (PREGABALIN+METHYLCOBALAMIN) 75MG/750MCG CAP,NEUROLOGICAL DRUGS,PRESCRIPTION,249.0,6817.5,-781.98,7.0,27.379518072289155,35.57142857142857,0.8328469088887743,-0.2857142857142848,-1
4806513980138,VERTROL 16MG TAB,NEUROLOGICAL DRUGS,GENERICS,43.0,1152.0,77.0,4.0,26.790697674418606,10.75,0.5897080154933008,-0.09999999999999927,0
4806517790450,NUVERT (BETAHISTINE HCL) 16MG FC TAB,NEUROLOGICAL DRUGS,GENERICS,417.0,8616.0,1902.3,20.0,20.66187050359712,20.85,0.7263099754887393,-0.31052631578947376,-1
4806520083006,NEUROZ (PREGABALIN) 75MG CAP,NEUROLOGICAL DRUGS,PRESCRIPTION,186.0,2496.63,561.99,7.0,13.422741935483872,26.571428571428573,0.7258263637252678,-1.214285714285716,0
4806521161307,DIMEZINE (DIMENHYDRINATE CINNARIZINE) 40MG/20MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,280.0,6030.0,847.52,15.0,21.535714285714285,18.666666666666668,0.749149177264394,0.13214285714285728,-1
4806524143508,MOHSIDEX (DEXAMETHASONE) 2ML AMP,NEUROLOGICAL DRUGS,GENERICS,6.0,375.0,285.0,4.0,62.5,1.5,0.5773502691896257,-0.19999999999999984,0
4806538080059,NUVERT (BETAHISTINE HCL) 16MG FC TAB,NEUROLOGICAL DRUGS,GENERICS,86.0,1780.8,396.2,3.0,20.706976744186047,28.666666666666668,0.9208832499173641,1.3037209016879916e-14,0
4807788526373,DOPEZIL (DONEPEZIL HYDROCHLORIDE) 5MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,180.0,11052.0,-1472.4,3.0,61.4,60.0,0.408248290463863,-15.000000000000014,-1
4807788552167,FUNXION (PREGABALIN) 75MG CAP,NEUROLOGICAL DRUGS,PRESCRIPTION,192.0,7541.29,-43.76999999999997,11.0,39.27755208333333,17.454545454545453,0.6358007718835972,0.2272727272727271,-1
4809015596548,DIZIMARC 16MG TAB,NEUROLOGICAL DRUGS,GENERICS,318.0,2784.8,1608.2,9.0,8.757232704402517,35.333333333333336,0.6154530728415128,0.2000000000000013,0
8901397023233,VIBERT (BETAHISTINE DIHYDROCHLORIDE) 24MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,68.0,2751.96,2751.96,6.0,40.47,11.333333333333334,0.42520094984708706,0.45714285714285813,0
8904198503522,VEXER (PREGABALIN) 75MG,NEUROLOGICAL DRUGS,PRESCRIPTION,1.0,27.5,16.5,1.0,27.5,1.0,0.0,0.0,0
8904220101153,SERVONEX (DONEPEZIL HYDROCHLORIDE) 10MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,101.0,3959.28,-452.40000000000003,2.0,39.20079207920792,50.5,0.9801980198019802,-99.0,-1
8906045605014,BETZINE (BETAHISTINE) 8MG TAB,NEUROLOGICAL DRUGS,GENERICS,78.0,622.5,365.1,9.0,7.980769230769231,8.666666666666666,0.595843591724218,0.6333333333333325,0
8906045605021,BETZINE (BETAHISTINE HYDROCHLORIDE) 16MG TAB,NEUROLOGICAL DRUGS,GENERICS,252.0,2955.39,1758.39,13.0,11.727738095238095,19.384615384615383,0.7452503506607628,-0.06593406593406533,0
8906045605038,BETZINE (BETAHISTINE HYDROCHLORIDE) 24MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,262.0,9256.02,6495.66,24.0,35.32832061068702,10.916666666666666,0.6730989346774199,0.3104347826086955,-1
8906101924622,Retabaline (Pregabalin) 75mg cap,NEUROLOGICAL DRUGS,PRESCRIPTION,40.0,326.96,326.96,1.0,8.174,40.0,0.0,0.0,0
8964001206118,GABIX (GABAPENTIN) 100MG CAP,NEUROLOGICAL DRUGS,PRESCRIPTION,315.0,11294.619999999999,597.62,10.0,35.855936507936505,31.5,0.6706231801357971,3.618181818181817,-1
8964001206125,GABIX (GABAPENTIN) 300MG CAP,NEUROLOGICAL DRUGS,PRESCRIPTION,276.0,10249.15,-227.43,15.0,37.13460144927536,18.4,0.8681600966245457,-0.37857142857142867,-1
92232709,VERTISAPH (BETAHISTINE DIHYDROCHLORIDE) 16MG TAB,NEUROLOGICAL DRUGS,GENERICS,191.0,1496.5,901.6700000000001,10.0,7.835078534031414,19.1,0.5478401538657598,-0.9030303030303027,0
