item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
20408794,ELASTIC BANDAGE 2X5,ORTHO SUPPORT,MED-SURG,2.0,48.0,20.9,2.0,24.0,1.0,0.0,-7.850462293418875e-17,-1
29682409253,ELASTIC BANDAGE 4x5,ORTHO SUPPORT,MED-SURG,21.0,840.0,315.0,6.0,40.0,3.5,0.769309258162072,0.7142857142857141,0
4711769145272,ELASTIC POSTURE BRACE WITH STEEL STAY,ORTHO SUPPORT,MED-SURG,1.0,1920.0,420.0,1.0,1920.0,1.0,0.0,0.0,1
4717237000906,KNEE SUPPORT FREE SIZE NS 712 IM,ORTHO SUPPORT,MED-SURG,1.0,720.0,320.0,1.0,720.0,1.0,0.0,0.0,0
4717237020379,KNEE SUPPORT 704 IM XL,ORTHO SUPPORT,MED-SURG,1.0,1980.0,330.0,1.0,1980.0,1.0,0.0,0.0,1
4717237078837,WRIST BRACE IM WH301 M,ORTHO SUPPORT,MED-SURG,2.0,1990.0,790.0,2.0,995.0,1.0,0.0,-7.850462293418875e-17,1
4717237078844,WRIST BRACE IM WH301 L,ORTHO SUPPORT,MED-SURG,1.0,995.0,395.0,1.0,995.0,1.0,0.0,0.0,0
4717237612116,ANKLE SUPPORT SMALL ES-901,ORTHO SUPPORT,MED-SURG,1.0,588.0,308.0,1.0,588.0,1.0,0.0,0.0,0
4717556702306,ELBOW SUPPORT 702 S,ORTHO SUPPORT,MED-SURG,1.0,680.4,260.4,1.0,680.4,1.0,0.0,0.0,0
4717556702309,ELBOW SUPPORT 702 XL,ORTHO SUPPORT,MED-SURG,1.0,604.8,184.8,1.0,604.8,1.0,0.0,0.0,0
4717556902324,LUMBAR SUPPORT LP M,ORTHO SUPPORT,MED-SURG,1.0,2040.0,390.0,1.0,2040.0,1.0,0.0,0.0,1
4717556904328L,904 SPLINT WRIST BRACE M LEFT,ORTHO SUPPORT,MED-SURG,1.0,995.0,375.0,1.0,995.0,1.0,0.0,0.0,0
4717556953325,ELBOW SUPPORT 953 S,ORTHO SUPPORT,MED-SURG,1.0,567.0,217.0,1.0,567.0,1.0,0.0,0.0,0
4719863691301,KNEE SUPPORT (ELASTIC) L,ORTHO SUPPORT,MED-SURG,1.0,608.0,228.0,1.0,608.0,1.0,0.0,0.0,0
4719863696799S,ELBOW SUPPORT 2080 SMALL,ORTHO SUPPORT,MED-SURG,1.0,630.0,280.0,1.0,630.0,1.0,0.0,0.0,0
4719863699287,COMPRESSION STOCKING MIDTHIGH M,ORTHO SUPPORT,MED-SURG,2.0,3400.0,900.0,2.0,1700.0,1.0,0.0,-7.850462293418875e-17,-1
4719863699288,COMPRESSION STOCKING MIDTHIGH L,ORTHO SUPPORT,MED-SURG,2.0,4160.0,1660.0,1.0,2080.0,2.0,0.0,0.0,-1
4806035205207,#EXP2027-01-30,ORTHO SUPPORT,MED-SURG,446.0,726.74,615.24,2.0,1.6294618834080719,223.0,0.8116591928251121,-362.0,0
4806524142822,SURE-GUARD GAUZE BANDAGE ROLL 4X10,ORTHO SUPPORT,MED-SURG,34.0,1700.0,1275.0,8.0,50.0,4.25,0.6416889479197478,-0.4047619047619049,-1
4806524144239,SURE-GUARD ELASTIC BANDAGE 10X5,ORTHO SUPPORT,MED-SURG,14.0,539.0,203.0,6.0,38.5,2.3333333333333335,1.477725776112657,1.1999999999999995,0
4806524144246,ELASTIC BANDAGE 15CMX5M,ORTHO SUPPORT,MED-SURG,5.0,280.0,84.0,3.0,56.0,1.6666666666666667,0.282842712474619,0.5,0
4806525870120,#EXP2026-07-30,ORTHO SUPPORT,MED-SURG,2.0,1122.0,1122.0,1.0,561.0,2.0,0.0,0.0,0
4806526296769,PARTNERS ELASTIC BANDAGE 2X5,ORTHO SUPPORT,MED-SURG,3.0,84.0,43.349999999999994,2.0,28.0,1.5,0.3333333333333333,-1.0,-1
4809030034025,PARTNERS GAUZE BANDAGE ROLL 4X10,ORTHO SUPPORT,MED-SURG,43.0,2150.0,1647.76,10.0,50.0,4.3,0.7503379444140316,-0.745454545454545,1
500010127,TRIANGULAR BANDAGE,ORTHO SUPPORT,MED-SURG,47.0,4230.0,457.59999999999997,7.0,90.0,6.714285714285714,0.9965990152025845,1.2857142857142858,-1
606722893032,ARM SLING L,ORTHO SUPPORT,MED-SURG,6.0,540.0,240.0,5.0,90.0,1.2,0.3333333333333334,-0.10000000000000012,0
606722893033,ARM SLING M,ORTHO SUPPORT,MED-SURG,7.0,630.0,280.0,5.0,90.0,1.4,0.3499271061118826,0.09999999999999985,0
606722893034,ARM SLING XL,ORTHO SUPPORT,MED-SURG,1.0,90.0,40.0,1.0,90.0,1.0,0.0,0.0,-1
606722893035,ARM SLING S,ORTHO SUPPORT,MED-SURG,5.0,450.0,130.75,4.0,90.0,1.25,0.34641016151377546,0.3,0
606723000000,ARM SLING XL,ORTHO SUPPORT,MED-SURG,4.0,405.0,205.0,3.0,101.25,1.3333333333333333,0.3535533905932738,1.0813965140346581e-17,0
6582773211,STRESS BALL,ORTHO SUPPORT,MED-SURG,50.0,1577.62,697.1400000000001,12.0,31.5524,4.166666666666667,0.5699122739510003,-0.08391608391608381,-1
71078465,PHILADELPHIA ADJUSTABLE FITS ALL COLLAR,ORTHO SUPPORT,MED-SURG,2.0,7470.0,2470.0,2.0,3735.0,1.0,0.0,-7.850462293418875e-17,-1
80475628042,ELASTIC BANDAGE 3x5,ORTHO SUPPORT,MED-SURG,64.0,1756.0,604.0,10.0,27.4375,6.4,1.43239582954573,0.24242424242424263,-1
8944161210774,INHIBITA (OMEPRAZOLE) 40MG EC TAB,ORTHO SUPPORT,MED-SURG,142.0,1113.9,1113.9,2.0,7.844366197183099,71.0,0.5211267605633803,-74.0,0
92561950000012,ABDOMINAL BINDER (BLUE,ORTHO SUPPORT,MED-SURG,10.0,3360.0,2010.0,8.0,336.0,1.25,0.5291502622129182,0.023809523809523756,-1
97150792643,FACESHIELD W/FOAM,ORTHO SUPPORT,MED-SURG,1.0,17.86,8.86,1.0,17.86,1.0,0.0,0.0,-1
