item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
4800153151194,BONAMIL 6-12 MONTHS 150G,PEDIATRIC MILK,F&B,1.0,111.0,5.6,1.0,111.0,1.0,0.0,0.0,0
4800153151231,BONNA 0-6 MONTHS 350G,PEDIATRIC MILK,F&B,3.0,717.5,36.0,2.0,239.16666666666666,1.5,0.3333333333333333,-1.0,-1
4800153151248,BONAMIL 6-12 MONTHS 350G,PEDIATRIC MILK,F&B,1.0,252.0,12.4,1.0,252.0,1.0,0.0,0.0,0
4800153151255,BONAKID 1+ 350G,PEDIATRIC MILK,F&B,1.0,219.75,9.45,1.0,219.75,1.0,0.0,0.0,0
4800361314053,BEAR BRAND JUNIOR 1+ 400G,PEDIATRIC MILK,F&B,4.0,789.0,38.0,2.0,197.25,2.0,0.0,-1.570092458683775e-16,-1
4800361348706,NESTOGEN 3 (1-3 YRS) 340G,PEDIATRIC MILK,F&B,1.0,194.0,9.45,1.0,194.0,1.0,0.0,0.0,0
4800361373524,NIDO KINDER 3+ 370G,PEDIATRIC MILK,F&B,3.0,780.0,129.12,1.0,260.0,3.0,0.0,0.0,-1
4800361409117,BEAR BRAND CHOCO MILK 29G,PEDIATRIC MILK,F&B,8.0,120.0,33.2,2.0,15.0,4.0,0.75,-5.999999999999999,0
4800361410816,BEAR BRAND FORTIFIED 33G,PEDIATRIC MILK,F&B,24.0,360.0,133.26,3.0,15.0,8.0,0.3679900360969936,3.4999999999999996,0
4800361410892,BEAR BRAND FORTIFIED 300G,PEDIATRIC MILK,F&B,1.0,110.0,16.46,1.0,110.0,1.0,0.0,0.0,0
4801010562207,J&J MILK BABY SOAP 150G,PEDIATRIC MILK,F&B,9.0,308.25,-80.55,2.0,34.25,4.5,0.1111111111111111,0.9999999999999991,0
8901401703120,THREPTIN FLAKE 275G DISKETTE TAB CAN,PEDIATRIC MILK,F&B,11.0,7884.0,1284.0,4.0,716.7272727272727,2.75,0.5378254348272379,1.0999999999999999,-1
8901401715024,THREPTIN MICROMIX POWDER 200G FOOD SUPP,PEDIATRIC MILK,F&B,3.0,1560.0,216.0,1.0,520.0,3.0,0.0,0.0,-1
