item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
10870188414,GLOMED LATEX GLOVES LARGE,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,23.0,7990.08,1032.9,9.0,347.39478260869566,2.5555555555555554,0.41702882811414954,-0.04999999999999993,-1
1094266310,KN95,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,3.0,66.96000000000001,51.96,1.0,22.320000000000004,3.0,0.0,0.0,0
11936893,GLOMED STERILE LATEX GLOVE 7.0,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,8.0,160.0,56.0,2.0,20.0,4.0,0.5,-4.0,1
15816093709,PPE GOWN (WASHABLE,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,1.0,258.93,138.93,1.0,258.93,1.0,0.0,0.0,1
16716075887,MEDICAL GOGGLES,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,2.0,133.92,73.92,2.0,66.96,1.0,0.0,-7.850462293418875e-17,0
20433840,KN95 FACE MASK,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,10.0,250.0,177.2,1.0,25.0,10.0,0.0,0.0,1
22695376,GREAT GLOVE STERILE LATEX GLOVES 8,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,35.0,987.9,462.9,4.0,28.225714285714286,8.75,0.5792324266489512,3.300000000000001,-1
43182085938,GLOMED LATEX GLOVES MEDIUM,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,34.0,11657.679999999998,4227.68,12.0,342.87294117647053,2.8333333333333335,0.6253026948667441,-0.24475524475524457,-1
46454312761,GLOMED LATEX GLOVES SMALL,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,3.0,1017.8399999999999,66.59,3.0,339.28,1.0,0.0,8.985767264226737e-17,-1
47137530,GLOMED STERILE POWDER FREE GLOVES 6.5,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,79.0,1996.0,811.0,8.0,25.265822784810126,9.875,1.1005380979826915,-0.2976190476190473,-1
4802288884046,CARE DISPOSABLE DIAPER XL 4s,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,1.0,32.75,4.0,1.0,32.75,1.0,0.0,0.0,0
4806524144925,SUREGUARD STERILE LATEX GLOVES 7.5 PAIR,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,20.0,450.0,190.0,4.0,22.5,5.0,0.6164414002968976,0.19999999999999987,1
4806524149166,SURE-GUARD LATEX SURGICAL GLOVES 7.0 PAIR,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,60.0,1500.0,564.0,6.0,25.0,10.0,0.9018499505645788,-3.8285714285714274,-1
4806524149203,SURE-GUARD LATEX SURGICAL GLOVES 8.0 PAIR,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,16.0,512.0,262.4,4.0,32.0,4.0,0.5863019699779287,0.6,1
4806530876353,INDOPLAS KN95 FACE MASK,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,56.0,1400.0,448.0,1.0,25.0,56.0,0.0,0.0,-1
4897030530678,KN95 MASK GL001A,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,43.0,408.5,183.18,1.0,9.5,43.0,0.0,0.0,1
58869731949,SHOE COVER,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,2.0,35.72,-564.28,1.0,17.86,2.0,0.0,0.0,0
60412941002,LANCET 100&#039;S,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,1.0,252.0,132.0,1.0,252.0,1.0,0.0,0.0,1
61132716035,SURGICAL OR CAP,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,25.0,52.5,27.5,3.0,2.1,8.333333333333334,0.39597979746446654,-4.0,0
792536229122,Z-GLOMED LATEX GLOVES LARGE,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,1.0,380.0,55.71,1.0,380.0,1.0,0.0,0.0,1
8104969563,GLOMED GLOVES SMALL 100&#039;S,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,1.0,339.28,44.28,1.0,339.28,1.0,0.0,0.0,1
81260058593,PATIENT GOWN,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,11.0,3850.0,1430.0,4.0,350.0,2.75,0.5378254348272379,1.3,-1
867623557760,STERILE DISPOSABLE UMBILICAL CORD CLAMP,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,7.0,39.2,18.2,1.0,5.6000000000000005,7.0,0.0,0.0,0
87752788822,RUBBER SHEET,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,1.0,472.5,247.5,1.0,472.5,1.0,0.0,0.0,1
90934341121,ISOLATION GOWN,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,68.0,16607.16,8447.16,2.0,244.22294117647058,34.0,0.8823529411764706,-60.0,-1
9555839968041,GREAT STERILE LATEX SURGICAL GLOVES 7.0,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,17.0,297.5,59.5,2.0,17.5,8.5,0.6470588235294118,-11.0,1
