item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
12750115947,KIDNEY BASIN PLASTIC,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,2.0,63.0,23.0,2.0,31.5,1.0,0.0,-7.850462293418875e-17,0
13558758,MEASURING CUP 210ML,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,1.0,100.0,100.0,1.0,100.0,1.0,0.0,0.0,0
25761726337,BANDAGE SCISSOR 3 1/2,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,1.0,147.0,77.0,1.0,147.0,1.0,0.0,0.0,0
33456416,BEDPAN PLASTIC,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,9.0,982.8000000000001,514.8000000000001,7.0,109.2,1.2857142857142858,0.5443310539518174,0.14285714285714288,-1
35586197,WEEK PILL ORGANIZER,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,5.0,674.56,249.56,4.0,134.91199999999998,1.25,0.34641016151377546,0.3,-1
41720005175,PLASTIC URINAL,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,34.0,3230.0,1700.0,14.0,95.0,2.4285714285714284,0.7417364831128525,0.035164835164835116,-1
4800067049051,BBFLO PREEMIE NURSER 2 OZ,"PLASTIC, GLASSWARE, AND STAINLESS",PERSONAL CARE,2.0,176.0,28.4,2.0,88.0,1.0,0.0,-7.850462293418875e-17,0
4800067051689,BBFLO BOTTLE TRANSPA HEXA 4OZ,"PLASTIC, GLASSWARE, AND STAINLESS",PERSONAL CARE,4.0,300.0,34.0,3.0,75.0,1.3333333333333333,0.3535533905932738,1.0813965140346581e-17,1
4800067052167,BBFLO SILICON NIPPLE S,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,3.0,87.6,16.71,2.0,29.2,1.5,0.3333333333333333,-1.0,0
4800067052211,BBFLO SILICON NIPPLE M,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,23.0,621.0,71.15,8.0,27.0,2.875,0.8597269536210952,-0.583333333333333,-1
4800067052266,BBFLO SILICON NIPPLE L,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,2.0,54.0,6.5,1.0,27.0,2.0,0.0,0.0,0
4800067054284,BBFLO BB BUDS WHITE 200TIP,"PLASTIC, GLASSWARE, AND STAINLESS",PERSONAL CARE,4.0,128.0,14.0,2.0,32.0,2.0,0.0,-1.570092458683775e-16,0
4800067056004,BBFLO GENTLE BUDS PLASTIC 36TIP,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,12.0,135.0,29.28,4.0,11.25,3.0,0.3333333333333333,0.4000000000000003,0
4800067058060,BBFLO BREAST PUMP GLASS,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,2.0,360.0,72.97,2.0,180.0,1.0,0.0,-7.850462293418875e-17,1
4800067058367,BBFLO NASAL ASPIRATOR,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,2.0,146.5,12.5,2.0,73.25,1.0,0.0,-7.850462293418875e-17,0
4806526298701,"PARTNERS ICE BAG 9""","PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,4.0,648.0,648.0,2.0,162.0,2.0,0.5,1.9999999999999996,-1
4806526300459,PARTNERS BREAST PUMP GLASS,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,2.0,360.0,360.0,1.0,180.0,2.0,0.0,0.0,1
500001000123,I-SHIELD ICE BAG 6&#039;,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,3.0,434.70000000000005,227.70000000000002,3.0,144.9,1.0,0.0,8.985767264226737e-17,-1
