item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
1052684664,ADVANCED SNAIL 92 ALL IN ONE CREAM 100G,SKIN AND BODY,PERSONAL CARE,1.0,495.0,-110.49,1.0,495.0,1.0,0.0,0.0,-1
4005800292606,NIVEA WHITE & REPAIR BUY 1 TAKE 1 250ML LOTION,SKIN AND BODY,PERSONAL CARE,3.0,759.0,93.57000000000001,2.0,253.0,1.5,0.3333333333333333,0.9999999999999998,-1
4005808024704,NIVEA INTENSIVE MOISTURE BODY MILK 250ML LOTION,SKIN AND BODY,PERSONAL CARE,1.0,230.0,21.01,1.0,230.0,1.0,0.0,0.0,-1
4005808298334,NIVEA MEN ROLL ON DRY IMPACT 50ML,SKIN AND BODY,PERSONAL CARE,14.0,2307.75,414.40999999999997,6.0,164.83928571428572,2.3333333333333335,0.6388765649999399,0.22857142857142843,-1
4005808298396,NIVEA MEN ROLL ON DRY IMPACT 25ML,SKIN AND BODY,PERSONAL CARE,2.0,123.5,21.18,2.0,61.75,1.0,0.0,-7.850462293418875e-17,0
4005808301843,NIVEA COOL KICK 50ML SINGLE,SKIN AND BODY,PERSONAL CARE,2.0,263.0,24.08,1.0,131.5,2.0,0.0,0.0,1
4005808319725,NIVEA INTENSIVE MOISTURE BODY MILK 400ML LOTION,SKIN AND BODY,PERSONAL CARE,2.0,680.0,62.92,2.0,340.0,1.0,0.0,-7.850462293418875e-17,2
4005808324774,NIVEA INTENSIVE MOISTURE BODY MILK 125ML LOTION,SKIN AND BODY,PERSONAL CARE,1.0,131.0,12.64,1.0,131.0,1.0,0.0,0.0,0
4005808353996,NIVEA WHITE & REPAIR 250ML LOTION,SKIN AND BODY,PERSONAL CARE,3.0,759.0,93.57000000000001,3.0,253.0,1.0,0.0,8.985767264226737e-17,-1
4005808354016,NIVEA WHITE & REPAIR 125ML LOTION,SKIN AND BODY,PERSONAL CARE,1.0,150.25,13.82,1.0,150.25,1.0,0.0,0.0,0
4005808593941,NIVEA SMOOTH & FIRM 125ML LOTION,SKIN AND BODY,PERSONAL CARE,1.0,159.25,14.65,1.0,159.25,1.0,0.0,0.0,0
4005808837472,NIVEA ROLL ON EXTRA WHITENING 50ML,SKIN AND BODY,PERSONAL CARE,11.0,1665.0,291.51000000000005,6.0,151.36363636363637,1.8333333333333333,0.3748277841470601,-0.02857142857142856,-1
4005900339126,NIVEA EXTRA WHITE SERUM 40ML,SKIN AND BODY,PERSONAL CARE,1.0,160.25,26.72,1.0,160.25,1.0,0.0,0.0,0
42131946,NIVEA ROLL ON EXTRA WHITENING 25ML,SKIN AND BODY,PERSONAL CARE,1.0,70.0,11.45,1.0,70.0,1.0,0.0,0.0,3
42300052,NIVEA EXTRA WHITE SERUM ROLL ON 20ML,SKIN AND BODY,PERSONAL CARE,3.0,275.21999999999997,19.29,2.0,91.74,1.5,0.3333333333333333,-1.0,1
