item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
0100707387509507,TEGADERM FILM 4 IN X 4 3/4 IN,WOUND CARE,MED-SURG,16.0,1488.0,848.0,3.0,93.0,5.333333333333333,0.46770717334674267,-1.000000000000001,1
12165633962,BETADINE WOUND 7.5ML,WOUND CARE,MED-SURG,5.0,183.75,25.099999999999998,3.0,36.75,1.6666666666666667,0.565685424949238,4.07711101981292e-16,0
25609887997,LEUKOPLAST 1.25CMX5M /PC,WOUND CARE,MED-SURG,5.0,1080.0,180.0,2.0,216.0,2.5,0.2,-1.0000000000000007,-1
27090336,SURGITECH COLOSTOMY BAG 57MM,WOUND CARE,MED-SURG,1.0,288.0,108.0,1.0,288.0,1.0,0.0,0.0,0
3200010001,CONVATEC OSTOMY STARTER KIT FW 57MM,WOUND CARE,MED-SURG,1.0,552.5,127.5,1.0,552.5,1.0,0.0,0.0,0
37474317,SOUTH MOON FABRIC BANDAGES 5X4.5CM,WOUND CARE,MED-SURG,7.0,35.0,13.67,1.0,5.0,7.0,0.0,0.0,0
4719863692607,POSTURE AID M,WOUND CARE,MED-SURG,1.0,1350.0,700.0,1.0,1350.0,1.0,0.0,0.0,-1
4800011147741,IPI HYDROGEN PEROXIDE VOL 10 3% 120ML,WOUND CARE,MED-SURG,2.0,29.0,29.0,1.0,14.5,2.0,0.0,0.0,0
4800067551165,MEDIPLAST BANTAM PLASTIC STRIPS,WOUND CARE,MED-SURG,772.0,1547.75,822.07,13.0,2.0048575129533677,59.38461538461539,0.8460403751343586,-3.0769230769230744,1
4800067564363,MEDIPLAST FIRST AID KIT,WOUND CARE,MED-SURG,21.0,9177.0,987.0,2.0,437.0,10.5,0.9047619047619048,18.999999999999996,-1
4800204002017,BETADINE WOUND SOLUTION 60ML,WOUND CARE,MED-SURG,40.0,6419.75,472.96000000000004,15.0,160.49375,2.6666666666666665,0.651920240520265,0.03571428571428579,-1
4800204002024,BETADINE WOUND SOL&#039;N 120ML,WOUND CARE,MED-SURG,9.0,2258.5,315.64,8.0,250.94444444444446,1.125,0.2939723678960656,0.011904761904761878,-1
4800204002048,BETADINE WOUND 15ML,WOUND CARE,MED-SURG,21.0,1601.25,266.7,5.0,76.25,4.2,0.8024904545882248,-1.5999999999999999,1
4801010194002,BAND AID PLASTIC STRIPS,WOUND CARE,MED-SURG,770.0,1924.5,937.51,15.0,2.4993506493506494,51.333333333333336,0.5628787774745281,0.6571428571428577,-1
48035880,BETADINE WOUND SOLUTION 7.5ML,WOUND CARE,MED-SURG,44.0,1702.0,175.6,13.0,38.68181818181818,3.3846153846153846,0.49896587272954884,-0.10439560439560423,1
48037921,RHEA POVIDONE IODINE 10% SOL 15ML,WOUND CARE,PERSONAL CARE,7.0,430.0,56.089999999999996,3.0,61.42857142857143,2.3333333333333335,0.40406101782088427,-3.0505253718871823e-16,0
4806516031486,BETADINE WOUND 25ML,WOUND CARE,MED-SURG,5.0,512.5,163.7,2.0,102.5,2.5,0.2,0.9999999999999994,0
4806523246118,NEB KIT ACCUMAX,WOUND CARE,MED-SURG,9.0,504.0,189.0,3.0,56.0,3.0,0.5443310539518174,1.0000000000000002,0
4806524145984,GAUZE PAD 2X2 8 PLY (SUREGUARD,WOUND CARE,MED-SURG,49.0,171.5,112.7,5.0,3.5,9.8,0.5786713011737888,2.5999999999999988,0
4806526296800,GAUZE PAD 2X2 (PARTNERS,WOUND CARE,MED-SURG,287.0,861.0,477.3,7.0,3.0,41.0,1.1236163979789042,-1.4285714285714286,-1
4806526296806,GAUZE PAD 2X2 (PARTNERS,WOUND CARE,MED-SURG,10.0,30.0,0.0,1.0,3.0,10.0,0.0,0.0,0
4806526296813,GAUZE PAD 3X3 STERILE (PARTNERS,WOUND CARE,MED-SURG,840.0,2931.25,1370.3600000000001,12.0,3.4895833333333335,70.0,1.0133463121259778,15.818181818181815,-1
4806526296820,GAUZE PAD 4x4 STERILE (PARTNERS)(4X4X8,WOUND CARE,MED-SURG,370.0,1685.15,971.05,5.0,4.554459459459459,74.0,0.83552426865185,-25.40000000000002,1
4809011642775,J.CHEMIE (HYDROGEN PEROXIDE) 120ML,WOUND CARE,MED-SURG,4.0,223.6,103.6,2.0,55.9,2.0,0.5,-2.0,0
4809012730433,CERES HYDROGEN PEROXIDE 10VOL 120ML,WOUND CARE,MED-SURG,4.0,75.0,15.0,2.0,18.75,2.0,0.5,1.9999999999999996,0
4809012730440,CERES HYDROGEN PEROXIDE 10VOL 50ML,WOUND CARE,MED-SURG,4.0,54.0,54.0,2.0,13.5,2.0,0.5,1.9999999999999996,0
4809012730990,CERES POVIDONE IODINE 60ML,WOUND CARE,MED-SURG,1.0,82.5,82.5,1.0,82.5,1.0,0.0,0.0,0
4809030034018,PARTNERS GAUZE BANDAGE 3X10YARDS,WOUND CARE,MED-SURG,10.0,218.75,218.75,3.0,21.875,3.3333333333333335,0.6164414002968976,2.4999999999999996,0
500010216,FIRST AID STERILE EYE PADS 8X6CM,WOUND CARE,MED-SURG,6.0,66.0,32.4,3.0,11.0,2.0,0.408248290463863,0.9999999999999998,0
