item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
10937242,RELAXSAPH (SALBU+IPRA) RESP,ADULT MILK,F&B,1.0,31.0,20.02,1.0,31.0,1.0,0.0,0.0,0
13330569,ANNIV DISC SDS2YO,ADULT MILK,F&B,4.0,0.04,0.04,2.0,0.01,2.0,0.5,-2.0,-1
2000640000932,GATORADE BLUE BOLT 1.5L,BEVERAGES,F&B,2.0,230.0,20.5,1.0,115.0,2.0,0.0,0.0,-1
21325670,SENSODYNE DEEP CLEAN 60G,FOOD,F&B,2.0,180.0,180.0,2.0,90.0,1.0,0.0,-7.850462293418875e-17,1
23605794,4TH YEAR ANNIVERSARY DISC,ADULT MILK,F&B,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1
27719626,YAKULT 80ML,BEVERAGES,F&B,17.0,255.0,85.0,2.0,15.0,8.5,0.6470588235294118,-11.0,-1
33680255,I QURE 32 IN 1 COFFEE,FOOD SUPPLEMENTS,F&B,123.0,2275.5,430.5,5.0,18.5,24.6,0.43066415083411475,0.09999999999999855,-1
38685599350,AIDEX GLUTARALDEHYDE 2.4% 4L,BEVERAGES,F&B,1.0,1589.28,389.28,1.0,1589.28,1.0,0.0,0.0,-1
40382295926,POCARI SWEAT ION DRINK 500ML,BEVERAGES,F&B,17.0,918.0,155.42,5.0,54.0,3.4,0.8022459821756386,-1.3000000000000012,-1
41737620,C2 SOLO APPLE 230ML,BEVERAGES,F&B,9.0,180.0,65.25,2.0,20.0,4.5,0.3333333333333333,-3.0000000000000013,1
4800010064360,HELLO VANILLA,FOOD,F&B,28.0,280.0,132.44,5.0,10.0,5.6,0.6643241156335098,-0.5000000000000008,-1
4800010064384,HELLO CHOCOLATE,FOOD,F&B,29.0,286.0,133.17000000000002,6.0,9.862068965517242,4.833333333333333,0.6022154895369994,1.1714285714285708,-1
4800010075243,CREAM-O CHOCO COOKIES,FOOD,F&B,3.0,45.0,24.240000000000002,2.0,15.0,1.5,0.3333333333333333,0.9999999999999998,13
4800010075526,CREAM-O VANILLA,FOOD,F&B,7.0,105.0,57.050000000000004,1.0,15.0,7.0,0.0,0.0,2
4800010961447,CLOUD 9 CLASSIC 12&#039;S,FOOD,F&B,16.0,192.0,44.48,3.0,12.0,5.333333333333333,0.1767766952966369,-1.0,-1
4800016022180,GREAT TASTE WHITE CREMA TWINPACK,FOOD,F&B,9.0,180.0,68.39999999999999,3.0,20.0,3.0,0.2721655269759087,-0.4999999999999997,1
4800016022258,GREAT TASTE CHOCO TWINPACK,FOOD,F&B,5.0,100.0,37.2,3.0,20.0,1.6666666666666667,0.282842712474619,0.5,3
4800016022265,GREAT TASTE 3N1 WHITE TWIN PACK,FOOD,F&B,22.0,440.0,167.2,5.0,20.0,4.4,0.42152811343162283,-0.6000000000000006,-1
4800016024467,GREAT TASTE CREAM-O COFFEE TWIN PACK,FOOD,F&B,3.0,60.0,15.450000000000001,3.0,20.0,1.0,0.0,8.985767264226737e-17,4
4800016025716,C2 MILK TEA CARAMEL 270ML,BEVERAGES,F&B,4.0,120.0,17.2,1.0,30.0,4.0,0.0,0.0,5
4800016052040,C2 GREEN TEA APPLE 355ML,BEVERAGES,F&B,17.0,510.0,93.5,2.0,30.0,8.5,0.29411764705882354,-4.999999999999999,-1
4800016052057,C2 GREEN TEA LEMON 355ML,BEVERAGES,F&B,4.0,120.0,35.88,1.0,30.0,4.0,0.0,0.0,5
4800016065859,HELLO STRAWBERRY,FOOD,F&B,10.0,100.0,16.0,3.0,10.0,3.3333333333333335,0.1414213562373095,2.1961400718323828e-16,3
4800016068195,C2 SOLO LEMON 230ML,BEVERAGES,F&B,8.0,160.0,58.0,3.0,20.0,2.6666666666666665,0.46770717334674267,1.4999999999999998,-1
4800016073953,VITASOY ORIGINAL 300ML,BEVERAGES,F&B,1.0,25.0,4.01,1.0,25.0,1.0,0.0,0.0,6
4800016073960,VITASOY CHOCOLATE 300ML,BEVERAGES,F&B,3.0,75.0,12.03,1.0,25.0,3.0,0.0,0.0,7
4800016074097,C2 SOLO MELON 230ML,BEVERAGES,F&B,2.0,40.0,14.5,1.0,20.0,2.0,0.0,0.0,0
4800016074769,C2 MILK TEA CHOCOLATE 270ML,BEVERAGES,F&B,2.0,60.0,8.6,1.0,30.0,2.0,0.0,0.0,4
4800016074882,GREAT TASTE VANILLA 300ML,FOOD,F&B,2.0,40.0,8.34,1.0,20.0,2.0,0.0,0.0,0
4800016074899,GREAT TASTE MOCHA 300ML,FOOD,F&B,1.0,20.0,4.17,1.0,20.0,1.0,0.0,0.0,6
4800016083457,MAGIC JUNIOR STRAWBERRY 16G,FOOD,F&B,67.0,335.0,138.69,2.0,5.0,33.5,0.014925373134328358,0.9999999999999968,-1
4800016087530,MAGIC CREAMS (CHEESE CREAM) 280G,FOOD,F&B,17.0,170.0,75.82,3.0,10.0,5.666666666666667,0.08318903308077029,-0.4999999999999999,-1
4800016087554,MAGIC CREAM CHOCOLATE 28G,FOOD,F&B,11.0,110.0,59.22,2.0,10.0,5.5,0.09090909090909091,-1.0000000000000002,8
4800016087592,MAGIC CREAM BUTTER 28G,FOOD,F&B,16.0,160.0,91.84,4.0,10.0,4.0,0.6123724356957945,0.4000000000000007,-1
4800016091117,SWISS MISS DARK CHOCOLATE 31G,FOOD,F&B,1.0,14.5,5.42,1.0,14.5,1.0,0.0,0.0,9
4800016091209,SWISS MISS MILK CHOCOLATE 26G,BEVERAGES,F&B,10.0,145.0,31.5,1.0,14.5,10.0,0.0,0.0,-1
