item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
4800888199119,SURF BAR PURPLE BOOM 120G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,1.0,15.0,15.0,1.0,15.0,1.0,0.0,0.0,0
4800888284334,BREEZE POWDER ACTIVE BLEACH 90G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,3.0,63.0,63.0,1.0,21.0,3.0,0.0,0.0,0
4806502350546,SANICARE ECOLAYER 12 ROLLS 3 PLY,COTTONS AND HYGIENE,HOUSEHOLD GOODS,5.0,1123.0,312.0,3.0,224.6,1.6666666666666667,0.565685424949238,4.07711101981292e-16,-1
4806502351901,SANICARE BATHROOM TISSUE 1&#039;S,COTTONS AND HYGIENE,HOUSEHOLD GOODS,797.0,14699.72,2604.0,15.0,18.443814303638643,53.13333333333333,0.41187213351251883,4.546428571428572,-1
4806502358672,SANICARE ECOLAYERS BATHROOM TISSUE 3PLY 4s,COTTONS AND HYGIENE,HOUSEHOLD GOODS,14.0,1466.5,310.24,5.0,104.75,2.8,0.5714285714285715,-0.4000000000000003,-1
4806502359624,SANICARE KT REGULAR TWIN 2&#039;S,COTTONS AND HYGIENE,HOUSEHOLD GOODS,92.0,10136.0,1698.25,13.0,110.17391304347827,7.076923076923077,0.9445896079304535,-0.2747252747252747,-1
4806522730083,DEOROX 450ML,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,2.0,51.0,51.0,1.0,25.5,2.0,0.0,0.0,0
4806522730090,DEOROX 225ML,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,3.0,52.5,52.5,2.0,17.5,1.5,0.3333333333333333,-1.0,0
4806522730144,DEOROX COLOR SAFE 450ML STRAWBERRY SCENT,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,1.0,35.5,35.5,1.0,35.5,1.0,0.0,0.0,0
4806522730151,DEOROX COLOR SAFE 225ML STRAWBERRY SCENT,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,3.0,63.64,63.64,2.0,21.213333333333335,1.5,0.3333333333333333,0.9999999999999998,0
4809012730914,CRYSTAL DEODORIZER LEMON 50G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,6.0,177.0,177.0,2.0,29.5,3.0,0.3333333333333333,1.9999999999999996,0
4809012730921,CRYSTAL DEODORIZER STRAWBERRY 50G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,7.0,205.32,205.32,2.0,29.33142857142857,3.5,0.14285714285714285,-0.9999999999999998,0
4809012730938,CRYSTAL TOILET DEODORIZER CHERRY 50G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,3.0,88.5,88.5,1.0,29.5,3.0,0.0,0.0,0
745110103516,ALCOSURE ISOPROPYL ALC 70% 3.7L,DISINFECTANT,HOUSEHOLD GOODS,104.0,39781.35,13781.35,14.0,382.51298076923075,7.428571428571429,0.6933752452815363,-1.1824175824175833,-1
82234584,SANICARE BATHROOM TISSUE 4S,COTTONS AND HYGIENE,HOUSEHOLD GOODS,7.0,712.25,134.12,2.0,101.75,3.5,0.7142857142857143,-5.0,-1
8850006494424,GARD ACTIVE CLEAN 180ML,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,1.0,137.65,41.9,1.0,137.65,1.0,0.0,0.0,0
9556111408071,LYSOL DS.CRISP LINEN 340G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,11.0,4510.0,409.97,4.0,410.0,2.75,0.30151134457776363,-0.6999999999999997,-1
9556111408088,LYSOL CRISP LINEN 510G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,17.0,9690.0,1653.59,5.0,570.0,3.4,1.028991510855053,-1.5000000000000009,-1
