item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
0100707387509507,TEGADERM FILM 4 IN X 4 3/4 IN,WOUND CARE,MED-SURG,16.0,1488.0,848.0,3.0,93.0,5.333333333333333,0.46770717334674267,-1.000000000000001,-1
0382908868037,INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML,DISPOSABLES,MED-SURG,12.0,264.0,264.0,1.0,22.0,12.0,0.0,0.0,0
10870188414,GLOMED LATEX GLOVES LARGE,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,23.0,7990.08,1032.9,9.0,347.39478260869566,2.5555555555555554,0.41702882811414954,-0.04999999999999993,-1
1094266310,KN95,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,3.0,66.96000000000001,51.96,1.0,22.320000000000004,3.0,0.0,0.0,1
11377115,AIRCARE OXYGEN REGULATOR,ASSISTIVE DEVICE,MED-SURG,14.0,17589.92,4201.0199999999995,7.0,1256.422857142857,2.0,0.3779644730092272,-0.10714285714285716,-1
11593277501,NGT FR8,NEEDLES AND TUBINGS,MED-SURG,2.0,48.22,18.22,1.0,24.11,2.0,0.0,0.0,1
11936893,GLOMED STERILE LATEX GLOVE 7.0,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,8.0,160.0,56.0,2.0,20.0,4.0,0.5,-4.0,1
1194541822,FACE MASK AIDELAI 50&#039;S,DISPOSABLES,MED-SURG,3.0,225.0,114.0,2.0,75.0,1.5,0.3333333333333333,-1.0,1
12165633962,BETADINE WOUND 7.5ML,WOUND CARE,MED-SURG,5.0,183.75,25.099999999999998,3.0,36.75,1.6666666666666667,0.565685424949238,4.07711101981292e-16,1
12345678,SUCTION MACHINE (SURGITECT,ELECTRONIC MEDICAL DEVICES,MED-SURG,4.0,18688.0,4088.0,3.0,4672.0,1.3333333333333333,0.3535533905932738,-0.5,-1
12750115947,KIDNEY BASIN PLASTIC,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,2.0,63.0,23.0,2.0,31.5,1.0,0.0,-7.850462293418875e-17,1
13558758,MEASURING CUP 210ML,"PLASTIC, GLASSWARE, AND STAINLESS",MED-SURG,1.0,100.0,100.0,1.0,100.0,1.0,0.0,0.0,1
14981866658,OXYGEN CANNULA ADULT,NEEDLES AND TUBINGS,MED-SURG,2.0,75.0,35.0,1.0,37.5,2.0,0.0,0.0,1
