item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
0189061125300878,MEOXICLAV-D5 (CO-AMOXICLAV) 457MG/5ML SUSP,ANTIBIOTICS,PRESCRIPTION,34.0,8660.9,3841.64,12.0,254.73235294117646,2.8333333333333335,0.5161743757289483,-0.04195804195804195,0
0300651439168,SYSTANE ULTRA EYE DROPS 5ML,EENT,PRESCRIPTION,2.0,508.0,73.68,2.0,254.0,1.0,0.0,-7.850462293418875e-17,1
1000010199,MAALOX TAB1,GIT,PRESCRIPTION,149.0,1527.25,163.9,17.0,10.25,8.764705882352942,0.7221551358111152,-0.06372549019607826,2
1000200029,CALMSAPH (ALUM. MAG. HYDROXIDE) 200MG/100MG CHEWABLE TAB,GIT,PRESCRIPTION,47.0,160.3,132.1,6.0,3.4106382978723406,7.833333333333333,0.40648879094771917,-1.1714285714285706,1
1000200084,GLIMESAPH (GLIMEPIRIDE) 2MG,ANTIDIABETICS,PRESCRIPTION,125.0,252.88,141.48000000000002,3.0,2.02304,41.666666666666664,0.574108003776293,27.5,1
11217688,SAPHETOR 90 TAB,PAIN MANAGEMENT,PRESCRIPTION,134.0,2311.48,1220.06,13.0,17.249850746268656,10.307692307692308,0.6303209675754828,0.038461538461538956,6
11699910,RETENTO-800 (PIRACETAM) 800MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,20.0,255.0,255.0,1.0,12.75,20.0,0.0,0.0,1
1210001136144,LIPITOR TAB 20MG,CARDIOVASCULAR,PRESCRIPTION,434.0,15252.74,-58.31999999999996,32.0,35.144562211981565,13.5625,0.6229044377967262,0.16825513196480923,-1
1210001136748,NORVASC 5MG TAB,CARDIOVASCULAR,PRESCRIPTION,545.0,12394.2,1189.0,4.0,22.74165137614679,136.25,1.1522745864151072,-109.90000000000002,-1
15147035,CYSAPHTEINE (ACETYLCYSTEINE) 600MG SACH,RESPIRATORY,PRESCRIPTION,50.0,1029.0,504.0,4.0,20.58,12.5,0.6985699678629191,0.1999999999999989,1
16430730,DYNA CLOPIDOGREL 75MG,CARDIOVASCULAR,PRESCRIPTION,10.0,41.04,41.04,1.0,4.104,10.0,0.0,0.0,1
16773073,RIFECLAV (CO-AMOXICLAV )625MG TAB,ANTIBIOTICS,PRESCRIPTION,133.0,4930.610000000001,674.61,6.0,37.07225563909775,22.166666666666668,0.7039216444299574,-3.114285714285711,-1
17540193,FLOXANOVA-500 FC TAB,ANTIBIOTICS,PRESCRIPTION,36.0,350.8,197.8,5.0,9.744444444444445,7.2,0.97182531580755,-0.6000000000000009,1
18904173220731,CLOBIMED (CLOBETASOL PROPIONATE) 0.5MG/G OINTMENT 15G,DERMATOLOGICALS,PRESCRIPTION,10.0,464.96000000000004,64.96000000000001,3.0,46.496,3.3333333333333335,0.9899494936611665,3.4999999999999987,1
1900010021,SAPHLOPID (CLOPIDOGREL) 75MG TAB,CARDIOVASCULAR,PRESCRIPTION,2605.0,12737.96,8866.44,23.0,4.889811900191939,113.26086956521739,0.7019789802744055,-3.6689723320158123,-1
1900010022,DERMOTRIM (CLOTRIMAZOLE) 10MG/G CREAM,DERMATOLOGICALS,PRESCRIPTION,5.0,420.0,245.0,4.0,84.0,1.25,0.34641016151377546,0.3,1
1900010074,ATORSAPH-10 (ATORVASTATIN) 10MG FC TAB,CARDIOVASCULAR,PRESCRIPTION,1620.0,3394.7400000000002,2011.97,32.0,2.0955185185185186,50.625,0.770856921375646,0.7412023460410555,17
1900010225,GLIMESAPH T4 (GLIMEPIRIDE) 4MG TAB,ANTIDIABETICS,PRESCRIPTION,30.0,182.0,98.0,1.0,6.066666666666666,30.0,0.0,0.0,1
1900010256,ERYSAPH (ERYTHORMYCIN) 5000MG TAB,ANTIBIOTICS,PRESCRIPTION,70.0,448.93,266.93,4.0,6.413285714285714,17.5,0.41305235128002743,-1.3999999999999977,1
26046143,RELAXSAPH (IPRATROPIUM BROMIDE + SALBUTAMOL SULFATE) 200MCG/1MG PER ML 2.5ML AMP,RESPIRATORY,PRESCRIPTION,778.0,20415.92,12643.28,18.0,26.24154241645244,43.22222222222222,1.0294562653902755,-1.5252837977296172,-1
300651439168,SYSTANE ULTRA EYE DROPS 5ML,EENT,PRESCRIPTION,2.0,508.0,49.1,2.0,254.0,1.0,0.0,-7.850462293418875e-17,1
33803395,DYNA AMLODIPINE 5MG,CARDIOVASCULAR,PRESCRIPTION,1.0,2.23,2.23,1.0,2.23,1.0,0.0,0.0,1
36836673,VEGIVIT TAB,ANTIBIOTICS,PRESCRIPTION,472.0,4690.0,914.0,15.0,9.936440677966102,31.466666666666665,0.7139107492436747,1.367857142857144,4
37358747,VALPROS 500MG TAB,NEUROLOGICAL DRUGS,PRESCRIPTION,37.0,1173.9,182.67000000000002,5.0,31.72702702702703,7.4,0.5027317631821154,1.299999999999999,1
38119798,ATORSAPH-20 (ATORVASTATIN) 20MG FC TAB,CARDIOVASCULAR,PRESCRIPTION,624.0,1874.95,1282.15,9.0,3.004727564102564,69.33333333333333,0.923502506059526,-8.199999999999996,3
38464410122,OXYGEN MASK ADULT,EENT,PRESCRIPTION,11.0,770.99,220.99,5.0,70.09,2.2,0.7272727272727273,-2.7015400095935113e-16,1
41875094,RESPI-SAPH (BUDESONIDE) 250MCG/ML (500MCG/2ML) AMP,RESPIRATORY,PRESCRIPTION,93.0,5162.0,3680.18,7.0,55.505376344086024,13.285714285714286,0.7993233350557334,-1.1071428571428579,14
42074398686,OXYGEN MASK PEDIA,EENT,PRESCRIPTION,3.0,218.68,94.68,3.0,72.89333333333333,1.0,0.0,8.985767264226737e-17,1
4260274650509,CATAPRES (CLONIDINE HCL) 75MCG TAB,CARDIOVASCULAR,PRESCRIPTION,78.0,2714.4,397.8,5.0,34.800000000000004,15.6,0.44151731686468115,-2.600000000000004,5
4260274650516,CATAPRES 150MCG TAB,CARDIOVASCULAR,PRESCRIPTION,102.0,4758.6,3.070000000000004,10.0,46.65294117647059,10.2,1.3562052130031828,-2.5454545454545463,4
4454239830063,ENTRESTO (SACUBITRIL-VALSARTAN) 100MG TAB,CARDIOVASCULAR,PRESCRIPTION,19.0,2760.0,-17.699999999999996,3.0,145.26315789473685,6.333333333333333,0.8583950752789522,0.5000000000000027,5
45817663,ROSUSAPH-20 (ROSUVASTATIN) 20MG FC TAB,CARDIOVASCULAR,PRESCRIPTION,1032.0,13664.8,11002.24,19.0,13.241085271317829,54.31578947368421,1.1052816778018253,-4.708771929824557,-1
47068001,SAPHTRATE (POTASSIUM CITRATE) 1.080 (10MEQ) TAB,GUT AND HORMONES,PRESCRIPTION,20.0,155.0,25.92,2.0,7.75,10.0,0.4,-8.0,1
4800012043721,PRED FORTE 10MG/ML 5ML OPTH SUSP,RESPIRATORY,PRESCRIPTION,5.0,2040.0,270.0,4.0,408.0,1.25,0.34641016151377546,0.10000000000000009,-1
4800012130254,FAKTU (POLICRESEN + CINCHOCAINE HCL) SUPP,PAIN MANAGEMENT,PRESCRIPTION,3.0,261.0,22.74,1.0,87.0,3.0,0.0,0.0,1
4800012130308,FAKTU (POLICRESULEN + CINCHOCAINE HCL) 20G OINTMENT,PAIN MANAGEMENT,PRESCRIPTION,6.0,6123.75,215.55,5.0,1020.625,1.2,0.33333333333333337,0.09999999999999981,-1
4800064630061,ALTHEA PILLS (CYPROTERONE ACETATE + ETHINYLESTRADIOL,GUT AND HORMONES,PRESCRIPTION,73.0,34221.75,4700.38,29.0,468.791095890411,2.5172413793103448,0.6138453836276188,-0.021674876847290598,-1
4800064630108,DAPHNE PILLS,GUT AND HORMONES,PRESCRIPTION,33.0,4907.400000000001,2048.46,23.0,148.70909090909092,1.434782608695652,0.49608198617408783,0.003952569169960468,-1
4800067507605,RHEA GLYCERINE SUPP ADULT,GIT,PRESCRIPTION,12.0,198.0,198.0,2.0,16.5,6.0,0.6666666666666666,7.999999999999997,1
4800136010197,APROVEL (IRBESARTAN) 150MG TAB,CARDIOVASCULAR,PRESCRIPTION,106.0,2354.7,-158.56,5.0,22.214150943396223,21.2,0.5092592292930482,-6.500000000000001,26
4800136010210,CO-APROVEL TAB 150MG/12.5MG,CARDIOVASCULAR,PRESCRIPTION,51.0,1476.3,-42.48,2.0,28.94705882352941,25.5,0.09803921568627451,4.999999999999998,15
4800136060062,ESSENTIALE FORTE CAP,PAIN MANAGEMENT,PRESCRIPTION,715.0,22243.0,-995.23,20.0,31.10909090909091,35.75,0.604084100008132,0.18872180451127782,-1
4800136310020,APROVASC 150MG/5MG TAB,CARDIOVASCULAR,PRESCRIPTION,454.0,13358.6,483.16,19.0,29.42422907488987,23.894736842105264,0.6250152824695252,0.49649122807017587,-1
4800136310037,APROVASC 300MG/10MG TAB,CARDIOVASCULAR,PRESCRIPTION,50.0,2256.3,119.52000000000001,4.0,45.126000000000005,12.5,0.6729041536504289,4.6,6
4800136320012,POVEDTA (INSULIN GLARGNE) 100UNITS/ML,ANTIDIABETICS,PRESCRIPTION,5.0,4247.8099999999995,4247.8099999999995,4.0,849.5619999999999,1.25,0.34641016151377546,-0.30000000000000016,25
4800136590026,FLAGYL ORALSUSP 60ML,ANTIBIOTICS,PRESCRIPTION,26.0,3781.52,969.44,13.0,145.44307692307692,2.0,1.192927878405448,0.29120879120879123,7
4800136590033,FLAGYL FORTE 500MG FC TAB,ANTIBIOTICS,PRESCRIPTION,326.0,14201.55,28.0,14.0,43.56303680981595,23.285714285714285,1.0554822032229325,2.6725274725274732,-1
4800136620112,MAALOX PLUS TAB,GIT,PRESCRIPTION,471.0,7057.5,594.12,22.0,14.98407643312102,21.40909090909091,0.7823109380852352,0.8802936194240539,-1
