month,active_skus
2022-05,639
2022-06,728
2022-07,753
2022-08,793
2022-09,887
2022-10,871
2022-11,870
2022-12,841
2023-01,878
2023-02,838
2023-03,873
2023-04,808
2023-05,873
2023-06,825
2023-07,858
2023-09,956
2023-10,961
2023-11,968
2023-12,1020
2024-01,1059
2024-02,969
2024-03,1076
2024-04,1109
2024-05,1052
2024-06,977
2024-07,1018
2024-08,1104
2024-09,1088
2024-10,1151
2024-11,1080
2024-12,1023
2025-01,994
2025-02,903
2025-03,945
