month,category,total_sales,total_qty
2023-01,ADULT MILK,6564.259999999999,24.0
2023-01,ANTIBIOTICS,48930.69,1758.0
2023-01,ANTIDIABETICS,18086.77,1049.0
2023-01,ASSISTIVE DEVICE,58030.77,17.0
2023-01,BEVERAGES,3826.0,147.0
2023-01,CARDIOVASCULAR,36970.09,4488.0
2023-01,COTTONS AND HYGIENE,9814.7,199.0
2023-01,DERMATOLOGICALS,8848.95,59.0
2023-01,DIAGNOSTIC,2025.0,46.0
2023-01,DIAPERS,11763.25,63.0
2023-01,DISINFECTANT,5451.6,47.0
2023-01,DISPOSABLES,6069.09,136.0
2023-01,EENT,2365.11,16.0
2023-01,ELECTRONIC MEDICAL DEVICES,12626.47,12.0
2023-01,FOOD,593.25,4.0
2023-01,FOOD SUPPLEMENTS,8833.88,497.0
2023-01,GALENICALS AND SOLUTIONS,4284.85,121.0
2023-01,GIT,23227.41,1048.0
2023-01,GUT AND HORMONES,25407.72,630.0
2023-01,HAIR CARE,1184.7,24.0
2023-01,HOME REMEDY,4028.0,58.0
2023-01,HOUSEHOLD CHEMICALS,5700.0,10.0
2023-01,NEEDLES AND TUBINGS,1307.45,32.0
2023-01,NEUROLOGICAL DRUGS,1902.27,68.0
2023-01,ORAL CARE,7472.0,82.0
2023-01,ORTHO SUPPORT,3843.5,20.0
2023-01,PAIN MANAGEMENT,40040.58,2193.0
2023-01,PEDIATRIC MILK,450.5,2.0
2023-01,PERSONAL PROTECTIVE EQUIPMENT,978.56,15.0
2023-01,"PLASTIC, GLASSWARE, AND STAINLESS",1014.75,16.0
2023-01,PROMO PACKS,3366.12,154.0
2023-01,RESPIRATORY,65415.340000000004,2410.0
2023-01,SKIN AND BODY,9105.06,150.0
2023-01,SPECIAL CATEGORY 1,1281.8400000000001,61.0
2023-01,VITAMINS,42400.46,2591.0
2023-01,WOUND CARE,1627.95,170.0
