month,total_sales,total_qty
2022-05,285545.92,11649.0
2022-06,299480.85,13653.0
2022-07,372778.6,15737.0
2022-08,377015.76,16950.0
2022-09,432532.84,19385.0
2022-10,418977.04,18328.0
2022-11,401657.52,17513.0
2022-12,414978.35,17734.0
2023-01,484838.94,18417.0
2023-02,516725.09,17204.0
2023-03,502302.82,18409.0
2023-04,395006.65,15208.0
2023-05,502830.74,19215.0
2023-06,487844.94,19240.0
2023-07,473763.36,18570.0
2023-08,550440.47,22382.0
2023-09,631181.37,22493.0
2023-10,755230.16,21568.0
2023-11,725093.79,21696.0
2023-12,909502.75,24439.0
2024-01,940426.91,26414.0
2024-02,704037.61,23074.0
2024-03,919248.69,29130.0
2024-04,851537.56,24760.0
2024-05,759689.77,22504.0
2024-06,531633.28,17976.0
2024-07,753171.76,18887.0
2024-08,638207.72,22079.0
2024-09,831209.51,26748.0
2024-10,710919.29,20794.0
2024-11,615555.37,21042.0
2024-12,569028.23,18566.0
2025-01,667126.76,20825.0
2025-02,563519.44,17270.0
2025-03,623008.51,20917.0
