month,tab,total_sales,total_qty
2023-01,F&B,12658.01,245.0
2023-01,GENERICS,45026.19,5763.0
2023-01,HOUSEHOLD GOODS,11590.35,75.0
2023-01,MED-SURG,90031.89,512.0
2023-01,OTC,105881.81,5237.0
2023-01,PERSONAL CARE,41948.96,595.0
2023-01,PRESCRIPTION,174083.27,5793.0
2023-01,PROMOTIONS,3618.46,197.0
2023-02,F&B,8590.71,241.0
2023-02,GENERICS,34308.13,5425.0
2023-02,HOUSEHOLD GOODS,4563.73,52.0
2023-02,MED-SURG,172980.15,368.0
2023-02,OTC,86905.27,4434.0
2023-02,PERSONAL CARE,39932.43,549.0
2023-02,PRESCRIPTION,159693.3,5952.0
2023-02,PROMOTIONS,9751.37,183.0
2024-01,F&B,22211.0,539.0
2024-01,GENERICS,65149.0,5142.0
2024-01,HOUSEHOLD GOODS,4396.1,73.0
2024-01,MED-SURG,126364.97,1315.0
2024-01,OTC,194636.55,7917.0
2024-01,PERSONAL CARE,56157.62,911.0
2024-01,PRESCRIPTION,469502.82,10466.0
2024-01,PROMOTIONS,2008.85,51.0
2025-02,F&B,30508.15,742.0
2025-02,GENERICS,31102.57,4462.0
2025-02,HOUSEHOLD GOODS,2961.6,75.0
2025-02,MED-SURG,75062.7,811.0
2025-02,OTC,124474.19,4285.0
2025-02,PERSONAL CARE,37996.8,615.0
2025-02,PRESCRIPTION,255970.08,6113.0
2025-02,PROMOTIONS,5443.35,167.0
