item_code,description,category,tab,total_sales,total_qty
4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,9273.23,2152.0
8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,CARDIOVASCULAR,GENERICS,4045.0,1692.0
4806524781854,NEPHROMIN TAB,ANTIBIOTICS,PRESCRIPTION,22412.0,1386.0
4806533602379,RETASAR (LOSARTAN POTASSIUM) 50MG,CARDIOVASCULAR,PRESCRIPTION,2147.5,890.0
0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,43414.45,887.0
4807788562593,IMMUNPRO 500MG TAB,VITAMINS,OTC,6351.46,749.0
4806505141387,FORMET (METFORMIN) 500MG TAB,ANTIDIABETICS,GENERICS,1265.75,680.0
4806533602355,RETAVASC- 5 (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,1055.7,633.0
4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,38775.27,621.0
4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,VITAMINS,OTC,8886.5,606.0
