year,item_code,description,category,tab,total_sales,total_qty,rank_qty
2022,21096518,ANGEL-50 (LOSARTAN POTASSIUM) 50MG TAB,CARDIOVASCULAR,GENERICS,1565.05,648.0,7.0
2022,4806504653164,RENAKULT CAP(PROBIOTIC,VITAMINS,OTC,14551.65,561.0,10.0
2022,4806523301312,AXMEL (AMOXICILLIN TRIHYDRATE) 500MG CAP,ANTIBIOTICS,GENERICS,3161.37,1022.0,2.0
2022,4806524772906,AMLOTHIX (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,1540.0,783.0,4.0
2022,4806527194088,ALLECUR (CETIRIZINE) 10MG TAB,RESPIRATORY,GENERICS,2667.0,890.0,3.0
2022,4806531820812,AK LOG TAB,ANTIBIOTICS,PRESCRIPTION,10448.19,702.0,5.0
2022,4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,6595.36,1620.0,1.0
2022,78014183,SAPHLOR-50 (LOSARTAN) 50MG TAB,CARDIOVASCULAR,GENERICS,1388.05,638.0,8.0
2022,8904186000521,TRIMEBET (TRIMETAZIDINE) 35MG TAB,CARDIOVASCULAR,GENERICS,4477.8,600.0,9.0
2022,8944164510321,ANIN (LOSARTAN) 50MG TAB,CARDIOVASCULAR,GENERICS,1441.18,655.0,6.0
2023,1900010021,SAPHLOPID (CLOPIDOGREL) 75MG TAB,CARDIOVASCULAR,PRESCRIPTION,3789.72,798.0,9.0
2023,4800369000545,TERRAFERON (FERROUS SULFATE + FOLIC ACID + B-COMPLEX + NICOTINAMIDE) CAP,VITAMINS,OTC,8741.59,1133.0,5.0
2023,4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,VITAMINS,OTC,10337.12,772.0,10.0
2023,4806523301312,AXMEL (AMOXICILLIN TRIHYDRATE) 500MG CAP,ANTIBIOTICS,GENERICS,2813.94,878.0,8.0
2023,4806524781854,NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,ANTIBIOTICS,PRESCRIPTION,40312.0,2483.0,3.0
2023,4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,12587.83,2982.0,2.0
2023,4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,60301.32,973.0,6.0
2023,54021235,GLOBISAPH (KETOANALOGUE) 630MG TAB,GUT AND HORMONES,PRESCRIPTION,26505.0,1730.0,4.0
2023,8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,CARDIOVASCULAR,GENERICS,8286.56,3510.0,1.0
2023,8904182011286,MEDPIN-5 TAB,CARDIOVASCULAR,GENERICS,1780.0,937.0,7.0
2024,0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,151106.93,3030.0,3.0
2024,4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,VITAMINS,OTC,27380.3,1867.0,6.0
2024,4806527192022,BETTER C (ASCORBIC ACID ) 500MG TAB,VITAMINS,GENERICS,4052.5,2001.0,5.0
2024,4806533602355,RETAVASC- 5 (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,2741.03,1644.0,7.0
2024,4806533602379,RETASAR (LOSARTAN POTASSIUM) 50MG,CARDIOVASCULAR,PRESCRIPTION,12548.75,5211.0,1.0
2024,4807788402202,GLUMET (METFORMIN HCI) 500MG TAB,ANTIDIABETICS,PRESCRIPTION,12848.48,1226.0,10.0
2024,4807788416537,AMVASC BE (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,PRESCRIPTION,30944.199999999997,1368.0,8.0
2024,4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,13901.07,3281.0,2.0
2024,4807788562593,IMMUNPRO 500MG TAB,VITAMINS,OTC,11319.0,1358.0,9.0
2024,8904130424502,RETANIX (CETIRIZINE) 10MG TAB,RESPIRATORY,GENERICS,5478.4,2052.0,4.0
