item_code,description,category,tab,total_sales,total_qty
98057740,VAXIRAB 2.5 IU 1ML,COLD CHAIN,PRESCRIPTION,92664.0,51.0
77965633,HOSPITAL BED 2-CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,83850.0,5.0
0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,43414.45,887.0
4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,38775.27,621.0
4800308100473,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,38634.6,105.0
99875334642,OXYGEN TANK 15LBS,ASSISTIVE DEVICE,MED-SURG,37250.85,5.0
33835549,RECLINING WHEELCHAIR WITH COMMODE,ASSISTIVE DEVICE,MED-SURG,32659.2,3.0
77939425,HOSPITAL BED 3 CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,30400.0,1.0
230231506,BAXTEL BP APP W/ STETHOSCOPE,MANUAL MEDICAL DEVICES,MED-SURG,28944.0,11.0
4806524781854,NEPHROMIN TAB,ANTIBIOTICS,PRESCRIPTION,22412.0,1386.0
