month,item_code,description,category,tab,total_sales,total_qty,rank_sales
2023-01,21904530,COMMODE CHAIR WITH WHEELS,ASSISTIVE DEVICE,MED-SURG,5914.26,2.0,9.0
2023-01,33835549,RECLINING WHEELCHAIR WITH COMMODE,ASSISTIVE DEVICE,MED-SURG,10080.0,1.0,3.0
2023-01,4300010002,PROHEALTH PULSE OXIMETER,ELECTRONIC MEDICAL DEVICES,MED-SURG,7812.49,7.0,5.0
2023-01,4300010005,WHEELCHAIR BLACK ECONO,ASSISTIVE DEVICE,MED-SURG,6796.84,2.0,7.0
2023-01,4806524781854,NEPHROMIN TAB,ANTIBIOTICS,PRESCRIPTION,9360.0,576.0,4.0
2023-01,4807788535719,ZEGEN 500MG TAB,GUT AND HORMONES,GENERICS,6240.02,82.0,8.0
2023-01,4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,11449.92,189.0,2.0
2023-01,77965633,HOSPITAL BED 2-CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,15600.0,1.0,1.0
2023-01,9556111408088,LYSOL CRISP LINEN 510G,HOUSEHOLD CHEMICALS,HOUSEHOLD GOODS,5700.0,10.0,10.0
2023-01,99875334642,OXYGEN TANK 15LBS,ASSISTIVE DEVICE,MED-SURG,6799.97,1.0,6.0
2023-02,230231506,BAXTEL BP APP W/ STETHOSCOPE,MANUAL MEDICAL DEVICES,MED-SURG,7344.0,3.0,8.0
2023-02,27013983251,WHEELCHAIR STANDARD CHROMED,ASSISTIVE DEVICE,MED-SURG,5367.5,1.0,10.0
2023-02,4800067564363,MEDIPLAST FIRST AID KIT,WOUND CARE,MED-SURG,8740.0,20.0,6.0
2023-02,4800234406465,FORXIGA (DAPAGLIFLOZIN) 10MG,ANTIDIABETICS,PRESCRIPTION,5552.400000000001,160.0,9.0
2023-02,4806031903398,PHAREX VITAMIN (VITAMIN B1+B6+B12) 17+3 TAB NS,PROMO PACKS,PROMOTIONS,8019.75,135.0,7.0
2023-02,4806524781854,NEPHROMIN TAB,ANTIBIOTICS,PRESCRIPTION,13052.0,810.0,5.0
2023-02,4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,14246.4,228.0,4.0
2023-02,77939425,HOSPITAL BED 3 CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,30400.0,1.0,2.0
2023-02,77965633,HOSPITAL BED 2-CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,52650.0,3.0,1.0
2023-02,99875334642,OXYGEN TANK 15LBS,ASSISTIVE DEVICE,MED-SURG,25074.879999999997,3.0,3.0
2024-01,0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,31537.25,626.0,2.0
2024-01,230231506,BAXTEL BP APP W/ STETHOSCOPE,MANUAL MEDICAL DEVICES,MED-SURG,16200.0,6.0,4.0
2024-01,33835549,RECLINING WHEELCHAIR WITH COMMODE,ASSISTIVE DEVICE,MED-SURG,10035.2,1.0,10.0
2024-01,4800308100473,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,17480.0,46.0,3.0
2024-01,4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,13078.95,204.0,7.0
2024-01,70537970,EPORIFE ( EPOETIN ALFA ) 400IU/ML SOLUTION,GUT AND HORMONES,PRESCRIPTION,11440.0,26.0,9.0
2024-01,77965633,HOSPITAL BED 2-CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,15600.0,1.0,6.0
2024-01,8906000526699,CEFUPLUS (CEFUROXIME AXETIL) 500MG TAB,ANTIBIOTICS,GENERICS,12580.0,185.0,8.0
2024-01,90934341121,ISOLATION GOWN,PERSONAL PROTECTIVE EQUIPMENT,MED-SURG,16000.0,64.0,5.0
2024-01,98057740,VAXIRAB 2.5 IU 1ML,COLD CHAIN,PRESCRIPTION,92664.0,51.0,1.0
2025-02,0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,11877.2,261.0,3.0
2025-02,33835549,RECLINING WHEELCHAIR WITH COMMODE,ASSISTIVE DEVICE,MED-SURG,12544.0,1.0,2.0
2025-02,4800286242646,DUPHASTON(DYDROGESTERONE) 10MG TAB,GUT AND HORMONES,PRESCRIPTION,6766.2,76.0,8.0
2025-02,4800307101044,KLARYTH 250MG/5ML SUSP 70ML,ANTIBIOTICS,PRESCRIPTION,8608.5,6.0,5.0
2025-02,4800308100473,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,21154.6,59.0,1.0
2025-02,4800308556003,AZEMAX (AZITHROMYCIN) 200MG/5ML 22.5ML SUSP,ANTIBIOTICS,PRESCRIPTION,7104.0,15.0,7.0
2025-02,4800348114515,BREZU (PROCATEROL) 5MCG/ML 60ML SYR,RESPIRATORY,PRESCRIPTION,6266.0,26.0,10.0
2025-02,4806504269808,APPEVIT 120ML SYR,VITAMINS,OTC,10862.5,32.0,4.0
2025-02,4806511301393,TOCOVID VANILLA POWDER DRINK 850G,ADULT MILK,F&B,6615.0,5.0,9.0
2025-02,80722472,MEDICORE INHALER SPACER,MANUAL MEDICAL DEVICES,MED-SURG,7280.0,13.0,6.0
