year,item_code,description,category,tab,total_sales,total_qty,rank_sales
2022,27013983251,WHEELCHAIR SUREGUARD,ASSISTIVE DEVICE,MED-SURG,34061.4,7.0,5.0
2022,33835549,RECLINING WHEELCHAIR WITH COMMODE,ASSISTIVE DEVICE,MED-SURG,31314.14,4.0,7.0
2022,4300010005,WHEELCHAIR BLACK ECONO,ASSISTIVE DEVICE,MED-SURG,59106.63,15.0,1.0
2022,4806504653164,RENAKULT CAP(PROBIOTIC,VITAMINS,OTC,48120.57,1853.0,2.0
2022,4806504653348,CORVELAM 800MG (SEVELAMER CARBONATE) TAB,GUT AND HORMONES,PRESCRIPTION,36898.5,1082.0,4.0
2022,4806524781854,NEPHORMIN TAB,ANTIBIOTICS,PRESCRIPTION,26733.12,1412.0,10.0
2022,745110103516,ALCOSURE ISOPROPYL ALC 70% 3.7L,DISINFECTANT,HOUSEHOLD GOODS,44670.5,117.0,3.0
2022,77939425,HOSPITAL BED 3 CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,27142.74,1.0,9.0
2022,77965633,HOSPITAL BED 2-CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,27857.02,2.0,8.0
2022,8902269016674,ALCLAV 625MG TAB,ANTIBIOTICS,PRESCRIPTION,31861.07,1192.0,6.0
2023,0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,51671.6,1026.0,8.0
2023,4300010005,WHEELCHAIR BLACK ECONO,ASSISTIVE DEVICE,MED-SURG,57753.97,15.0,5.0
2023,4800308100473,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,48511.5,129.0,10.0
2023,4800488070283,CARESS ADULT DIAPER XL10,DIAPERS,PERSONAL CARE,55813.26,178.0,7.0
2023,4806504653348,CORVELAM 800MG (SEVELAMER CARBONATE) TAB,GUT AND HORMONES,PRESCRIPTION,51476.0,1490.0,9.0
2023,4806524781854,NEPHORMIN TAB,ANTIBIOTICS,PRESCRIPTION,56120.0,3456.0,6.0
2023,4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,171520.02,2685.0,3.0
2023,77965633,HOSPITAL BED 2-CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,219514.04,14.0,2.0
2023,98057740,VAXIRAB 2.5 IU 1ML,COLD CHAIN,PRESCRIPTION,456528.0,251.0,1.0
2023,99875334642,OXYGEN TANK 15LBS,ASSISTIVE DEVICE,MED-SURG,59133.28,10.0,4.0
2024,0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,238138.47,4797.0,2.0
2024,31489881,ELECTRIC WHEELCHAIR,ASSISTIVE DEVICE,MED-SURG,68000.0,1.0,8.0
2024,4800307101044,KLARYTH 250MG/5ML SUSP 70ML,ANTIBIOTICS,PRESCRIPTION,82223.55,68.0,6.0
2024,4800308100473,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,141189.0,376.0,3.0
2024,4806504269808,APPEVIT 120ML SYR,VITAMINS,OTC,64625.0,188.0,9.0
2024,4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,92428.95,1422.0,5.0
2024,70537970,EPORIFE ( EPOETIN ALFA ) 400IU/ML SOLUTION,GUT AND HORMONES,PRESCRIPTION,76967.0,171.0,7.0
2024,77965633,HOSPITAL BED 2-CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,97500.0,6.0,4.0
2024,8906000526699,CEFUPLUS (CEFUROXIME AXETIL) 500MG TAB,ANTIBIOTICS,GENERICS,63294.4,943.0,10.0
2024,98057740,VAXIRAB 2.5 IU 1ML,COLD CHAIN,PRESCRIPTION,623536.0,345.0,1.0
2025,0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,44077.2,961.0,2.0
2025,4800286242646,DUPHASTON(DYDROGESTERONE) 10MG TAB,GUT AND HORMONES,PRESCRIPTION,20191.2,226.0,8.0
2025,4800307101044,KLARYTH 250MG/5ML SUSP 70ML,ANTIBIOTICS,PRESCRIPTION,44477.25,31.0,1.0
2025,4800308100473,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,41948.2,117.0,3.0
2025,4806504260614,APPEVIT CAP,VITAMINS,OTC,18576.0,1246.0,9.0
2025,4806504269808,APPEVIT 120ML SYR,VITAMINS,OTC,28737.5,84.0,5.0
2025,4806511301393,TOCOVID VANILLA POWDER DRINK 850G,ADULT MILK,F&B,18225.0,15.0,10.0
2025,725765883124,PROPOLIS 600MG CAP,FOOD SUPPLEMENTS,OTC,32919.9,495.0,4.0
2025,77939425,HOSPITAL BED 3 CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,28000.0,1.0,6.0
2025,80722472,MEDICORE INHALER SPACER,MANUAL MEDICAL DEVICES,MED-SURG,25200.0,45.0,7.0
