anchor,complement,lift,confidence_pct,support_pct,pair_tx
LAMPEIN JUMBO PACK L 54S,LAMPEIN JUMBO PACK XL 48s,1085.8271604938273,88.89,0.07,8
LAMPEIN JUMBO PACK XL 48s,LAMPEIN JUMBO PACK L 54S,1085.8271604938273,88.89,0.07,8
PARTNERS BLOOD GLUCOMETER CBPC-73,PARTNERS GLUCOSE STRIPS 25&#039;S CBPC-73,525.4485294117646,76.47,0.12,13
PARTNERS GLUCOSE STRIPS 25&#039;S CBPC-73,PARTNERS BLOOD GLUCOMETER CBPC-73,525.4485294117646,81.25,0.12,13
GLIMESYN (GLIMEPIRIDE) 2MG TAB,GLUMET XR 500MG (METFORMIN HCI) TAB,314.11428571428576,57.14,0.11,12
GLUMET XR 500MG (METFORMIN HCI) TAB,GLIMESYN (GLIMEPIRIDE) 2MG TAB,314.11428571428576,60.0,0.11,12
GLOMED STERILE POWDER FREE GLOVES 6.5,ISOLATION GOWN,242.51470588235293,37.5,0.05,6
ISOLATION GOWN,GLOMED STERILE POWDER FREE GLOVES 6.5,242.51470588235293,35.29,0.05,6
FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,HAIROS (SPIRONOLACTONE) 25MG TAB,227.14876033057845,45.45,0.09,10
FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,SAPHRIN (ASPIRIN) 80MG TAB,121.88470066518846,45.45,0.09,10
FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,KARVIDOL (CARVEDILOL) 25MG TAB,109.94,50.0,0.1,11
FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,98.16071428571429,50.0,0.1,11
FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,CALIPTROL (ATORVASTATIN) 40MG,67.92409532215356,63.64,0.13,14
HAIROS (SPIRONOLACTONE) 25MG TAB,FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,227.14876033057845,45.45,0.09,10
HAIROS (SPIRONOLACTONE) 25MG TAB,SAPHRIN (ASPIRIN) 80MG TAB,121.88470066518846,45.45,0.09,10
HAIROS (SPIRONOLACTONE) 25MG TAB,KARVIDOL (CARVEDILOL) 25MG TAB,99.94545454545454,45.45,0.09,10
HAIROS (SPIRONOLACTONE) 25MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,89.23701298701299,45.45,0.09,10
