item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
18904173220243,CLOBETASOL (CLOVATE) 15G CREAM,DERMATOLOGICALS,OTC,5.0,570.0,2.0,114.0,2.5,0.6,-3.0,1
18904173220731,CLOBIMED (CLOBETASOL PROPIONATE) 0.5MG/G OINTMENT 15G,DERMATOLOGICALS,PRESCRIPTION,10.0,464.96000000000004,3.0,46.496,3.3333333333333335,0.9899494936611665,3.4999999999999987,0
1900010022,DERMOTRIM (CLOTRIMAZOLE) 10MG/G CREAM,DERMATOLOGICALS,PRESCRIPTION,5.0,420.0,4.0,84.0,1.25,0.34641016151377546,0.3,0
1900010157,MAZINE (SILVER SULFADIAZINE) CREAM,DERMATOLOGICALS,GENERICS,7.0,1190.0,6.0,170.0,1.1666666666666667,0.31943828249996986,-0.08571428571428566,0
4800011110004,BIODERM OINTMENT 5G,DERMATOLOGICALS,OTC,8.0,249.0,6.0,31.125,1.3333333333333333,0.3535533905932738,-0.0571428571428572,0
4800011110004,BIODERM OINTMENT 5G FLIPTOP,DERMATOLOGICALS,OTC,17.0,382.5,9.0,22.5,1.8888888888888888,0.39019115180651764,0.03333333333333336,0
4800011110011,BIODERM OINTMENT 15G TUBE,DERMATOLOGICALS,OTC,23.0,793.5,11.0,34.5,2.090909090909091,0.6901959941907628,0.16363636363636366,0
4800011110028,BIODERM OINTMENT 5G TUBE,DERMATOLOGICALS,OTC,21.0,493.5,12.0,23.5,1.75,0.4123930494211613,0.10139860139860145,0
4800304520091,TERRAMYCIN SKIN PLUS OINTMENT 3.5G,DERMATOLOGICALS,OTC,8.0,1970.75,8.0,246.34375,1.0,0.0,1.0992982082905543e-17,0
4800304910014,TROSYD CREAM (TIOCONAZOLE) 3.5G,DERMATOLOGICALS,PRESCRIPTION,3.0,491.75,3.0,163.91666666666666,1.0,0.0,8.985767264226737e-17,0
4800304910014,TROSYD CREAM 3.5G,DERMATOLOGICALS,PRESCRIPTION,17.0,2782.75,12.0,163.69117647058823,1.4166666666666667,0.4518321028158004,0.09440559440559437,0
4800304910021,TROSYD CREAM (TIOCONAZOLE) 5G,DERMATOLOGICALS,PRESCRIPTION,7.0,1633.75,6.0,233.39285714285714,1.1666666666666667,0.31943828249996986,-0.08571428571428566,0
4800304910021,TROSYD CREAM 5G,DERMATOLOGICALS,PRESCRIPTION,15.0,3499.0,9.0,233.26666666666668,1.6666666666666667,0.4898979485566356,-0.13333333333333336,0
4800318000275,DRAPOLENE CREAM 55G,DERMATOLOGICALS,PRESCRIPTION,6.0,2111.0299999999997,5.0,351.8383333333333,1.2,0.33333333333333337,0.09999999999999981,0
4800318150024,BACTROBAN (MUPIROCIN) OINTMENT 5G,DERMATOLOGICALS,OTC,14.0,5262.85,7.0,375.91785714285714,2.0,0.5976143046671968,0.14285714285714282,0
4800318150024,BACTROBAN OINTMENT 5G,DERMATOLOGICALS,OTC,6.0,2244.29,2.0,374.04833333333335,3.0,0.0,-3.14018491736755e-16,0
4800333160282,BETNOVATE CREAM 5G,DERMATOLOGICALS,PRESCRIPTION,5.0,1843.5,5.0,368.7,1.0,0.0,-1.0507920739455759e-16,0
4800333160329,BETNOVATE (BETAMETHASONE VALERATE) 1MG/G 5G OINTMENT,DERMATOLOGICALS,PRESCRIPTION,3.0,1082.25,2.0,360.75,1.5,0.3333333333333333,0.9999999999999998,0
4800333160824,DERMOVATE (CLOBETASOL PROPIONATE) 5G CREAM,DERMATOLOGICALS,PRESCRIPTION,14.0,4975.75,12.0,355.4107142857143,1.1666666666666667,0.3194382824999699,0.02797202797202799,0
4800333160824,DERMOVATE CREAM 5G,DERMATOLOGICALS,PRESCRIPTION,1.0,349.0,1.0,349.0,1.0,0.0,0.0,0
4800333160848,DERMOVATE CREAM 5G,DERMATOLOGICALS,PRESCRIPTION,3.0,1042.0,3.0,347.3333333333333,1.0,0.0,8.985767264226737e-17,0
4800333900666,BACTROBAN (MUPIROCIN) OINT 5G,DERMATOLOGICALS,OTC,17.0,6711.3,6.0,394.7823529411765,2.8333333333333335,0.6253026948667441,0.5999999999999998,0
4800346000018,DAKTARIN CREAM 5G,DERMATOLOGICALS,OTC,2.0,758.0,3.0,379.0,0.6666666666666666,0.7071067811865476,-1.2297908031807458e-16,0
4800346000148,NIZORAL CREAM 5G,DERMATOLOGICALS,OTC,6.0,1422.0,6.0,237.0,1.0,0.0,7.951207131982424e-18,0
4800346000155,NIZORAL (KETOCONAZOLE) 3.5 G CREAM,DERMATOLOGICALS,OTC,1.0,154.25,1.0,154.25,1.0,0.0,0.0,0
4800346000155,NIZORAL CREAM 3.5 G,DERMATOLOGICALS,OTC,6.0,999.0,6.0,166.5,1.0,0.0,7.951207131982424e-18,0
4800346002074,DAKTARIN ORAL GEL (MICONASOLE NITRATE) 3.5g,DERMATOLOGICALS,OTC,6.0,1752.0,5.0,292.0,1.2,0.33333333333333337,0.09999999999999981,0
4800346002074,DAKTARIN ORAL GEL 3.5g,DERMATOLOGICALS,OTC,24.0,6949.6,15.0,289.56666666666666,1.6,0.5496210815947048,0.02857142857142858,0
4801962202763,CANESTEN (CLOTRIMAZOLE) 3G CREAM,DERMATOLOGICALS,OTC,5.0,608.5,4.0,121.7,1.25,0.34641016151377546,0.10000000000000009,0
4801962202763,CANESTEN 3G CREAM,DERMATOLOGICALS,OTC,26.0,3377.0,16.0,129.8846153846154,1.625,0.5273580461846957,-0.03823529411764705,0
4801962202770,CANESTEN (CLOTRIMAZOLE) 5G,DERMATOLOGICALS,OTC,14.0,2588.8,8.0,184.91428571428574,1.75,0.7423074889580903,-0.07142857142857145,0
4801962202770,CANESTEN (CLOTRIMAZOLE) 5G CREAM,DERMATOLOGICALS,OTC,15.0,3122.8,8.0,208.18666666666667,1.875,0.4944132324730442,-0.13095238095238104,0
4801962202770,CANESTEN 5G,DERMATOLOGICALS,OTC,8.0,1576.0,7.0,197.0,1.1428571428571428,0.30618621784789735,-0.1071428571428571,0
4801962207645,CANESTEN (CLOTIMAZOLE) 100MG VAG TAB,DERMATOLOGICALS,OTC,1.0,111.0,1.0,111.0,1.0,0.0,0.0,0
4801962439138,CANESTEN (CLOTRIMAZOLE) 10G CREAM,DERMATOLOGICALS,OTC,6.0,2291.0,3.0,381.8333333333333,2.0,0.408248290463863,0.9999999999999998,0
4801962612159,ELICA CREAM (MOMETASONE FUROATE) 5G,DERMATOLOGICALS,PRESCRIPTION,3.0,1409.4,3.0,469.8,1.0,0.0,8.985767264226737e-17,0
4801962612159,ELICA CREAM 5G,DERMATOLOGICALS,PRESCRIPTION,8.0,3594.4,6.0,449.3,1.3333333333333333,0.3535533905932738,0.11428571428571427,0
4806505751395,CALMODIN (ZINC OXIDE/CALAMINE) 160MG/50MG 10G CREAM,DERMATOLOGICALS,PRESCRIPTION,20.0,3018.4,10.0,150.92000000000002,2.0,1.0488088481701516,0.4606060606060605,0
4806511300273,HOVICOR (HYDROCORTISONE) CREAM 15G,DERMATOLOGICALS,PRESCRIPTION,23.0,5062.5,13.0,220.1086956521739,1.7692307692307692,0.5499613322031964,0.08791208791208795,0
4806512120023,FOSKINA 2% W/W (2G/100G) TOPICAL OINTMENT 15G,DERMATOLOGICALS,PRESCRIPTION,4.0,2847.0,3.0,711.75,1.3333333333333333,0.3535533905932738,1.0813965140346581e-17,0
4806512120054,FOSKINA 2% W/W (2G/100G) TOPICAL OINTMENT,DERMATOLOGICALS,PRESCRIPTION,7.0,2029.8,4.0,289.9714285714286,1.75,0.47380354147934284,0.29999999999999977,0
4806512120054,FOSKINA 2% W/W (2G/100G) TOPICAL OINTMENT 5G,DERMATOLOGICALS,PRESCRIPTION,10.0,2893.24,6.0,289.32399999999996,1.6666666666666667,0.447213595499958,-0.4,0
4806512120160,#EXP2024-12-30,DERMATOLOGICALS,PRESCRIPTION,3.0,1426.6,2.0,475.5333333333333,1.5,0.3333333333333333,0.9999999999999998,0
4806512120160,#EXP2025-04-30,DERMATOLOGICALS,PRESCRIPTION,3.0,1426.6,2.0,475.5333333333333,1.5,0.3333333333333333,-1.0,0
4806512120160,CANDIBEC 10MG/G/250MCG2G CREAM,DERMATOLOGICALS,PRESCRIPTION,22.0,10903.3,13.0,495.6045454545454,1.6923076923076923,0.5378254348272378,0.005494505494505526,0
4806512120184,CANDIVA (CLOTRIMAZOLE) 10MG/G (1%W/W) CREAM,DERMATOLOGICALS,OTC,5.0,932.5,3.0,186.5,1.6666666666666667,0.282842712474619,-0.4999999999999999,0
4806512120184,CANDIVA 10MG/G (1%W/W) CREAM,DERMATOLOGICALS,OTC,30.0,5595.0,15.0,186.5,2.0,0.5773502691896257,0.11071428571428568,0
4806512120535,FOSKINA B (MUPIROCIN+BETAMETHASONE) 20MG/500MCG 5G,DERMATOLOGICALS,PRESCRIPTION,9.0,4560.75,7.0,506.75,1.2857142857142858,0.5443310539518174,-0.07142857142857141,0
4806512120535,FOSKINA B 20MG/500MCG 5G,DERMATOLOGICALS,PRESCRIPTION,1.0,580.0,1.0,580.0,1.0,0.0,0.0,0
4806518550145,FUNGISOL (BENZOIC ACID + SALICYLIC ACID) 4ML,DERMATOLOGICALS,OTC,2.0,316.0,2.0,158.0,1.0,0.0,-7.850462293418875e-17,0
4806518550145,FUNGISOL 4ML,DERMATOLOGICALS,OTC,9.0,1390.4,6.0,154.4888888888889,1.5,0.3333333333333333,0.028571428571428418,0
4806518611792,SOFINOX (SODIUM FUSIDATE) 20MG/G 5G,DERMATOLOGICALS,PRESCRIPTION,1.0,297.0,1.0,297.0,1.0,0.0,0.0,0
4806518611792,SOFINOX (SODIUM FUSIDATE) 20MG/G 5G CREAM,DERMATOLOGICALS,PRESCRIPTION,17.0,5235.6,8.0,307.9764705882353,2.125,0.548669356064048,-0.22619047619047614,0
4806518660936,FLAMMAZINE (SILVER SULFADIAZINE) CREAM 5G,DERMATOLOGICALS,PRESCRIPTION,2.0,633.0,2.0,316.5,1.0,0.0,-7.850462293418875e-17,0
4806518660936,FLAMMAZINE CREAM 5G,DERMATOLOGICALS,PRESCRIPTION,6.0,1899.0,6.0,316.5,1.0,0.0,7.951207131982424e-18,0
4806519386057,VALERI (BETAMETHASONE) 1MG/G (0.1%W/W) TOPICAL CREAM,DERMATOLOGICALS,PRESCRIPTION,10.0,940.5,8.0,94.05,1.25,0.5291502622129182,0.1666666666666666,0
4806519590072,MUPIDERM (MUPIROCIN) 2% OINT 5G,DERMATOLOGICALS,GENERICS,6.0,828.75,2.0,138.125,3.0,0.6666666666666666,-3.9999999999999996,1
4806521902856,BAROZIN (MUPIROCIN) 5G,DERMATOLOGICALS,OTC,18.0,2762.5,7.0,153.47222222222223,2.5714285714285716,0.97182531580755,-1.0,0
4806524780192,FUNGINIL-K (KETOCONAZOLE) 20MG/G 15G,DERMATOLOGICALS,GENERICS,4.0,354.86,2.0,88.715,2.0,0.5,1.9999999999999996,0
4806533600655,K-ZOL (KETOCONAZOLE) 20MG/G CREAM 5G,DERMATOLOGICALS,GENERICS,8.0,880.0,4.0,110.0,2.0,0.6123724356957945,0.8,0
4806533600924,MIKA 20MG/G (MICONAZOLE) CREAM,DERMATOLOGICALS,OTC,1.0,312.5,1.0,312.5,1.0,0.0,0.0,0
4806533601495,KURT 10MG/G(1%W/W) TOPICAL CREAM,DERMATOLOGICALS,PRESCRIPTION,5.0,823.2,2.0,164.64000000000001,2.5,0.6,2.999999999999999,0
4806533601525,SILDIAZ (SILVER SULFADIAZINE) 10MG/G 1% 20G,DERMATOLOGICALS,GENERICS,52.0,6012.0,13.0,115.61538461538461,4.0,1.8963527747109308,-0.9835164835164841,0
4806533601525,SILDIAZ 10MG/G 1% 20G,DERMATOLOGICALS,GENERICS,3.0,468.0,2.0,156.0,1.5,0.3333333333333333,0.9999999999999998,0
4806533601587,MUPIROW (MUPIROCIN) 20MG/G OINTMENT 5G,DERMATOLOGICALS,OTC,37.0,5726.96,5.0,154.7827027027027,7.4,0.5240734980990626,-1.6000000000000005,0
4806533602218,KETSOKANT (KETOKONAZOLE) 20MG/G 15G CREAM,DERMATOLOGICALS,GENERICS,5.0,361.72999999999996,4.0,72.34599999999999,1.25,0.34641016151377546,-0.30000000000000016,0
