item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
29314057013407,VALDA PASTILLES MENTHOL ZIP POUCH 20G,HOME REMEDY,PERSONAL CARE,57.0,3220.5,11.0,56.5,5.181818181818182,0.6147865076468502,-0.22727272727272738,1
32753762597,KATINKO BALM 10G,HOME REMEDY,OTC,9.0,285.75,7.0,31.75,1.2857142857142858,0.35136418446315326,0.07142857142857148,1
4800011736013,OMEGA PAIN KILLER 15ML,HOME REMEDY,OTC,53.0,1113.0,29.0,21.0,1.8275862068965518,0.6901638172895049,-0.04975369458128073,1
4800011736020,OMEGA PAIN KILLER (METHYL SALICYLATE + CAMPHOR + MENTHOL) 30ML,HOME REMEDY,OTC,5.0,173.0,5.0,34.6,1.0,0.0,-1.0507920739455759e-16,1
4800011736020,OMEGA PAIN KILLER 30ML,HOME REMEDY,OTC,49.0,1682.5,25.0,34.33673469387755,1.96,0.6369178177276423,0.012307692307692313,1
4800011736037,OMEGA PAIN KILLER 60ML,HOME REMEDY,OTC,48.0,3100.75,25.0,64.59895833333333,1.92,0.6059599821770412,-0.03692307692307695,1
4800011736044,OMEGA PAIN KILLER (METHYL SALICYLATE + CAMPHOR + MENTHOL) 120ML,HOME REMEDY,OTC,6.0,693.0,6.0,115.5,1.0,0.0,7.951207131982424e-18,1
4800011736044,OMEGA PAIN KILLER 120ML,HOME REMEDY,OTC,20.0,2289.0,14.0,114.45,1.4285714285714286,0.43588989435406733,0.05714285714285708,1
4800346000209,ANTIOX (MEBENDAZOLE) 20MG/ML SUSP 30ML,HOME REMEDY,OTC,18.0,8235.0,9.0,457.5,2.0,0.6236095644623235,1.3266277840460404e-16,2
4800346002845,ANTIOX(MEBENDAZOLE) 500MG,HOME REMEDY,OTC,30.0,3190.0,12.0,106.33333333333333,2.5,0.5773502691896258,-0.25174825174825183,1
4806501283111,WHITE FLOWER1 20ML,HOME REMEDY,OTC,4.0,1313.0,4.0,328.25,1.0,0.0,-8.214889951798643e-17,2
4806501283128,WHITE FLOWER2 10ML,HOME REMEDY,OTC,9.0,1548.0,8.0,172.0,1.125,0.2939723678960656,-0.03571428571428577,1
4806501283135,WHITE FLOWER C#3 5ML,HOME REMEDY,OTC,135.0,12880.9,32.0,95.41407407407407,4.21875,0.6319781906604908,0.07349706744868037,1
4806501283142,WHITE FLOWER C#4 2.5ML,HOME REMEDY,OTC,189.0,10214.6,34.0,54.045502645502644,5.5588235294117645,0.6249884520643081,-0.0019862490450724933,1
4957584005715,TEMPRA COOL TOUCH FOR BABIES,HOME REMEDY,PERSONAL CARE,4.0,202.0,2.0,50.5,2.0,0.5,1.9999999999999996,3
4987072005538,KOOL FEVER KIDS 2,HOME REMEDY,PERSONAL CARE,107.0,5779.25,24.0,54.01168224299065,4.458333333333333,0.6882338427762491,-0.03608695652173918,1
4987072005538,KOOL FEVER KIDS 2&#039;S,HOME REMEDY,PERSONAL CARE,138.0,7490.75,30.0,54.280797101449274,4.6,0.8067922121574945,0.14371523915461618,1
