Description,total_qty,nz,n,coverage
RETASAR (LOSARTAN POTASSIUM) 50MG,11229.0,14,14,1.0
BIOGESIC (PARACETAMOL) 500MG TAB,10628.0,33,35,0.9428571428571428
APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,7580.0,25,25,1.0
NOVASARTAN (LOSARTAN K) 50MG FC TAB,7234.0,10,10,1.0
OHHIRA&#039;S RED OMX PROBIOTICS CAP,6784.0,17,17,1.0
BIOGESIC 500MG TAB,6417.0,24,35,0.6857142857142857
IMMUNPRO 500MG TAB,6210.0,35,35,1.0
OHHIRAs PROPOLIS 600MG CAP,4140.0,24,25,0.96
RETANIX (CETIRIZINE) 10MG TAB,4061.0,12,17,0.7058823529411765
RETAVASC- 5 (AMLODIPINE) 5MG TAB,3884.0,15,16,0.9375
