item_code,cluster_l1,cluster_l2,cluster_combined,description
1000200029,6,0,6,CALMSAPH (ALUM. MAG. HYDROXIDE) 200MG/100MG CHEWABLE TAB
1000200057,9,0,9,INFAMIX (MEFENAMIC ACID) 50MG 60ML SUSP
1000200064,7,0,7,PLURADEC ( GUAIFENESIN 100MG + PPA 6.6MG + CPM) 2MG PER 5ML 120ML
11364946142,4,0,4,OR CAP
11593277501,9,0,9,NGT FR8
12165633962,2,0,2,BETADINE WOUND 7.5ML
12750115947,7,0,7,KIDNEY BASIN PLASTIC
13330569,9,0,9,ANNIV DISC SDS2YO
14981866658,9,0,9,OXYGEN CANNULA ADULT
15291549203,7,0,7,FOLEY CATH 16
18669180074,9,0,9,SYRINGE 10CC
18904173220731,7,0,7,CLOBIMED (CLOBETASOL PROPIONATE) 0.5MG/G OINTMENT 15G
2000640000932,2,0,2,GATORADE BLUE BOLT 1.5L
20408794,9,0,9,ELASTIC BANDAGE 2X5
21046605,2,0,2,SAPHCORBIC-100 (ASCORBIC ACID) 120ML
21958939,6,0,6,SENOKOT (CALCIUM SENNOSIDES) 8.77MG TAB
23554917,5,0,5,SANITARY BALM (CAMPHOR+MENTHOL) 10G
25802609256,7,0,7,URINE BAG 1L W/O HOOK
27719626,0,0,0,YAKULT 80ML
29682409253,7,0,7,ELASTIC BANDAGE 4x5
32753762597,9,0,9,KATINKO BALM 10G
34135711937,4,0,4,STOMACH TUBE NGT FR16
34335010350,7,0,7,FOLEY CATH 14
37321667384,0,0,0,EFFICASCENT OIL REG 25ML
37474317,6,0,6,SOUTH MOON FABRIC BANDAGES 5X4.5CM
39851079,5,0,5,NEBULIZER KIT
4005808301843,3,0,3,NIVEA COOL KICK 50ML SINGLE
4005808324774,3,0,3,NIVEA INTENSIVE MOISTURE BODY MILK 125ML LOTION
41737620,0,0,0,C2 SOLO APPLE 230ML
42074398686,2,0,2,OXYGEN MASK PEDIA
42300052,2,0,2,NIVEA EXTRA WHITE SERUM ROLL ON 20ML
44042546863,7,0,7,PARTNERS GAUZE ROLL
4800003439540,2,0,2,ESKINOL CLASSIC GLOW 75ML
4800003439557,2,0,2,ESKINOL CLASSIC W/ GRAINS 225L
4800003492576,5,0,5,DR. KAUFMANN IR SULFUR WHITE 80G
4800010064360,4,0,4,HELLO VANILLA
4800010075069,0,0,0,CREAM-O VANILLA
4800010075526,1,0,1,CREAM-O VANILLA
4800011000022,0,0,0,MAMA&#039;S LOVE COTTON BUDS 100 TIPS
4800011000053,8,0,8,MAMA&#039;S LOVE COTTON BUDS 400 TIPS
4800011010007,8,0,8,MAMA&#039;S LOVE COTTON BUDS 200s CAN
4800011101033,5,0,5,ACEITE DE ALCAMFORADO (IPI) 50ML
4800011110004,5,0,5,BIODERM OINTMENT 5G
4800011110011,0,0,0,BIODERM OINTMENT 15G TUBE
4800011110028,0,0,0,BIODERM OINTMENT 5G TUBE
4800011111162,5,0,5,BIODERM SOAP TIMELESS BEIGE 135G
4800011120614,5,0,5,CASINO ALC ACTIVE150ML
4800011120621,5,0,5,CASINO ALC ACTIVE 250ML
4800011121529,5,0,5,CASINO 250ML
4800011121550,5,0,5,CASINO FEMME 250ML
4800011122212,5,0,5,CASINO ALC FEMME W/DUAL MOIST 150ML
4800011122236,5,0,5,CASINO ALC FEMME W/DUAL MOIST 500ML
4800011133331,2,0,2,EFFICASCENT OIL REG 50ML
4800011133348,3,0,3,EFFICASCENT OIL REG 100ML
4800011145303,5,0,5,OMEGA ADVANCE SPRAY 50ML
4800011147734,9,0,9,HYDROGEN PEROXIDE VOL 10 3% 50ML
4800011147741,8,0,8,IPI HYDROGEN PEROXIDE VOL 10 3% 120ML
4800011155630,1,0,1,ML ABS COTTON BALLS 50&#039;S
4800011159041,5,0,5,IPI (ACEITE DE MANZANILLA) 100ML
4800011171531,5,0,5,IPI SALICYLIC ACID 50ML
4800011179049,5,0,5,DR. S WONG&#039;S SULFUR SOAP 80G
4800011179063,5,0,5,DR. S WONG&#039;S SULFUR SOAP 135G
4800011187037,5,0,5,IPI METHYL SALICYTATE WINTERGREEN 50ML
4800011501086,0,0,0,ML ABS COTTON BALLS 100&#039;S
4800016022180,0,0,0,GREAT TASTE WHITE CREMA TWINPACK
4800016022258,9,0,9,GREAT TASTE CHOCO TWINPACK
4800016022265,0,0,0,GREAT TASTE 3N1 WHITE TWIN PACK
4800016024467,0,0,0,GREAT TASTE CREAM-O COFFEE TWIN PACK
4800016052040,0,0,0,C2 GREEN TEA APPLE 355ML
4800016052057,0,0,0,C2 GREEN TEA LEMON 355ML
4800016052774,1,0,1,C2 APPLE 1000ML
4800016065859,0,0,0,HELLO STRAWBERRY
4800016068195,0,0,0,C2 SOLO LEMON 230ML
4800016073953,9,0,9,VITASOY ORIGINAL 300ML
4800016073960,0,0,0,VITASOY CHOCOLATE 300ML
4800016074097,1,0,1,C2 SOLO MELON 230ML
4800016074882,1,0,1,GREAT TASTE VANILLA 300ML
4800016074899,9,0,9,GREAT TASTE MOCHA 300ML
4800016087530,0,0,0,MAGIC CREAMS (CHEESE CREAM) 280G
4800016087554,0,0,0,MAGIC CREAM CHOCOLATE 28G
4800016087592,0,0,0,MAGIC CREAM BUTTER 28G
4800016091117,0,0,0,SWISS MISS DARK CHOCOLATE 31G
4800016091179,0,0,0,SWISS MISS CHOCOLATE HAZEL NUT 26G
4800016105098,1,0,1,CHIZ CURLS 55G
4800016105746,0,0,0,CHIZ CURLS 18G
4800016110535,1,0,1,MANG JUAN SUKANG PAOMBONG 26G
4800016110542,0,0,0,MANG JUAN SUKA&#039;T SILI 26G
4800016112430,1,0,1,QUAKE OVERLOAD BLACK FOREST 30G
4800016114274,0,0,0,DEWBERRY BLUEBERRY CHEESECAKE 33G
4800016115011,0,0,0,MANG JUAN (CHIKEN SKIN FLAVOR) 17G
4800016115110,9,0,9,MANG JUAN (CHIKEN SKIN AND SUKA FLAVOR) 17G
4800016115431,9,0,9,MANG JUAN KLASIC CHICHARON 26G
4800016138546,1,0,1,TORTILLOS CHEESE FLAVOR 100G
4800016552106,0,0,0,NISSIN CUP MINI BEEF
4800016552113,2,0,2,NISSIN CUP MINI SEAFOODS
4800016552120,0,0,0,NISSIN CUP MINI CHICKEN
4800016552137,0,0,0,NISSIN CUP BATCHOY 40G
4800016552274,0,0,0,NISSIN BULALO
4800016552298,9,0,9,YAKISOBA SAVORY BEEF 52G
4800016552304,2,0,2,NISSIN YAKI SOBA SPICY CHICKEN 52G
4800016557217,2,0,2,NISSIN SOTANGHON CHICKEN 40G
4800016561184,0,0,0,NISSIN CUP MINI CREAMY SEAFOODS
4800016561443,2,0,2,NISSIN HOT CREAMY SEAFOODS 40G
4800016561498,2,0,2,NISSIN CUP CHS SF 50G
4800016561863,8,0,8,NISSIN SPC PORK TONKO
4800016601583,9,0,9,CHIPPY GARLIC & VINEGAR SMALL
4800016604225,0,0,0,NOVA BBQ 40G
4800016622533,1,0,1,VCUT SPICY BBQ 25G
4800016627262,0,0,0,CHOCO KNOTS 28G
4800016627279,0,0,0,BERRY KNOTS STRAWBERRY 25G
4800016633621,9,0,9,PIATTOS PIZZA 40G
4800016633782,0,0,0,PIATTOS ROADHOUSE BBQ 40G
4800016635052,1,0,1,CHIPPY MILD & TASTY SMALL
4800016635243,0,0,0,PIC-A CHEDAR SNK 90G
4800016635250,0,0,0,PIC-A BBQ OVERLOAD 90G
4800016635281,8,0,8,POTATO CHIPS PLAIN 22G
4800016635342,8,0,8,POTATO CHIPS SOUR CREAM & ONION 22G
4800016642029,1,0,1,CHIPPY BBQ 25G
4800016652035,0,0,0,MR. CHIPS 26G
4800016661006,1,0,1,ROLLER COASTER CHEESE 24G
4800016663802,0,0,0,NOVA CHEDDAR SMALL
4800016665271,2,0,2,PIATTOS ROAST BEEF 40G
4800016666247,8,0,8,NOVA SWEET CHILI SMALL
4800016666445,0,0,0,MR. CHIPS MANAMIS MAIS 45G
4800016666452,9,0,9,MR. CHIPS SWEET CORN 110G
4800016677298,9,0,9,NOVA NACHO CHEESE SMALL
4800016677342,1,0,1,MANG JUAN SPICY FRIED PUSIT 80G
4800016680267,7,0,7,CALBEE HONEY BUTTER 60G
4800016680540,0,0,0,CALBEE HONEY BUTTER 22G
4800016964060,0,0,0,CLOUD 9 WHITE 28G/12 PC
4800016964299,0,0,0,CLOUD-9 PEANUT 50G
4800031205605,0,0,0,LAI LAI 25G
4800047820021,5,0,5,GREENCROSS 70% 250ML
4800047820236,5,0,5,GREENCROSS 70% 150ML
4800049720107,0,0,0,NATURE&#039;S SPRING 350ML
4800064630047,0,0,0,EZ LUBRICATING JELLY 10G
4800067049051,2,0,2,BBFLO PREEMIE NURSER 2 OZ
4800067051689,7,0,7,BBFLO BOTTLE TRANSPA HEXA 4OZ
4800067052167,7,0,7,BBFLO SILICON NIPPLE S
4800067052211,5,0,5,BBFLO SILICON NIPPLE M
4800067056004,0,0,0,BBFLO GENTLE BUDS PLASTIC 36TIP
4800067058015,3,0,3,BBFLO BREAST PUMP PLASTIC
4800067058367,2,0,2,BBFLO NASAL ASPIRATOR
4800067070482,2,0,2,BBFLO PETROLEUM JELLY UNSCENTED 25G
4800067070567,5,0,5,BBFLO JELLY POWDER SCENT 25G
4800067070604,5,0,5,BBFLO PETROLEUM JELLY SOOTH & RELAX 25G
480006707070567,2,0,2,BBFLO PETROLEUM JELLY POWDERY FRESH 25G
4800067070734,2,0,2,BBFLO PETROLEUM JELLY UNSCENTED 50G
4800067070758,2,0,2,BBFLO PETROLEUM JELLY POWDERY FRESH 50G
4800067070772,2,0,2,BBFLO PETROLEUM JELLY SOOTH & RELAX 50G
4800067126905,2,0,2,CLEENE (ETHYL ALCOHOL) 70% SOLUTION 150ML
4800067147085,5,0,5,CLIO DENTAL FLOSS 50M (CLEENE
4800067450840,1,0,1,RHEA ISOPROPYL ALCOHOL SCENTED AND MOISTURIZER 60ML
4800067453544,9,0,9,RHEA HYDROGEN PEROXIDE 20VOL 120ML
4800067551011,0,0,0,MEDIPLAST BANTAM PLASTIC STRIPS 12s
4800067642573,5,0,5,APOLLO PETROLEUM JELLY 25G
4800067642580,3,0,3,APOLLO PETROLEUM JELLY 100G
4800067644843,5,0,5,APOLLO PETROLEUM JELLY 50G
4800067702321,2,0,2,BBFLO GENTLE BUDS WHITE 200s TIPS+36 TIPS
4800092113246,1,0,1,REBISCO CREAM
4800092113253,8,0,8,REBISCO CHOCO
4800092113260,8,0,8,REBISCO STRAWBERRY
4800092113277,4,0,4,REBISCO BUTTER
4800092113352,0,0,0,FROOTEES STRAWBERRY
4800092113369,1,0,1,FROOTEES GRAPE
4800092113376,9,0,9,FROOTEES MANGO JAM
4800092115288,1,0,1,REBISCO PASTILLAS
4800092115660,8,0,8,REBISCO HONEY BUTTER
4800092118746,1,0,1,FROOTEES GREEN APPLE
4800092551284,1,0,1,FUDGEE BAR MILK
4800092551369,1,0,1,FUDGEE BAR VANILLA
4800092551383,1,0,1,FUDGEE BAR MOCHA
4800092551444,4,0,4,FUDGEE BAR MACAPUNO
4800092556586,1,0,1,CRISS CROSS CREAMY CHEESE 64G
4800092773204,1,0,1,TOSTAS CHEESE SWEET CORN 48G
480011147741,0,0,0,HYDROGEN PEROXIDE VOL 10 3% 120ML
4800116043009,1,0,1,SUNFLOWER BUTTER CREAM CRACKERS 25G
4800116098009,1,0,1,SUNFLOWER BUTTER CREAM UBE CRACKERS 25G
4800119131659,9,0,9,STYLEX EXTREME HOLD 50G
4800119131666,2,0,2,STYLEX EXTREME HOLD 125G
4800119131673,5,0,5,STYLEX STRONG HOLD (CLEAR) 50G
4800119131680,2,0,2,STYLEX STRONG HOLD 125G
4800119131697,9,0,9,STYLEX NORMAL HOLD 50G
4800119220469,8,0,8,HYGIENIX ALCHOL 150ML
4800131140813,9,0,9,BIOGENIC (ISOPROPYL ALCOHOL) 70% 150ML
4800131291683,2,0,2,BIOGENIC (ISOPROPYL ALCOHOL) 70% 500ML
4800135002278,6,0,6,MYRA ULTIMATE (ASTAXANTHIN + LYCOPENE + VITAMIN E) CAP
4800135003176,5,0,5,MYRA CLASSIC MOISTURIZING LOTION 100ML
4800135003183,3,0,3,MYRA CLASSIC MOISTURIZING LOTION 200ML
4800135003213,2,0,2,MYRA MOISTURIZING PLUS 50ML LOTION
4800135003244,5,0,5,MYRA CLASSIC WHITENING LOTION 50ML
4800135003251,5,0,5,MYRA CLASSIC WHITENING LOTION 100ML
4800135003886,0,0,0,MYRA SMOOTH GLOW MOIST 7ML
4800135003893,8,0,8,MYRA FRESH GLOW FACIAL MOISTURIZER 7ML
4800135003916,1,0,1,MYRA FRESH GLOW 10ML
4800135005200,5,0,5,GYNEPRO 60ML FEMWASH
4800135005705,5,0,5,PH CARE COOLING COMFORT 50ML
4800135005729,9,0,9,PH CARE COOLING COMFORT 5ML
4800135005897,3,0,3,PH CARE FLORAL CLEAN 150ML
4800135005903,5,0,5,PH CARE FLORAL CLEAN 50ML
4800135005927,0,0,0,PH CARE FLORAL CLEAN 5ML
4800135006139,5,0,5,PH CARE DELICATE WHITE 50ML
4800135006153,3,0,3,PH CARE DELICATE WHITE 150ML
4800135006542,5,0,5,PH CARE NATURAL PROTECTION 50ML
4800135006566,3,0,3,PH CARE NATURAL PROTECTION 150ML
4800135007785,9,0,9,PH CARE FLORAL CLEAN 5ML
4800135007808,4,0,4,PH CARE DELICATE WHITE 5ML
4800135007815,4,0,4,PH CARE COOLING COMFORT 5ML
4800135007839,0,0,0,PH CARE NATURAL PROTECTION 5ML
4800135010853,7,0,7,GYNEPRO 60ML +MODESS SET
4800136111047,2,0,2,LACTACYD BABY BATH 60ML
4800136650027,6,0,6,LASIX TAB 40MG
4800136960010,2,0,2,LACTACYD PRO SENSITIVE 60ML
4800140001341,6,0,6,PONSTAN SF 250MG CAP
4800141512921,9,0,9,C.Y GABRIEL SPECIAL PINK 60G
4800141512938,9,0,9,C.Y GABRIEL SPECIAL GREEN 60G
4800141512945,5,0,5,C.Y GABRIEL PAPAYA 60G
4800153151194,2,0,2,BONAMIL 6-12 MONTHS 150G
4800153300691,3,0,3,ROBIKIDS 250MG/5ML SUSPENSION 60ML
4800153924354,9,0,9,SIMECO TAB
4800194101134,2,0,2,CRACKLINGS 50G
4800194101783,8,0,8,POTATO CRISPS CHEESE 18G
4800194104869,1,0,1,CRISPY PATATA 24G
4800194104937,0,0,0,LMC TATER T CUCUMBER 18G
4800194104968,0,0,0,OISHI PRAWN CRACKER SPICY 24G
4800194105972,1,0,1,LMC POPCORN CARAMEL 60G
4800194106016,2,0,2,POTATO FRIES PLAIN SALTED 50G
4800194106771,2,0,2,POTATO FRIES CHEESE 50G
4800194115247,8,0,8,MOBSTERS POPCORN CARAMEL&CHEESE 60G
4800194115445,1,0,1,OISHI POPCORN CHOCOLATE 60G
4800194116466,0,0,0,PILLOWS CHOCO 38G
4800194152327,0,0,0,PILLOWS UBE 38G
4800194152839,1,0,1,MARTY&#039;S CHICKEN INASAL 26G
4800194152891,1,0,1,MARTY&#039;S SPICY VINEGAR SMALL
4800194152907,9,0,9,MARTY&#039;S SALT & VINEGAR
4800194153225,9,0,9,OISHI BREAD PAN CHEESE AND ONION 24G
4800194153232,9,0,9,OISHI BREAD PAN TOASTED GARLIC 24G
4800194153683,1,0,1,OISHI BREAD PAN BUTTERED TOAST 24G
4800194177146,1,0,1,OISHI FISH CRACKER 90G
4800194177603,2,0,2,OISHI O-PUSIT 80G
4800194177771,9,0,9,POTATO FRIES CHEESE 90G
4800194177863,1,0,1,OISHI CRISPY PATATA 85G
4800194177931,1,0,1,LMC TATER T CUCUMBER 75G
