cluster,n_items,total_qty,total_sales,total_profit,n_transactions,avg_profit_margin
-1_-1,369,163563.0,5506314.96,1264387.82,15213,22.96
0_0,1605,20804.0,1237480.77,291552.81,9412,23.56
0_2,221,30214.0,1002665.14,166985.01,9811,16.65
0_1,413,52976.0,981461.04,204124.25,3812,20.8
3_0,2,783.0,29629.440000000002,2582.77,77,8.72
3_2,1,381.0,18048.6,3037.2000000000003,38,16.83
3_1,1,423.0,13792.1,2620.67,41,19.0
1_1,3,1634.0,12549.4,952.6,303,7.59
2_0,3,9.0,6132.5,998.22,8,16.28
1_0,1,512.0,5416.75,347.95,81,6.42
2_2,1,12.0,5349.0,475.91999999999996,7,8.9
1_2,1,650.0,3900.0,234.0,108,6.0
2_1,1,13.0,1926.0,533.1800000000001,2,27.68
