cluster_id,n_items,avg_total_sales,avg_total_profit,avg_profit_margin,avg_qty_sold,avg_transactions,representative_items,category
3_2,1,18048.6,3037.2000000000003,16.82789800870982,381.0,38.0,NATRAVOX 625MG FC TAB,Standard Products
-1_-1,369,14922.262764227642,3426.525257452574,22.962504491388554,443.260162601626,54.260162601626014,VAXIRAB 2.5 IU 1ML | OHHIRA&#039;S RED OMX PROBIOTICS CAP | BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,High-Value Premium
3_0,2,14814.720000000001,1291.385,8.716904538189043,391.5,38.5,RM CEFUROXIME 500MG TAB | XIPRO (CIPROFLOXACIN) TAB 500MG,High-Volume Movers
3_1,1,13792.1,2620.67,19.001239840198377,423.0,41.0,ALLERKAST (MONTELUKAST/LEVOCETIRIZINE) 10MG/5MG TAB,Standard Products
1_0,1,5416.75,347.95,6.423593483177181,512.0,81.0,TUSERAN FORTE CAP,Standard Products
2_2,1,5349.0,475.91999999999996,8.897363993269769,12.0,7.0,ZITHROMAX 200MG/5ML 15ML SUSP,Standard Products
0_2,221,4536.946334841629,755.5882805429865,16.654115450747593,136.71493212669682,52.751131221719454,REFLUXID DUO 40MG/30MG SR CAP | AMOCLAV 457 SUSPENSION 70ML | ASMALIN® 2MG 60ML (SALBUTAMOL) 2MG SYR 60ML,High-Volume Movers
1_1,3,4183.133333333333,317.53333333333336,7.590801153840025,544.6666666666666,101.33333333333333,ALAXAN FR (IBUPROFEN + PARACETAMOL) CAP | ADVIL LIQUIGEL (IBUPROFEN) CAP | REVICON FORTE TAB,High-Volume Movers
1_2,1,3900.0,234.0,6.0,650.0,108.0,NEOZEP FORTE (PHENYLEPHRINE HCL + PARACETAMOL) TAB,Standard Products
0_1,413,2376.4189830508476,494.24757869249396,20.79799825778107,128.27118644067798,11.099273607748184,ZITHROMAX 500MG TAB | HEMOSTAN 500MG CAP | CO-ALTRIA PED 5MG/5ML TAB,High-Value Premium
2_0,3,2044.1666666666667,332.74,16.277537708927845,3.0,2.6666666666666665,CHERIFER IMMUNOMAX SYR 120ML | NUTRIDIAB VANILLA 400G | KELLY PAD,High-Volume Movers
2_1,1,1926.0,533.1800000000001,27.68328141225338,13.0,2.0,FLAGYL (METRIONIDAZOLE ) ORAL 60ML SUSP,Niche Premium
0_0,1605,771.0160560747663,181.65284112149533,23.560189141363384,12.961993769470405,7.56822429906542,ZENITH (AZITHROMYCIN) 500MG TAB | #EXP2025-04-30 | FORTRA 200MCG/6MCG CANISTER,High-Value Premium
