item_code,cluster_l1,cluster_l2,cluster_combined,description
0100707387509507,0,0,0_0,TEGADERM FILM 4 IN X 4 3/4 IN
0300651439168,0,0,0_0,SYSTANE ULTRA EYE DROPS 5ML
0382908868037,0,0,0_0,INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML
0725765883117,-1,-1,-1_-1,OHHIRA&#039;S RED OMX PROBIOTICS CAP
1000010199,0,0,0_0,MAALOX TAB1
10000200185,0,1,0_1,APTRADOL (TRAMADOL HYDROCHLORIDE) 50MG CAP
1000200057,0,0,0_0,INFAMIX (MEFENAMIC ACID) 50MG 60ML SUSP
1000200070,-1,-1,-1_-1,SAPHLECOX 200 (CELECOXIB) 200MG CAP
1000200071,0,0,0_0,SAPHROXOL (AMBROXOL HCI) 75MG CAP
1000200078,0,1,0_1,VERTEX (CINNARIZINE) 25MG TAB
1000200084,-1,-1,-1_-1,GLIMESAPH (GLIMEPIRIDE) 2MG
100020009,0,0,0_0,DIALOX (CLOXACILLIN) 250MG 60ML SUSPENSION
1000200090,0,1,0_1,X-PLENDED (ROSUVASTATIN) 10MG TAB
1000200098,0,0,0_0,HARVIMIDE (LOPERAMIDE) 2MG CAP
1000200100,0,1,0_1,SCHEEPRIN-80 (ASPIRIN) 80MG TAB
1000200122,0,1,0_1,HAEMOREX (TRANEXAMIC ACID) 500MG CAP
1000200140,0,1,0_1,PHILCLOX (CLOXACILLIN) 500MG CAP
10870188414,0,0,0_0,GLOMED LATEX GLOVES LARGE
10937242,0,1,0_1,RELAXSAPH (SALBU+IPRA) RESP
1094266310,0,0,0_0,KN95
11217688,0,0,0_0,SAPHETOR 90 TAB
11364946142,0,0,0_0,OR CAP
11377115,-1,-1,-1_-1,AIRCARE OXYGEN REGULATOR
11699910,0,1,0_1,RETENTO-800 (PIRACETAM) 800MG TAB
1210001136137,0,0,0_0,LIPITOR (ATORVASTATIN) 10MG TAB
1210001136144,0,1,0_1,LIPITOR TAB 20MG
1210001136748,-1,-1,-1_-1,NORVASC 5MG TAB
12344481899,0,0,0_0,STERILE CORD CLAMP
12345678,-1,-1,-1_-1,SUCTION MACHINE (SURGITECT
12512737,0,0,0_0,DYNA ATORVASTATIN 40MG
12750115947,0,0,0_0,KIDNEY BASIN PLASTIC
13330569,0,0,0_0,ANNIV DISC SDS2YO
13558758,0,0,0_0,MEASURING CUP 210ML
14162763,0,0,0_0,AXMEL (AMOXICILLIN TRIHYDRATE) 250MG CAP
14800488960796,0,2,0_2,CARESS ADULT DIAPER M20+2
14981866658,0,0,0_0,OXYGEN CANNULA ADULT
15273604,0,0,0_0,DYNA LOSARTAN 100MG
15291549203,0,0,0_0,FOLEY CATH 16
15816093709,0,0,0_0,PPE GOWN (WASHABLE
16379076179,-1,-1,-1_-1,TONGUE DEPRESSOR SUREGUARD
16382500762,0,0,0_0,CANCARE IV CATH G18
16430730,0,0,0_0,DYNA CLOPIDOGREL 75MG
16594159,-1,-1,-1_-1,COMMODE CHAIR W/O WHEELS
16716075887,0,0,0_0,MEDICAL GOOGLES
16773073,0,1,0_1,RIFECLAV (CO-AMOXICLAV )625MG TAB
17204140801,-1,-1,-1_-1,QUADCANE BIG
17540193,0,0,0_0,FLOXANOVA-500 (LEVOFLOXACIN) 500MG FC TAB
17636901117,2,0,2_0,KELLY PAD
18666830,-1,-1,-1_-1,INSULIN SYRINGE COSMED
18669180074,0,0,0_0,SYRINGE 10CC
18904173240999,0,0,0_0,ROSETTE (ROSUVASTATIN) 20MG TAB
18904173241637,0,0,0_0,RUMALOX 15 (MELOXICAM) 15MG TAB
1900010021,0,2,0_2,SAPHLOPID (CLOPIDOGREL) 75MG TAB
1900010066,-1,-1,-1_-1,SUPER CEE PLUS (SODIUM ASCORBATE FORTIFIED + ZINC) 500MG CAP
1900010074,-1,-1,-1_-1,ATORSAPH-10 (ATORVASTATIN) 10MG FC TAB
1900010093,0,1,0_1,HAEMOREX (TRANEXAMIC ACID) 500MG CAP
1900010113,-1,-1,-1_-1,INHIBITA (OMEPRAZOLE) 40MG EC TAB
1900010134,-1,-1,-1_-1,PROMETIN (METOPROLOL) 50MG TAB
1900010178,0,1,0_1,CLOXANE (CLOXACILLIN) 500MG CAP
1900010193,0,2,0_2,AZITHROM (AZITHROMYCIN) 500MG TAB
1900010223,0,0,0_0,FIRSTMED (AMOXICILLIN) 500MG CAP
1900010249,0,0,0_0,MELOTAB (MELOXICAM) 15MG TAB
1900010255,0,1,0_1,GASTROSAPH AF300 (RANITIDINE HCL) 300MG TAB
1900010256,0,0,0_0,ERYSAPH (ERYTHORMYCIN) 5000MG TAB
2000640000932,0,0,0_0,GATORADE BLUE BOLT 1.5L
202204078900,0,2,0_2,PROHEALTHCARE DISPISPOSABLE MASK 50s
20220407900,0,0,0_0,PROHEALTHCARE KIDS FACEMASK 50s
202204079300,0,0,0_0,PROHEALTHCARE KIDS FACEMASK 50s
20408794,0,0,0_0,ELASTIC BANDAGE 2X5
20433840,0,0,0_0,KN95 FACE MASK
21046605,0,0,0_0,SAPHCORBIC-100 (ASCORBIC ACID) 120ML
21325670,0,0,0_0,SENSODYNE DEEP CLEAN 60G
2181603130016,0,0,0_0,SPIT GUARD
21904530,-1,-1,-1_-1,COMMODE CHAIR WITH WHEELS
21958939,0,0,0_0,SENOKOT (CALCIUM SENNOSIDES) 8.77MG TAB
22695376,0,0,0_0,GREAT GLOVE STERILE LATEX GLOVES 8
22968258,0,0,0_0,ENERVON (MULTIVITAMINS) 7+1 TAB
230231506,-1,-1,-1_-1,BAXTEL BP APP W/ STETHOSCOPE
23418608,-1,-1,-1_-1,AIR MATTRESS (VMED) COMFORT AND LIGHTNESS
2345665555556,0,0,0_0,KIDNEY CARE CAP
23554917,0,0,0_0,SANITARY BALM (CAMPHOR+MENTHOL) 10G
23605794,0,0,0_0,4TH YEAR ANNIVERSARY DISC
24019699,0,0,0_0,SANITARY BALM (CAMPHOR+MENTHOL) 32G
24254694,0,0,0_0,CPR MASK
24830461,-1,-1,-1_-1,PROHEALTH NEBULIZER VMNB03
25036922883,0,0,0_0,KIDNEY BASIN PLASTIC
2507732948,0,0,0_0,PURITAN&#039;S PRIDE OMEGA 3 FISH OIL 90&#039;S
25761726337,0,0,0_0,BANDAGE SCISSOR 3 1/2
26046143,-1,-1,-1_-1,RELAXSAPH (IPRATROPIUM BROMIDE + SALBUTAMOL SULFATE) 200MCG/1MG PER ML 2.5ML AMP
26071153358,0,0,0_0,SUCTION CATH F 18
26209357,0,2,0_2,DIATABS (LOPERAMIDE) 5+1 CAP
26514501070,0,0,0_0,CANCARE IV CATH G22
27013983251,-1,-1,-1_-1,WHEELCHAIR SUREGUARD
27161753,0,0,0_0,DOCOR 250 (HYDROCORTISONE SODIUM SUCCINATE) 250MG/ML VIAL
27719626,0,0,0_0,YAKULT 80ML
28284307,-1,-1,-1_-1,"EGG MATTRESS 2"""
28905000766204,0,0,0_0,DIAMIR (GLICLAZIDE) 30MG TAB
29314057013933,0,0,0_0,DEQUADIN LOZENGES LEMON
29443079,0,2,0_2,BIOFLU (PHENYLEPHRINE HCL CHLORPHENAMINE MALEATE PARACETAMOL) 10MG/2MG /500MG 7+1 TAB
29481888702,0,0,0_0,NGT F16
29682409253,0,0,0_0,ELASTIC BANDAGE 4x5
29986620,-1,-1,-1_-1,ROSETT (ROSUVASTATIN) 10MG TAB
300651439168,0,0,0_0,SYSTANE ULTRA EYE DROPS 5ML
31338332,-1,-1,-1_-1,WALKER WITH WHEELS
31489881,-1,-1,-1_-1,ELECTRIC WHEELCHAIR
3200010001,0,0,0_0,CONVATEC OSTOMY STARTER KIT FW 57MM
32753762597,0,0,0_0,KATINKO BALM 10G
32943792797,0,0,0_0,SUCTION CATH F 10
33456416,0,0,0_0,BEDPAN PLASTIC
33680255,0,2,0_2,I QURE 32 IN 1 COFFEE
33835549,-1,-1,-1_-1,RECLINING WHEELCHAIR WITH COMMODE
34135711937,0,0,0_0,STOMACH TUBE NGT FR16
35586197,0,0,0_0,WEEK PILL ORGANIZER
3664492018638,0,0,0_0,HUMER BLOCKED NOSE 100% SEA WATER NASAL SPRAY 50ML
36836673,0,1,0_1,VEGIVIT TAB
37297627971,0,0,0_0,I.V CANNULA G22
37321667384,0,0,0_0,EFFICASCENT OIL REG 25ML
37358747,0,1,0_1,VALPROS (SODIUM VALPROATE/VALPROIC ACID) 500MG TAB
37474317,0,0,0_0,SOUTH MOON FABRIC BANDAGES 5X4.5CM
37713119,0,0,0_0,LAB GOWN M
37727361492,0,0,0_0,SUCTION CATH F 16
38119798,0,0,0_0,ATORSAPH-20 (ATORVASTATIN) 20MG FC TAB
38218316,0,1,0_1,CHERIFER PGM CAP
382906725011,0,0,0_0,BD ULTRA FINE II INSULIN SYRINGE
382908868013,0,2,0_2,INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML
38464410122,0,0,0_0,OXYGEN MASK ADULT
38749624464,-1,-1,-1_-1,OXYGEN TANK 50LBS
39572141,0,0,0_0,ADVAN PREGNANCY TEST
39851079,0,0,0_0,NEBULIZER KIT
4000009375336,-1,-1,-1_-1,#EXP2025-08-30
4005808024704,0,0,0_0,NIVEA INTENSIVE MOISTURE BODY MILK 250ML LOTION
4005808298334,0,0,0_0,NIVEA MEN ROLL ON DRY IMPACT 50ML
4005808301843,0,0,0_0,NIVEA COOL KICK 50ML SINGLE
4005808319725,0,0,0_0,NIVEA INTENSIVE MOISTURE BODY MILK 400ML LOTION
4005808324774,0,0,0_0,NIVEA INTENSIVE MOISTURE BODY MILK 125ML LOTION
4005808837472,0,0,0_0,NIVEA ROLL ON EXTRA WHITENING 50ML
