item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
0189061125300878,MEOXICLAV-D5 (CO-AMOXICLAV) 457MG/5ML SUSP,ANTIBIOTICS,PRESCRIPTION,34.0,8660.9,12.0,254.73235294117646,2.8333333333333335,0.5161743757289483,-0.04195804195804195,0
100020009,DIALOX (CLOXACILLIN) 250MG 60ML SUSPENSION,ANTIBIOTICS,GENERICS,6.0,405.0,3.0,67.5,2.0,0.408248290463863,0.4999999999999994,0
1000200140,PHILCLOX (CLOXACILLIN) 500MG CAP,ANTIBIOTICS,GENERICS,297.0,2376.0,6.0,8.0,49.5,1.3698573647433236,-24.828571428571422,0
1000200180,SAPHIXIME 400 (CEFIXIME) 400MG CAP,ANTIBIOTICS,GENERICS,7.0,189.7,1.0,27.099999999999998,7.0,0.0,0.0,0
14162763,#EXP2026-09-30,ANTIBIOTICS,GENERICS,10.0,42.5,1.0,4.25,10.0,0.0,0.0,0
14162763,AXMEL (AMOXICILLIN TRIHYDRAT) 250MG CAP,ANTIBIOTICS,GENERICS,1.0,4.25,1.0,4.25,1.0,0.0,0.0,0
14162763,AXMEL (AMOXICILLIN TRIHYDRATE) 250MG CAP,ANTIBIOTICS,GENERICS,10.0,42.5,1.0,4.25,10.0,0.0,0.0,0
16773073,RIFECLAV (CO-AMOXICLAV )625MG TAB,ANTIBIOTICS,PRESCRIPTION,133.0,4930.610000000001,6.0,37.07225563909775,22.166666666666668,0.7039216444299574,-3.114285714285711,0
17540193,FLOXANOVA-500 (LEVOFLOXACIN) 500MG FC TAB,ANTIBIOTICS,PRESCRIPTION,33.0,325.6,4.0,9.866666666666667,8.25,0.9045340337332909,-2.6999999999999975,0
17540193,FLOXANOVA-500 FC TAB,ANTIBIOTICS,PRESCRIPTION,3.0,25.2,1.0,8.4,3.0,0.0,0.0,0
1900010130,CLOXYL (CLOXACILLIN) 500MG CAP,ANTIBIOTICS,GENERICS,4.0,28.8,1.0,7.2,4.0,0.0,0.0,0
1900010168,TOLLMAN (CEFALEXIN) 500MG CAP,ANTIBIOTICS,GENERICS,80.0,680.0,4.0,8.5,20.0,0.06123724356957945,0.6000000000000015,0
1900010178,CLOXANE (CLOXACILLIN) 500MG CAP,ANTIBIOTICS,GENERICS,449.0,3791.14,20.0,8.443518930957683,22.45,0.649551807027086,-1.0939849624060158,0
1900010193,AZITHROM (AZITHROMYCIN) 500MG TAB,ANTIBIOTICS,GENERICS,208.0,9056.25,8.0,43.53966346153846,26.0,1.0038756258567836,-2.5476190476190506,0
1900010223,FIRSTMED (AMOXICILLIN) 500MG CAP,ANTIBIOTICS,GENERICS,2.0,5.4,1.0,2.7,2.0,0.0,0.0,0
1900010256,ERYSAPH (ERYTHORMYCIN) 5000MG TAB,ANTIBIOTICS,PRESCRIPTION,70.0,448.93,4.0,6.413285714285714,17.5,0.41305235128002743,-1.3999999999999977,0
29253999,CEFUSAPH (CEFUROXIME AXETIL) 500MG FC TAB,ANTIBIOTICS,GENERICS,821.0,21756.0,11.0,26.499390986601707,74.63636363636364,0.41336893762346866,0.7636363636363643,0
36836673,VEGIVIT TAB,ANTIBIOTICS,PRESCRIPTION,472.0,4690.0,15.0,9.936440677966102,31.466666666666665,0.7139107492436747,1.367857142857144,0
4800136590026,FLAGYL (METRIONIDAZOLE ) ORAL 60ML SUSP,ANTIBIOTICS,PRESCRIPTION,17.0,2502.0,5.0,147.1764705882353,3.4,0.9947961485463389,1.1,0
4800136590026,FLAGYL ORALSUSP 60ML,ANTIBIOTICS,PRESCRIPTION,9.0,1279.52,8.0,142.1688888888889,1.125,0.2939723678960656,0.03571428571428564,0
4800136590033,FLAGYL FORTE 500MG FC TAB,ANTIBIOTICS,PRESCRIPTION,326.0,14201.55,14.0,43.56303680981595,23.285714285714285,1.0554822032229325,2.6725274725274732,0
4800153302398,STRESSTABS W/ IRON TAB,ANTIBIOTICS,PRESCRIPTION,61.0,671.0,7.0,11.0,8.714285714285714,0.7629558215226293,-0.8214285714285716,0
4800153302398,STRESSTABS WIRON TAB,ANTIBIOTICS,PRESCRIPTION,1677.0,18335.48,29.0,10.933500298151461,57.827586206896555,0.511821078216312,-0.1428571428571412,0
4800153302398,STRESTABS (MULTIVITAMINS + IRON) TAB,ANTIBIOTICS,PRESCRIPTION,5.0,56.25,2.0,11.25,2.5,0.6,2.999999999999999,0
4800261123885,OPTRYL (ERYTHROMYCIN) 5MG/G (0.5%) OINTMENT 5G,ANTIBIOTICS,GENERICS,5.0,1284.0,5.0,256.8,1.0,0.0,-1.0507920739455759e-16,0
4800284161031,ISOPRINOSINE (INOSINE ACEDOBEN DIMEPRANOL) 250MG/5M SYRUP 60ML,ANTIBIOTICS,PRESCRIPTION,3.0,930.0,3.0,310.0,1.0,0.816496580927726,0.9999999999999998,0
4800284161031,ISOPRINOSINE (INOSINE ACEDOBEN DIMEPRANOL) 250MG/5MG SYRUP 60ML,ANTIBIOTICS,PRESCRIPTION,11.0,3414.5,6.0,310.40909090909093,1.8333333333333333,0.4895604370122277,0.25714285714285695,0
4800301902364,MOXYLOR (AMOXICILLIN) 250MG/5ML 60ML SUSP,ANTIBIOTICS,GENERICS,17.0,863.1800000000001,7.0,50.775294117647064,2.4285714285714284,1.1191939759082616,-0.785714285714286,0
4800301902500,DIACEF (CEFALEXIN) 100MG/ML 10ML DROPS,ANTIBIOTICS,GENERICS,1.0,36.3,1.0,36.3,1.0,0.0,0.0,0
4800301902531,DIACEF (CEFALEXIN) 250 MG CAP,ANTIBIOTICS,GENERICS,21.0,84.0,1.0,4.0,21.0,0.0,0.0,0
4800301902548,DIACEF (CEFALEXIN) 500MG CAP,ANTIBIOTICS,GENERICS,14.0,151.2,1.0,10.799999999999999,14.0,0.0,0.0,0
4800301902845,METROZOLE (METRONIDAZOLE) 125MG/5ML SUSP 60ML,ANTIBIOTICS,GENERICS,5.0,224.0,1.0,44.8,5.0,0.0,0.0,0
4800304390113,UNASYN (SULTAMICILLIN) 750MG TAB,ANTIBIOTICS,PRESCRIPTION,26.0,3705.0,3.0,142.5,8.666666666666666,0.7133552688842849,6.000000000000001,0
4800304390113,UNASYN TAB 750MG,ANTIBIOTICS,PRESCRIPTION,16.0,2280.0,2.0,142.5,8.0,0.75,-11.999999999999998,0
4800307101037,KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 35ML,ANTIBIOTICS,PRESCRIPTION,162.0,102764.8,22.0,634.3506172839507,7.363636363636363,0.6906963323802157,-0.08469791078486745,0
4800307101037,KLARYTH 250MG/5ML SUSP 35ML,ANTIBIOTICS,PRESCRIPTION,5.0,3045.0,1.0,609.0,5.0,0.0,0.0,0
4800307101044,KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 70ML,ANTIBIOTICS,PRESCRIPTION,51.0,59561.05,16.0,1167.8637254901962,3.1875,0.7121184234248972,0.09852941176470602,0
4800307101044,KLARYTH 250MG/5ML SUSP 70ML,ANTIBIOTICS,PRESCRIPTION,79.0,102513.35,20.0,1297.637341772152,3.95,0.9386739565297425,0.3736842105263158,0
4800307351111,CECLOBID (CEFACLOR) 50MG/ML 20ML SUSP,ANTIBIOTICS,PRESCRIPTION,52.0,16962.0,13.0,326.1923076923077,4.0,0.41602514716892186,-0.12087912087912074,0
4800307351517,CECLOBID (CEFACLOR) 250MG/5ML 60ML SUSP,ANTIBIOTICS,PRESCRIPTION,77.0,33773.0,15.0,438.61038961038963,5.133333333333334,0.6436109970578633,0.18928571428571433,0
4800308100138,AXIALITH (URSODEOXYCHOLIC ACID) 250MG,ANTIBIOTICS,GENERICS,5.0,266.25,1.0,53.25,5.0,0.0,0.0,0
4800308100138,AXIALITH 250MG,ANTIBIOTICS,GENERICS,13.0,631.38,2.0,48.567692307692305,6.5,0.38461538461538464,-5.000000000000001,0
4800308100473,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,618.0,230301.7,24.0,372.6564724919094,25.75,0.6783390766979749,1.539130434782609,0
4800308100473,BACTIV 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,4.0,1347.0,2.0,336.75,2.0,0.5,-2.0,0
4800308101326,AZEMAX ( AZITHROMYCIN) 500MG,ANTIBIOTICS,PRESCRIPTION,62.0,8147.28,4.0,131.40774193548387,15.5,0.5743385101537051,5.4,0
4800308363038,BACTIV (CO-AMOXICLAV) 625MG,ANTIBIOTICS,PRESCRIPTION,87.0,3831.1,1.0,44.03563218390804,87.0,0.0,0.0,0
4800308363038,BACTIV 625mg,ANTIBIOTICS,PRESCRIPTION,13.0,591.5,1.0,45.5,13.0,0.0,0.0,0
4800308556003,AZEMAX (AZITHROMYCIN) 200MG/5ML 22.5ML SUSP,ANTIBIOTICS,PRESCRIPTION,133.0,62676.0,19.0,471.2481203007519,7.0,0.5733051891942331,0.431578947368421,0
4800308765108,SILGRAM (SULTAMICILLIN) 750MG CAP,ANTIBIOTICS,PRESCRIPTION,229.0,11521.3,13.0,50.31135371179039,17.615384615384617,0.8924764298500836,2.1483516483516487,0
4800308765108,SILGRAM 750MG,ANTIBIOTICS,PRESCRIPTION,9.0,457.8,2.0,50.86666666666667,4.5,0.3333333333333333,2.999999999999999,0
4800308805309,LOXEVA (LEVOFLOXACIN) 500MG,ANTIBIOTICS,PRESCRIPTION,26.0,1750.7,4.0,67.33461538461539,6.5,0.6389710663783135,3.0,0
4800316227018,ZINNAT (CEFUROXIME) SUSP 125MG 50ML,ANTIBIOTICS,PRESCRIPTION,2.0,692.0,1.0,346.0,2.0,0.0,0.0,0
4800316227018,ZINNAT SUSP 125MG 50ML,ANTIBIOTICS,PRESCRIPTION,3.0,1038.0,1.0,346.0,3.0,0.0,0.0,0
4800318120027,AMOXIL (AMOXICILLIN) 500MG CAP,ANTIBIOTICS,PRESCRIPTION,142.0,2491.0,6.0,17.54225352112676,23.666666666666668,0.7509829570010298,-4.400000000000001,0
4800318120027,AMOXIL CAP 500MG,ANTIBIOTICS,PRESCRIPTION,10.0,155.0,1.0,15.5,10.0,0.0,0.0,0
4800318120072,AMOXIL FORTE (AMOXICILLIN) 60ML SUSP,ANTIBIOTICS,PRESCRIPTION,1.0,137.25,1.0,137.25,1.0,0.0,0.0,0
4800318120072,AMOXIL FORTE SUSP. 60ML,ANTIBIOTICS,PRESCRIPTION,3.0,411.75,2.0,137.25,1.5,0.3333333333333333,0.9999999999999998,0
4800318210162,AMOXIL (AMOXICILLIN) 20ML DROP,ANTIBIOTICS,PRESCRIPTION,8.0,1018.0,2.0,127.25,4.0,0.0,-3.14018491736755e-16,0
4800318210162,AMOXIL DROP 20ML,ANTIBIOTICS,PRESCRIPTION,2.0,254.5,1.0,127.25,2.0,0.0,0.0,0
4800319890042,DIOVAN (VALSARTAN) 160MG TAB,ANTIBIOTICS,GENERICS,10.0,228.8,1.0,22.880000000000003,10.0,0.0,0.0,0
4800319890042,DIOVAN TAB 160MG,ANTIBIOTICS,GENERICS,4.0,114.4,1.0,28.6,4.0,0.0,0.0,0
4800332237633,DALACIN C (CLINDAMYCIN) 300MG CAP,ANTIBIOTICS,PRESCRIPTION,580.0,57072.86,25.0,98.40148275862069,23.2,0.7880272332432027,0.5761538461538458,0
4800332237633,DALACIN C CAP 300MG,ANTIBIOTICS,PRESCRIPTION,42.0,3967.9,4.0,94.47380952380952,10.5,0.4178554470186725,-1.1999999999999982,0
4800333162484,2025-04-01,ANTIBIOTICS,PRESCRIPTION,14.0,707.0,2.0,50.5,7.0,0.42857142857142855,5.999999999999998,0
4800333162484,AUGMENTIN (CO-AMOXICLAV) 375MG TAB,ANTIBIOTICS,PRESCRIPTION,244.0,12059.85,13.0,49.42561475409836,18.76923076923077,0.5658409917542877,-0.3791208791208791,0
