item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
12345678,SUCTION MACHINE (SURGITECT,ELECTRONIC MEDICAL DEVICES,MED-SURG,7.0,35040.0,6.0,5005.714285714285,1.1666666666666667,0.31943828249996986,-0.08571428571428566,0
17792308784,BREAST PUMP ELECTRIC,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,2950.0,1.0,2950.0,1.0,0.0,0.0,0
2181603130016,SPIT GUARD,ELECTRONIC MEDICAL DEVICES,MED-SURG,10.0,150.0,2.0,15.0,5.0,0.4,-4.0,1
23418608,AIR MATTRESS (VMED) COMFORT AND LIGHTNESS,ELECTRONIC MEDICAL DEVICES,MED-SURG,2.0,5120.0,2.0,2560.0,1.0,0.0,-7.850462293418875e-17,0
24830461,PROHEALTH NEBULIZER VMNB03,ELECTRONIC MEDICAL DEVICES,MED-SURG,41.0,55762.75,21.0,1360.0670731707316,1.9523809523809523,0.5583182020614438,0.014285714285714247,0
32943792797,SUCTION CATH F 10,ELECTRONIC MEDICAL DEVICES,MED-SURG,4.0,51.8,1.0,12.95,4.0,0.0,0.0,0
37727361492,SUCTION CATH F 16,ELECTRONIC MEDICAL DEVICES,MED-SURG,42.0,543.9,7.0,12.95,6.0,0.9920317455237933,1.535714285714286,0
40258631645,THERMOMETER ISHIELD,ELECTRONIC MEDICAL DEVICES,MED-SURG,7.0,955.5,4.0,136.5,1.75,0.47380354147934284,0.10000000000000013,0
4300010002,PROHEALTH PULSE OXIMETER,ELECTRONIC MEDICAL DEVICES,MED-SURG,45.0,48203.1,20.0,1071.18,2.25,0.6265720968831859,-0.03684210526315791,0
430010004,LINTEMED PULSE OXIMETER,ELECTRONIC MEDICAL DEVICES,MED-SURG,4.0,3567.84,2.0,891.96,2.0,0.5,-2.0,0
45910009910,BREAST PUMP GLASS (HELIO,ELECTRONIC MEDICAL DEVICES,MED-SURG,4.0,448.0,4.0,112.0,1.0,0.0,-8.214889951798643e-17,0
4800067058015,BBFLO BREAST PUMP PLASTIC,ELECTRONIC MEDICAL DEVICES,MED-SURG,6.0,840.0,4.0,140.0,1.5,0.5773502691896257,0.19999999999999996,0
4806031500078,GETWELL NEBULIZER COW GKN-11000,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,2464.0,1.0,2464.0,1.0,0.0,0.0,0
4806524141085,Sure-Guard digital thermometer,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,104.0,1.0,104.0,1.0,0.0,0.0,0
4806524145854,SURE-GURAD PORTABLE MESH NEBULIZER,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,2000.0,1.0,2000.0,1.0,0.0,0.0,0
4806524146974,SURE-GUARD INFRARED FOREHEAD THERMOMETER HA-650,ELECTRONIC MEDICAL DEVICES,MED-SURG,5.0,4875.0,1.0,975.0,5.0,0.0,0.0,0
4806526300428,NEBULIZER (PARTNERS,ELECTRONIC MEDICAL DEVICES,MED-SURG,2.0,2080.0,2.0,1040.0,1.0,0.0,-7.850462293418875e-17,0
4806526300428,PARTNERS NEBULIZER,ELECTRONIC MEDICAL DEVICES,MED-SURG,22.0,22464.17,11.0,1021.0986363636363,2.0,0.674199862463242,0.17272727272727276,0
4806526304730,PARTNERS BLOOD GLUCOMETER CBPC-73,ELECTRONIC MEDICAL DEVICES,MED-SURG,44.0,35616.28,20.0,809.460909090909,2.2,0.5856408512147783,-0.030075187969924876,0
4806526306529,PARTNERS NEBULIZER,ELECTRONIC MEDICAL DEVICES,MED-SURG,11.0,12812.8,4.0,1164.8,2.75,0.6492207662311682,0.10000000000000014,0
4806530870108,DIGITAL THERMOMETER (INDOPLAS,ELECTRONIC MEDICAL DEVICES,MED-SURG,77.0,7997.6,25.0,103.86493506493507,3.08,0.739917897830863,0.06538461538461535,0
49480917245,PARTNERS DIGITAL THERMOMETER,ELECTRONIC MEDICAL DEVICES,MED-SURG,28.0,2660.0,9.0,95.0,3.111111111111111,1.0654595635840212,0.7999999999999998,0
4975479495458,OMRON FOREHEAD THERMOMETER MC-720,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,3500.0,1.0,3500.0,1.0,0.0,0.0,0
4975479496356,OMRON HEM-6181 DIGITAL WRIST BLOOD PRESSURE MONITOR,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,5760.0,1.0,5760.0,1.0,0.0,0.0,0
500010142,ALCOHOL DISPENSER W/ THERMAL SCANNER (BLUE,ELECTRONIC MEDICAL DEVICES,MED-SURG,3.0,11400.0,3.0,3800.0,1.0,0.816496580927726,-1.0,0
500010208,NEBULIZER (SESEMED,ELECTRONIC MEDICAL DEVICES,MED-SURG,7.0,7132.5,5.0,1018.9285714285714,1.4,0.5714285714285715,0.39999999999999997,0
54544278532,INFRARED FOREHEAD THERMOMETER AD801,ELECTRONIC MEDICAL DEVICES,MED-SURG,6.0,5196.8,6.0,866.1333333333333,1.0,0.5773502691896257,0.2285714285714285,0
58068224947,SUCTION CATH F 8,ELECTRONIC MEDICAL DEVICES,MED-SURG,6.0,77.7,2.0,12.950000000000001,3.0,0.6666666666666666,3.9999999999999987,2
5901234123457,SURRMED ALTERNATING PRESSURE SYSTEM AIR MATTRESS,ELECTRONIC MEDICAL DEVICES,MED-SURG,4.0,10880.0,4.0,2720.0,1.0,0.0,-8.214889951798643e-17,0
60569900152,FETAL DOPPLER,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,4608.0,1.0,4608.0,1.0,0.0,0.0,0
68509893447,SUCTION CATH F 12,ELECTRONIC MEDICAL DEVICES,MED-SURG,8.0,103.60000000000001,2.0,12.950000000000001,4.0,0.75,-5.999999999999999,1
6940000000000,SURGITECH DIGITAL THERMOMETER,ELECTRONIC MEDICAL DEVICES,MED-SURG,10.0,1260.0,6.0,126.0,1.6666666666666667,0.447213595499958,0.05714285714285722,0
6973079823440,SINOCARE DIGITAL ARM BP MONITOR AXD-809,ELECTRONIC MEDICAL DEVICES,MED-SURG,15.0,19710.0,9.0,1314.0,1.6666666666666667,0.5656854249492379,-0.03333333333333331,0
74852986588,SUCTION CATH F 5,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,12.95,1.0,12.95,1.0,0.0,0.0,0
7502001980129,PARTNERS NEBULIZER KIT,ELECTRONIC MEDICAL DEVICES,MED-SURG,5.0,360.0,3.0,72.0,1.6666666666666667,0.565685424949238,0.9999999999999998,0
7542000012,NEBULIZER HEALTH ASSURE,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,1869.99,1.0,1869.99,1.0,0.0,0.0,0
80844341,ANEROID SPHYGMO W/ STET (PROHEALTH,ELECTRONIC MEDICAL DEVICES,MED-SURG,19.0,16740.0,14.0,881.0526315789474,1.3571428571428572,0.597779825873713,0.0769230769230769,0
819412021653,WILCARE PORTABLE MESH NEBULIZER AIR PRO II,ELECTRONIC MEDICAL DEVICES,MED-SURG,2.0,4751.98,3.0,2375.99,0.6666666666666666,0.7071067811865476,-0.4999999999999997,0
84390632570,AIR MATTRESS-TOPCARE,ELECTRONIC MEDICAL DEVICES,MED-SURG,3.0,8960.0,4.0,2986.6666666666665,0.75,0.5773502691896257,0.09999999999999988,0
8633010201,SUCTION MACHINE PROHEALTH,ELECTRONIC MEDICAL DEVICES,MED-SURG,7.0,33222.82,5.0,4746.117142857142,1.4,0.3499271061118826,-0.30000000000000016,0
87691938789,SUCTION CATH F 14,ELECTRONIC MEDICAL DEVICES,MED-SURG,35.0,453.25,4.0,12.95,8.75,0.24743582965269678,-0.4999999999999992,0
88172453,ISHIELD DIGITAL THERMO,ELECTRONIC MEDICAL DEVICES,MED-SURG,17.0,1768.0,8.0,104.0,2.125,0.5969936214760129,0.3214285714285714,0
885304002291,NEBULIZER DEVILBISS PULMO NEB COMPACT,ELECTRONIC MEDICAL DEVICES,MED-SURG,1.0,3799.98,1.0,3799.98,1.0,0.0,0.0,0
G17849135,DISP SYRINGE 50CC PROHEALTH,ELECTRONIC MEDICAL DEVICES,MED-SURG,6.0,94.72,4.0,15.786666666666667,1.5,0.3333333333333333,-0.3999999999999999,0
