item_code,description,category,tab,total_qty,total_sales,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
,ASCOFFTE CAP 10+5 PROMO PACK,,,1.0,77.5,1.0,77.5,1.0,0.0,0.0,0
,ATENURIX (FEBUXOSTAT) 40MG FCT,,,1.0,23.75,1.0,23.75,1.0,0.0,0.0,0
,BIOGESIC (PARACETAMOL) 500MG TAB,,,10.0,42.5,1.0,4.25,10.0,0.0,0.0,0
,DUAVENT P-NEB 500MCG (IPRATROPRIUM + SALBUTAMOL,,,12.0,546.0,1.0,45.5,12.0,0.0,0.0,2
,EFFICASCENT EXTREME 50ML,,,1.0,78.5,1.0,78.5,1.0,0.0,0.0,0
,EFFICASCENT OIL EXTRA STRENGTH 25ML,,,1.0,34.0,1.0,34.0,1.0,0.0,0.0,0
,EMICOX (CELECOXIB) 200MG,,,10.0,55.0,1.0,5.5,10.0,0.0,0.0,0
,FEMME FACIAL TISSUE UNSCENTED,,,1.0,27.75,1.0,27.75,1.0,0.0,0.0,0
,FEMME INTERFOLDED PAPER TOWEL 1PLY,,,1.0,55.0,1.0,55.0,1.0,0.0,0.0,0
,GREENCROSS 70% W/ MOIST 60ML,,,1.0,22.5,1.0,22.5,1.0,0.0,0.0,0
,IMMUNPRO 500MG TAB,,,10.0,87.5,1.0,8.75,10.0,0.0,0.0,0
,LE MINERALE 600ML,,,4.0,60.0,1.0,15.0,4.0,0.0,0.0,0
,NEBIL 5MG (NEBIVOLOL) TAB,,,1.0,21.0,1.0,21.0,1.0,0.0,0.0,0
,NEUROBION (VITAMIN B1 + B6 + B12) TAB,,,5.0,118.75,1.0,23.75,5.0,0.0,0.0,0
,NOVASARTAN (LOSARTAN K) 50MG FC TAB,,,30.0,75.0,1.0,2.5,30.0,0.0,0.0,0
,NUTRILIN SYRUP 120ML,,,1.0,207.57,1.0,207.57,1.0,0.0,0.0,0
,PLOGREL (CLOPIDOGREL) 75MG TAB,,,1.0,45.0,1.0,45.0,1.0,0.0,0.0,0
,ROVISTA (ROSUVASTATIN)20MG TAB,,,1.0,29.24,1.0,29.24,1.0,0.0,0.0,0
,SANICARE BATHROOM TISSUE 1&#039;S,,,3.0,55.5,1.0,18.5,3.0,0.0,0.0,0
,STREPSILS COOL 8s,,,1.0,70.5,1.0,70.5,1.0,0.0,0.0,0
,STREPSILS EXTRA STRONG,,,1.0,70.5,1.0,70.5,1.0,0.0,0.0,0
,STREPSILS LOZ (ORANGE) 8s,,,1.0,70.5,1.0,70.5,1.0,0.0,0.0,0
,Sales Discount Variance,,,67.0,0.0,1.0,0.0,67.0,0.0,0.0,1
,VICKS VAPORUB 10G,,,1.0,52.0,1.0,52.0,1.0,0.0,0.0,0
,VICKS VAPORUB 5G,,,1.0,31.0,1.0,31.0,1.0,0.0,0.0,0
,VIVALYTE E-DRINK APPLE 250ML,,,1.0,50.0,1.0,50.0,1.0,0.0,0.0,0
