month,category,total_sales,total_qty
2022-05,ADULT MILK,436.8,13.0
2022-05,ANTIBIOTICS,15922.0,640.0
2022-05,ANTIDIABETICS,12475.99,999.0
2022-05,ASSISTIVE DEVICE,54789.69,10.0
2022-05,BEVERAGES,4691.0,151.0
2022-05,CARDIOVASCULAR,29320.52,2730.0
2022-05,COLD CHAIN,397.5,3.0
2022-05,COTTONS AND HYGIENE,3920.2,86.0
2022-05,DERMATOLOGICALS,3347.4,33.0
2022-05,DIAGNOSTIC,1609.4,8.0
2022-05,DIAPERS,3112.87,22.0
2022-05,DISINFECTANT,7202.15,53.0
2022-05,DISPOSABLES,4358.67,81.0
2022-05,EENT,622.75,4.0
2022-05,ELECTRONIC MEDICAL DEVICES,6905.5,4.0
2022-05,FOOD,925.5,10.0
2022-05,FOOD SUPPLEMENTS,3892.0,184.0
2022-05,GALENICALS AND SOLUTIONS,3339.65,49.0
2022-05,GIT,7339.41,385.0
2022-05,GUT AND HORMONES,26499.03,937.0
2022-05,HAIR CARE,322.0,10.0
2022-05,HOME REMEDY,2264.35,34.0
2022-05,HOUSEHOLD CHEMICALS,1390.0,3.0
2022-05,NEEDLES AND TUBINGS,550.46,28.0
2022-05,NEUROLOGICAL DRUGS,2163.62,50.0
2022-05,ORAL CARE,1404.7,14.0
2022-05,ORTHO SUPPORT,130.0,2.0
2022-05,PAIN MANAGEMENT,21788.16,1607.0
2022-05,PERSONAL PROTECTIVE EQUIPMENT,243.21999999999997,8.0
2022-05,"PLASTIC, GLASSWARE, AND STAINLESS",704.99,9.0
2022-05,PROMO PACKS,689.13,12.0
2022-05,RESPIRATORY,17010.74,969.0
2022-05,SKIN AND BODY,6893.84,104.0
2022-05,SPECIAL CATEGORY 1,1287.55,68.0
2022-05,VITAMINS,36209.89,2155.0
2022-05,WOUND CARE,1385.24,174.0
2022-06,ADULT MILK,803.29,17.0
2022-06,ANTIBIOTICS,23627.98,785.0
2022-06,ANTIDIABETICS,9961.63,767.0
2022-06,ASSISTIVE DEVICE,19786.079999999998,13.0
2022-06,BEVERAGES,5517.3,177.0
2022-06,CARDIOVASCULAR,28031.77,3315.0
2022-06,COTTONS AND HYGIENE,7359.65,143.0
2022-06,DERMATOLOGICALS,6790.69,60.0
2022-06,DIAGNOSTIC,1505.0,38.0
2022-06,DIAPERS,5600.14,42.0
2022-06,DISINFECTANT,8596.39,61.0
2022-06,DISPOSABLES,5860.91,118.0
2022-06,EENT,1779.08,8.0
2022-06,ELECTRONIC MEDICAL DEVICES,5130.26,8.0
2022-06,FOOD,435.0,11.0
2022-06,FOOD SUPPLEMENTS,6422.82,298.0
2022-06,GALENICALS AND SOLUTIONS,3078.0,56.0
2022-06,GIT,10986.39,536.0
2022-06,GUT AND HORMONES,24846.64,895.0
2022-06,HAIR CARE,672.0,10.0
2022-06,HOME REMEDY,2093.65,29.0
2022-06,HOUSEHOLD CHEMICALS,3920.0,8.0
2022-06,NEEDLES AND TUBINGS,1110.76,49.0
2022-06,NEUROLOGICAL DRUGS,416.63,32.0
2022-06,ORAL CARE,2784.76,39.0
2022-06,ORTHO SUPPORT,554.0,7.0
2022-06,PAIN MANAGEMENT,24873.21,1921.0
2022-06,PEDIATRIC MILK,356.75,5.0
2022-06,PERSONAL PROTECTIVE EQUIPMENT,1502.32,22.0
2022-06,"PLASTIC, GLASSWARE, AND STAINLESS",572.75,16.0
2022-06,PROMO PACKS,1526.1399999999999,25.0
2022-06,RESPIRATORY,29712.15,1295.0
2022-06,SKIN AND BODY,8828.4,134.0
2022-06,SPECIAL CATEGORY 1,840.42,116.0
2022-06,VITAMINS,42344.64,2434.0
2022-06,WOUND CARE,1253.25,163.0
2022-07,ADULT MILK,10591.970000000001,45.0
2022-07,ANTIBIOTICS,33342.08,1307.0
2022-07,ANTIDIABETICS,8290.44,750.0
2022-07,ASSISTIVE DEVICE,52110.87,23.0
2022-07,BEVERAGES,3776.0,163.0
2022-07,CARDIOVASCULAR,36544.32,4204.0
2022-07,COTTONS AND HYGIENE,7059.9,143.0
2022-07,DERMATOLOGICALS,5123.19,54.0
2022-07,DIAGNOSTIC,580.0,33.0
2022-07,DIAPERS,6895.66,39.0
2022-07,DISINFECTANT,8355.0,56.0
2022-07,DISPOSABLES,4190.18,111.0
2022-07,EENT,1218.34,10.0
2022-07,ELECTRONIC MEDICAL DEVICES,12480.0,9.0
2022-07,FOOD,1495.75,18.0
2022-07,FOOD SUPPLEMENTS,3451.23,168.0
2022-07,GALENICALS AND SOLUTIONS,3908.45,70.0
2022-07,GIT,9583.59,462.0
2022-07,GUT AND HORMONES,20165.47,653.0
2022-07,HAIR CARE,303.75,6.0
2022-07,HOME REMEDY,3241.15,50.0
2022-07,HOUSEHOLD CHEMICALS,410.0,1.0
2022-07,NEEDLES AND TUBINGS,520.29,21.0
2022-07,NEUROLOGICAL DRUGS,834.01,28.0
2022-07,ORAL CARE,4078.29,36.0
2022-07,ORTHO SUPPORT,429.29,9.0
2022-07,PAIN MANAGEMENT,33765.78,2141.0
2022-07,PEDIATRIC MILK,550.5,3.0
2022-07,PERSONAL PROTECTIVE EQUIPMENT,1181.72,16.0
2022-07,"PLASTIC, GLASSWARE, AND STAINLESS",336.4,5.0
2022-07,PROMO PACKS,4552.54,133.0
2022-07,RESPIRATORY,31065.13,1524.0
2022-07,SKIN AND BODY,6694.14,121.0
2022-07,SPECIAL CATEGORY 1,2905.3,121.0
2022-07,VITAMINS,50591.37,3010.0
2022-07,WOUND CARE,2156.5,194.0
2022-08,ADULT MILK,7642.96,46.0
2022-08,ANTIBIOTICS,39298.71,1514.0
2022-08,ANTIDIABETICS,10931.83,936.0
2022-08,ASSISTIVE DEVICE,43677.53,15.0
2022-08,BEVERAGES,8162.0,183.0
2022-08,CARDIOVASCULAR,44409.93,3952.0
2022-08,COTTONS AND HYGIENE,6975.65,145.0
2022-08,DERMATOLOGICALS,5921.75,59.0
2022-08,DIAGNOSTIC,880.0,11.0
2022-08,DIAPERS,9055.24,58.0
2022-08,DISINFECTANT,8668.0,60.0
2022-08,DISPOSABLES,6002.45,134.0
2022-08,EENT,1864.08,11.0
2022-08,ELECTRONIC MEDICAL DEVICES,4124.52,9.0
2022-08,FOOD,479.0,5.0
2022-08,FOOD SUPPLEMENTS,5389.59,254.0
2022-08,GALENICALS AND SOLUTIONS,4001.72,85.0
2022-08,GIT,11161.06,656.0
2022-08,GUT AND HORMONES,24210.49,756.0
2022-08,HAIR CARE,694.3499999999999,18.0
2022-08,HOME REMEDY,3996.1,56.0
2022-08,HOUSEHOLD CHEMICALS,547.65,2.0
2022-08,MEMBERS EXCLUSIVE,10.5,1.0
2022-08,NEEDLES AND TUBINGS,602.13,32.0
2022-08,NEUROLOGICAL DRUGS,1284.24,44.0
2022-08,ORAL CARE,2395.26,23.0
2022-08,ORTHO SUPPORT,4795.0,3.0
2022-08,PAIN MANAGEMENT,33478.43,2427.0
2022-08,PEDIATRIC MILK,259.5,2.0
2022-08,PERSONAL PROTECTIVE EQUIPMENT,1357.12,4.0
2022-08,"PLASTIC, GLASSWARE, AND STAINLESS",623.5,18.0
2022-08,PROMO PACKS,2033.63,28.0
